Questions,Answers,extended_answer
The Kansas City Wizards have had three home venues in Kansas City in their time.  Which was their first?,Arrowhead Stadium,The Kansas City Wizards' first home venue in Kansas City was Arrowhead Stadium.
Salisbury Woodland Gardens links a zoo with a park designed and built under the watchful eye of who?,Thomas Mawson,"Salisbury Woodland Gardens, which links a zoo with a park, was designed and built under the watchful eye of Thomas Mawson."
Jamie Harris is best known for his role as The Hook-Handed Man in a movie directed by who ?,Brad Silberling,Jamie Harris is best known for his role as The Hook-Handed Man in a movie directed by Brad Silberling.
"Marion Greene was a health policy analyst for St. Judt Medical company, which had how many principal operations worldwide?",20,"Marion Greene was a health policy analyst for St. Judt Medical company, which had 20 principal operations worldwide."
Which Genus has more species Eucryphia or Lepidozamia ?,Eucryphia,Eucryphia is the genus that has more species compared to Lepidozamia.
Which film was released first: Sacred Planet or Oz the Great and Powerful?,Sacred Planet,Sacred Planet was released before Oz the Great and Powerful.
"Other than racing, what sport does the 1998 champion of the Toyota GRand Prix practice?",paracyclist,"The 1998 champion of the Toyota Grand Prix, other than racing, practices paracycling."
What officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880?,Treaty of Gandamak,The Treaty of Gandamak officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880.
Where is the Cocoa Krispies and former Superman sponsor located?,"Battle Creek, Michigan","The Cocoa Krispies and former Superman sponsor is located in Battle Creek, Michigan."
How many days did it take the Best New Artist of 2009 to sell 2 million copies of an album in the UK and break a twenty year old record?,29,It took the Best New Artist of 2009 29 days to sell 2 million copies of an album in the UK and break a twenty year old record.
"What is the international football competition for women that Liu Ailing played in the 1991,1995, 1999 editions?",international football competition,"Liu Ailing played in the international football competition for women in the 1991, 1995, and 1999 editions, showcasing her skills and representing her country on the global stage."
The city that contains the Yunnan Provincial Museum is also known by what nickname?,Spring city,"The city that contains the Yunnan Provincial Museum is also known by the nickname ""Spring city"" because of its pleasant and mild climate throughout the year."
What 2017 Christopher B. Landon directed American slasher film is Jessica Rothe starring in?,Happy Death Day,The 2017 Christopher B. Landon directed American slasher film that Jessica Rothe is starring in is Happy Death Day.
"when was the album that includes the song by Dustin Lynch released to country radio on February 17, 2017?",8-Sep-17,"The album that includes the song by Dustin Lynch was released to country radio on February 17, 2017."
What city did the characters from Gargoyles the Movie: The Heroes Awaken wake up in after being in an enchantedly petrified state for a thousand years?,modern-day New York City,The characters from Gargoyles the Movie: The Heroes Awaken woke up in modern-day New York City after being in an enchantedly petrified state for a thousand years.
Which American writer wrote both The Ganymede Takeover (1967) and The Man in the High Castle (1962)?,Philip K. Dick,"Philip K. Dick, an American writer, wrote both The Ganymede Takeover (1967) and The Man in the High Castle (1962)."
"Which football team does Lewis Young's older brother, Ashley Young, play for?",Premier League club Manchester United and the England national team,"Lewis Young's older brother, Ashley Young, plays for Premier League club Manchester United and represents the England national team."
"The Indian actor and philanthropist, who starred in ""Mera Damad,"" entered the film industry in what year?",1977,"The Indian actor and philanthropist, who starred in ""Mera Damad,"" entered the film industry in 1977."
"Which magazine is older, Gallery or Dime Magazine?","arose on the ""Playboy"" magazine pattern in the 1970s.","Gallery magazine is older than Dime Magazine as it arose on the ""Playboy"" magazine pattern in the 1970s."
How large is the shopping mall where KGOT radio station has its studios ?,"728,000 ft²","The shopping mall where KGOT radio station has its studios is 728,000 ft² in size."
"Jacques Mathou starred in Delicatessen, the 1991 French movie in the style of which celebrated American animator?",Terry Gilliam,"Jacques Mathou starred in Delicatessen, the 1991 French movie in the style of Terry Gilliam, the celebrated American animator."
What is the height of the player who won the 2015 AFL Rising Star award?,1.95 m,The player who won the 2015 AFL Rising Star award is 1.95 m tall.
The movies The Boatniks and The Great Locomotive Chase were both made by which production company?,Walt Disney Productions,"The movies The Boatniks and The Great Locomotive Chase were both made by Walt Disney Productions, a renowned production company known for creating beloved family-friendly films."
Mick Carter is the landlord of a public house located at what address?,"46 Albert Square, Walford, London E20","Mick Carter is the landlord of a public house located at 46 Albert Square, Walford, London E20, which is the address where he manages the establishment."
What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,Armenian,Art Laboe and Scout Tufankjian share Armenian as their country of ancestry.
How many Senate seats will be contested during the midterm elections that Nancy Soderberg has filed to run for Congress in?,33,33 Senate seats will be contested during the midterm elections that Nancy Soderberg has filed to run for Congress in.
How many restaurants comprise the quick service restaurant chain that Ron Joyce helped found?,"4,613","Ron Joyce helped found a quick service restaurant chain that comprises a total of 4,613 restaurants."
"What type of film are both ""500 Years Later"" and ""Manson""?",documentary,"Both ""500 Years Later"" and ""Manson"" are documentary films."
What professions did S. Sylvan Simon and Danny Cannon have in common?,director and producer,S. Sylvan Simon and Danny Cannon had the professions of director and producer in common.
"Where is the academy, for which Joseph D. Stewart was appointed Superintendent, located?","Kings Point, New York","The academy, for which Joseph D. Stewart was appointed Superintendent, is located in Kings Point, New York."
Luke Null is an actor who was on the program that premiered its 43rd season on which date?,30-Sep-17,"Luke Null is an actor who was on the program that premiered its 43rd season on September 30, 2017."
"The Azad Hind Dal was created by an Indian nationalist whose defiant patriotism made him a hero in India, but whose attempt to rid India of British rule during what war left a troubled legacy?",World War II,"The Azad Hind Dal was created by an Indian nationalist whose defiant patriotism made him a hero in India, but his attempt to rid India of British rule during World War II left a troubled legacy."
"The 2011 La Manga Cup was won by Viking, who beat which Norwegian football club from the town of Kristiansand, currently playing in Tippeligaen having been promoted from Adeccoligaen in 2012?",IK Start,"IK Start, the Norwegian football club from the town of Kristiansand, currently playing in Tippeligaen having been promoted from Adeccoligaen in 2012, was beaten by Viking in the 2011 La Manga Cup."
"Which band has released the most studio albums, Blonde Redhead or Rob Zombie's band White Zombie?",Blonde Redhead,Blonde Redhead has released the most studio albums compared to Rob Zombie's band White Zombie.
Where was the movement that August Brancart published literature from centerd?,Western Europe,The movement that August Brancart published literature from was centered in Western Europe.
Stephen susco wrote a movie produced by which american film actor?,Sam Raimi,Sam Raimi produced the movie written by Stephen Susco.
are the documentaries Out of Place and The Mosuo Sisters by the same director ?,no,"No, the documentaries Out of Place and The Mosuo Sisters are not directed by the same director."
Watercliffe Meadow Primary Schools name change is an example of what term generally used to describe the avoidance of certain language?,political correctness,"The name change of Watercliffe Meadow Primary School is an example of political correctness, which is a term generally used to describe the avoidance of certain language."
"Approximately how many locations is BJ's Wholesale Club operating in, as of early 2008?",650 locations,"As of early 2008, BJ's Wholesale Club was operating approximately 650 locations."
"What year was the American healthy lifestyle magazine, in which Georgia Rickard contributed, started?",1950,"The American healthy lifestyle magazine, in which Georgia Rickard contributed, was started in 1950."
"Thomas Matthew ""Tom"" Chappell co-founded a commpany in 1970 that manufactures what products?",natural-ingredients-only personal care products,"Thomas Matthew ""Tom"" Chappell co-founded a company in 1970 that manufactures natural-ingredients-only personal care products."
What type of beliefs does Mount Ida and Rhea have in common?,Greek mythology,Mount Ida and Rhea have in common the belief in Greek mythology.
Where does the story take place in 1988 film The Moderns?,1926 Paris,The story in the 1988 film The Moderns takes place in 1926 Paris.
Angelo Francesco Lavignino scored a 1965 English-language Spanish-Swiss co-produced film that was directed by and also starred who?,Orson Welles,Orson Welles directed and also starred in the 1965 English-language Spanish-Swiss co-produced film that Angelo Francesco Lavignino scored.
What three categories does income get levied under the Parliament of Australia's tax code?,"""personal earnings"" (such as salary and wages), ""business income"" and ""capital gains""","The three categories that income gets levied under the Parliament of Australia's tax code are ""personal earnings"" (such as salary and wages), ""business income,"" and ""capital gains."""
Scout Tufankjian and Daron Malakian are both what?,Armenian-American,Scout Tufankjian and Daron Malakian are both Armenian-American individuals.
Which novelist wrote under the pen name Walter Ericson: Laura Esquivel or Howard Fast?,Howard Melvin Fast,Howard Melvin Fast was the novelist who wrote under the pen name Walter Ericson.
Edmund Robert Harris is the principal benefactor of a museum located where ?,Preston,Edmund Robert Harris is the principal benefactor of a museum located in Preston.
Were Illinois Institute of Technology and Boise State University both bounded before 1950?,yes,"Yes, both Illinois Institute of Technology and Boise State University were both founded before 1950."
Erwin Lambert was a member of which paramilitary organization under Hitler?,Schutzstaffel,"Erwin Lambert was a member of the Schutzstaffel, which was a paramilitary organization under Hitler."
"Michael Pollock was was a senior officer in the United Kingdom's naval warfare force, also known as the what?",Royal Navy,"Michael Pollock was a senior officer in the Royal Navy, which is the United Kingdom's naval warfare force."
What is the population of the city at which the transmitter of WLLZ-LP was placed? ,"143,372","The population of the city at which the transmitter of WLLZ-LP was placed is 143,372."
"Who is descended from William, 4th Lord Livingston and was a statesman from New York City? ",Philip Livingston,"Philip Livingston, who is descended from William, 4th Lord Livingston and was a statesman from New York City."
Padosan had a supporting actor who is known as a successful playback singer in what language?,Hindi,Padosan had a supporting actor who is known as a successful playback singer in Hindi.
Macclesfield Town F.C. plays in the league sponsored by whom?,Vanarama,Macclesfield Town F.C. plays in the league sponsored by Vanarama.
"What song by the American rapper Coolio is on his greatest hits album ""Fantiastic Voyage"" and samples from a Stevie Wonder song?",Gangsta's Paradise,"The song ""Gangsta's Paradise"" by the American rapper Coolio is on his greatest hits album ""Fantastic Voyage"" and samples from a Stevie Wonder song."
Who was the eldest brother of the Mexican drug trafficker born 12 March 1952?,Francisco Rafael Arellano Félix,The eldest brother of the Mexican drug trafficker born 12 March 1952 was Francisco Rafael Arellano Félix.
In which University is Richard Williams' former assistant a member of the Athletics Hall of Fame?,Campbellsville University,Richard Williams' former assistant is a member of the Athletics Hall of Fame at Campbellsville University.
"Marvel Classics Comics specialized in adaptations of literary classics, such as a novel by American writer Herman Melville, that was published in what year?",1851,"The novel by American writer Herman Melville, which Marvel Classics Comics specialized in adapting, was published in 1851."
"When was the Chief Aerodynamicist for the British supersonic land vehicle, whose goal is to match or exceed 1000 mph achieving a new world land speed record, born?",1932,"The Chief Aerodynamicist for the British supersonic land vehicle, whose goal is to match or exceed 1000 mph achieving a new world land speed record, was born in 1932."
The third emperor in the Year of the Four Emperors had how many wives? ,second,The second emperor in the Year of the Four Emperors had more than one wife.
Keanu is a 2016 American action comedy film directed by Peter Atencio and written by who?,Jordan Peele,"Keanu is a 2016 American action comedy film directed by Peter Atencio and written by Jordan Peele, who is known for his work in comedy and as a talented writer and director."
Where is the seminar Jeanne Marie Beaumont directed in 2007-2010 located?,"Franconia, New Hampshire","The seminar Jeanne Marie Beaumont directed in 2007-2010 is located in Franconia, New Hampshire."
What is the name of the father of Childericus?,Merovech,"The name of the father of Childericus is Merovech, who was a prominent figure in the history of the Merovingian dynasty."
Immanuel Lutheran School is affiliated with the denomination that has how many members?,2.1 million,Immanuel Lutheran School is affiliated with the denomination that has 2.1 million members.
in the 2004 Hockey film produced by a former major league baseball pitcher who played the USA coach?,Kurt Russell,"Kurt Russell, a former major league baseball pitcher who played the USA coach, was involved in the production of the 2004 Hockey film."
Tamanchey is a comedy film that starred the actress who works in what type of films?,Hindi,Tamanchey is a comedy film that starred the actress who works in Hindi films.
"Which star of ""Chalet Girl"" also appeared in ""The Treasure Seekers""?",Felicity Rose Hadley Jones,"Felicity Rose Hadley Jones, who starred in ""Chalet Girl,"" also appeared in ""The Treasure Seekers."""
Who currently has more store locations? Bearno's or Patxi's Chicago Pizza?,Bearno's Pizza,Bearno's Pizza currently has more store locations than Patxi's Chicago Pizza.
Bethpage State Parkway begins with an interchange at which Long Island-based limited access highway?,Southern State Parkway,"Bethpage State Parkway begins with an interchange at the Southern State Parkway, a Long Island-based limited access highway."
At what frequency the magazine publishes which ranked  Aditya Puri #24th in India's 50 Most powerful people of 2017 list?,fortnightly,The magazine publishes the list of India's 50 Most powerful people of 2017 on a fortnightly basis.
"Which plant genus has a longer common name, Myrtus or Eustoma?",Eustoma,Eustoma is the plant genus that has a longer common name.
"Which Nigerian footballer who plays as a forward for Shanghai Greenland Shenhua was one of eleven players to have played in the top divisions in Italy, Spain, England and Germany?",Obafemi Martins,"Obafemi Martins, the Nigerian footballer who plays as a forward for Shanghai Greenland Shenhua, was one of eleven players to have played in the top divisions in Italy, Spain, England, and Germany."
 Who was born first Doug Liman or Saul Metzstein?,"Douglas Eric ""Doug"" Liman","Douglas Eric ""Doug"" Liman, who was born first, is a renowned American film director and producer."
"Which band has more members, Kitchens of Distinction or Royal Blood?",Kitchens of Distinction,Kitchens of Distinction has more members than Royal Blood.
Cistus and Stapelianthus are both forms of what?,flowering plants,Cistus and Stapelianthus are both forms of flowering plants that exhibit beautiful blossoms and add vibrant colors to gardens and landscapes.
An Cat Dubh / Into the Heart is a song from the U2 album released on what date?,20-Oct-80,"The U2 album, which features the song ""An Cat Dubh / Into the Heart,"" was released on 20-Oct-80."
What is the current position held by the Nathan Sharansky's co-author of the book The Case for Democracy?,Israeli Ambassador,The current position held by the Nathan Sharansky's co-author of the book The Case for Democracy is Israeli Ambassador.
What casino in Las Vegas which is now operated by MGM Resorts International was developed by William G. Bennett?,Excalibur Hotel and Casino,"The Excalibur Hotel and Casino, which is now operated by MGM Resorts International, was developed by William G. Bennett."
Paul DeBoy is known for an appearance in the Western action-adventure game developed by which company?,Rockstar San Diego,Paul DeBoy is known for his appearance in the Western action-adventure game developed by Rockstar San Diego.
"What is the name of this New York based American investment management firm founded in 1982, whose co-CEO is Robert Mercer?",Renaissance Technologies,"Renaissance Technologies is the name of this New York based American investment management firm founded in 1982, whose co-CEO is Robert Mercer."
Are Des Moines International Airport and Grand Canyon National Park Airport both major airline hubs?,no,"No, Des Moines International Airport and Grand Canyon National Park Airport are not major airline hubs."
 The Canadian Hot 100 is a music industry record chart in Canada for for a song that is released separately from what?,an album,The Canadian Hot 100 is a music industry record chart in Canada for a song that is released separately from an album.
Is Karjiang a mountain and Sherpi Kangri a mountain peak?,yes,"Yes, Karjiang is a mountain and Sherpi Kangri is a mountain peak."
Which one the cast members in the film Only Lovers Left Alive also played in Othello?,Tom Hiddleston,"Tom Hiddleston, one of the cast members in the film Only Lovers Left Alive, also played a role in Othello."
"Stephen Graham starred in a film in 2006, directed by whom?",directed by Shane Meadows,The film that Stephen Graham starred in in 2006 was directed by Shane Meadows.
Which member of the research project conducted by the Creation Research Society and the Institute for Creation Research between 1997 and 2005 was Kevin R. Henke most critical of? ,Russell Humphreys,"Kevin R. Henke was most critical of Russell Humphreys, who was a member of the research project conducted by the Creation Research Society and the Institute for Creation Research between 1997 and 2005."
Psycho-physical Awareness was developed into an original and dependable method by a Russian-American actor who was referred to by Konstantin Stanislavski as what?,his most brilliant student,"Konstantin Stanislavski referred to the Russian-American actor, who developed Psycho-physical Awareness into an original and dependable method, as his most brilliant student."
What is the name of the character portrayed by Anna Camp in the film centered on the fictional Barden University and The Bellas?,Aubrey Posen,The name of the character portrayed by Anna Camp in the film centered on the fictional Barden University and The Bellas is Aubrey Posen.
"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",Nusretiye Mosque,The Nusretiye Mosque is the Istanbul mosque that is unique for retaining a Baroque style of architecture.
What production company was founded by George Balanchine to create a live stage version of the 1942 film Casablanca?,The Los Angeles Dance Theater,The Los Angeles Dance Theater was founded by George Balanchine to create a live stage version of the 1942 film Casablanca.
"What city that Lettuce Lake Park is just outside of is the largest in Hillsborough County, Florida? ",Tampa,"Lettuce Lake Park is just outside of Tampa, which is the largest city in Hillsborough County, Florida."
Which US Supreme court case involved a waiver of right to counsel Planned Parenthood v. Casey or Montejo v. Louisiana?,Montejo v. Louisiana,The US Supreme court case that involved a waiver of the right to counsel is Montejo v. Louisiana.
"Who produced the 1998 British comedy starring the director of the feature film ""Eddie the Eagle""?",Matthew Vaughn,"Matthew Vaughn, who directed the feature film ""Eddie the Eagle,"" produced the 1998 British comedy."
"In what year was the band, whose bassist joined Arvas in 1996, formed?",1992,"The band, whose bassist joined Arvas in 1996, was formed in 1992."
Which company does Timothy Oulton retail his products through that is based in Corte Madera?,Restoration Hardware,"Timothy Oulton retails his products through Restoration Hardware, a company based in Corte Madera."
In between Atsushi Ogata and Ralph Smart who graduated from Harvard College?,Atsushi Ogata,"Atsushi Ogata is the one who graduated from Harvard College, not Ralph Smart."
The owner of radio station KWPW has the same name as an American character actor. What is it?,Bill McCutcheon,"The owner of radio station KWPW, Bill McCutcheon, shares the same name as an American character actor."
What game did the team with an 11-1 regular season record play in for the BCS title game?,2004 Nokia Sugar Bowl,The team with an 11-1 regular season record played in the 2004 Nokia Sugar Bowl for the BCS title game.
"What German medium tank, sometimes called the ""Mark V"", that was deployed on the Eastern and Western fronts from mid-1943 provided the armor and suspension for the chassis of the tank destroyer built by Nazi Germany during World War II?",The Panther,"The Panther, a German medium tank sometimes called the ""Mark V"", was deployed on the Eastern and Western fronts from mid-1943 and provided the armor and suspension for the chassis of the tank destroyer built by Nazi Germany during World War II."
Abraham Lincoln Neiman and his wife Carrie Marcus Neiman cofounded Neiman Marcus with Carrie's brother Herbert in which American city in 1907?,Dallas,Abraham Lincoln Neiman and his wife Carrie Marcus Neiman cofounded Neiman Marcus with Carrie's brother Herbert in Dallas in 1907.
Which show that premiered in May 2011 is hosted by someone with the birth name Richard Kirschner?,My Cat from Hell,"The show that premiered in May 2011 and is hosted by someone with the birth name Richard Kirschner is ""My Cat from Hell."""
"Abraham Lokin was born on an archipelago between the Norwegian Sea and North Atlantic, that is about 200 miles north-northwest of where?",Scotland,"Abraham Lokin was born on an archipelago between the Norwegian Sea and North Atlantic, that is about 200 miles north-northwest of Scotland."
Do the bands named Phoenix and Shearwater specialize in the exact same genre?,no,"No, the bands named Phoenix and Shearwater do not specialize in the exact same genre."
"Which former American football player had a part in the movie ""Gamer?""",Terry Crews,"Terry Crews, the former American football player, had a part in the movie ""Gamer."""
"North Blenheim, New York was destroyed by flooding caused by the Hurricane that landed in what month?",11-Aug,"North Blenheim, New York was destroyed by flooding caused by the Hurricane that landed in August."
"Who is older, Ivan Foster or Ian Paisley?",Ian Paisley,Ian Paisley is older.
"The founder of this Canadian owned, American manufacturer of business jets for civilian and military developed this portable tape system.",8-track,"The founder of this Canadian owned, American manufacturer of business jets for civilian and military developed this portable tape system, which was known as the 8-track."
"Which American rock band was formed first, Soil or Drowning Pool?",Drowning Pool,"Drowning Pool, an American rock band, was formed first."
What artistic endeavor do Fallujah and Dying Fetus have in common?,death metal band,Fallujah and Dying Fetus have in common the fact that they are both death metal bands.
"Which Star of British-Canadian-American satirical comedy, co starting with Ricky Gervais, began his career in sketch comedy series""Full Frontal"" ?",Eric Banadinović,"Eric Banadinović, who is also known as Eric Bana, began his career in sketch comedy series ""Full Frontal"" before becoming a star of the British-Canadian-American satirical comedy co-starring Ricky Gervais."
Kevin Watson currently manages which Southern League football team?,Bishop's Stortford,"Kevin Watson currently manages Bishop's Stortford, a Southern League football team."
What New York representative and politician was defeated by Alan Hevesi in 2002?,John Faso,"John Faso, a New York representative and politician, was defeated by Alan Hevesi in 2002."
"What mixed martial arts even took place at a closed hotel and casino on the Boardwalk in Atlantic City, owned by Trump Entertainment Resorts?",The War of '04,"The mixed martial arts event that took place at a closed hotel and casino on the Boardwalk in Atlantic City, owned by Trump Entertainment Resorts, was The War of '04."
Li Yitong made her television debut on which network?,Dragon TV,"Li Yitong made her television debut on Dragon TV, a popular network in China."
Who manufactured the scooter upon which the Bajaj Priya was based off of?,Piaggio,The Bajaj Priya was based off of a scooter manufactured by Piaggio.
Cranium and Twin Tin Bots are both what?,games,Cranium and Twin Tin Bots are both games that offer engaging and interactive experiences for players.
When did the author of the book One More River is based on win the Nobel Prize?,1932,The author of the book One More River is based on won the Nobel Prize in 1932.
Did the board game San Marco or About Time come out first?,San Marco,"San Marco, the board game, came out first."
What type of veterinary specialist is the star veterinarian of The Bionic Vet?,neuro-orthopaedic,The star veterinarian of The Bionic Vet is a neuro-orthopaedic specialist.
Are both Helen Dunmore and M. P. Shiel of West Indian descent?,no,"No, neither Helen Dunmore nor M. P. Shiel are of West Indian descent."
What is the nationality of the wrestler who sang on A Jingle with Jillian?,American,The nationality of the wrestler who sang on A Jingle with Jillian is American.
EMU Australia is best known for their unisex style boots that are typically made of what?,Sheepskin,"EMU Australia is best known for their unisex style boots that are typically made of sheepskin, which provides exceptional warmth and comfort."
Hardley Flood is an area of lagoons that support populations of the waterfowl that are a medium sized version of what animal?,duck,Hardley Flood is an area of lagoons that support populations of the waterfowl that are a medium sized version of a duck.
"Johnny Mathis: Wonderful Wonderful aired at what luxury hotel, casino and spa resort located in Atlantic City, New Jersey?",Tropicana Casino & Resort,"Johnny Mathis: Wonderful Wonderful aired at the Tropicana Casino & Resort, a luxury hotel, casino, and spa resort located in Atlantic City, New Jersey."
What is the name of the popular shopping destination located close to the Taj Mahal and Agra Fort in India?,Sadar Bazaar,Sadar Bazaar is the name of the popular shopping destination located close to the Taj Mahal and Agra Fort in India.
"Which University was founded earlier, Pennsylvania State University or Queen's University?",Queen's University,Queen's University was founded earlier.
The wolf pack football team represented what university? ,"University of Nevada, Reno","The wolf pack football team represented the University of Nevada, Reno."
Adena Friedman was formerly the managing director and CFO of a company that specializes in what four key business areas?,"corporate private equity, real assets, global market strategies, and investment solutions.","Adena Friedman was formerly the managing director and CFO of a company that specializes in corporate private equity, real assets, global market strategies, and investment solutions, providing comprehensive expertise across these four key business areas."
How many consecutive years had the Serie A been comprised of 18 teams when Hernan Crespo got injured?,15th consecutive,The Serie A had been comprised of 18 teams for the 15th consecutive year when Hernan Crespo got injured.
Which ground force of the Austro-Hungarian Dual Monarchy did Jan Romer joined ,The Austro-Hungarian Army,"Jan Romer joined the Austro-Hungarian Army, which was the ground force of the Austro-Hungarian Dual Monarchy."
"The county that the community of Milltown, Montana is part of was founded in which year?",1860,"The county that the community of Milltown, Montana is part of was founded in 1860."
Are PC Magazine and Sculptural Pursuit both technology publications?,no,"No, PC Magazine is a technology publication, but Sculptural Pursuit is not."
Why is Serena Williams more accomplished than Mariaan de Swardt in her tennis career?,the world No. 1 for the first time,Serena Williams is more accomplished than Mariaan de Swardt in her tennis career because she became the world No. 1 for the first time.
"Jennifer Gordon received a bachelor of arts degree from which women's liberal arts college in Cambridge, Massachusetts, and functioned as a female coordinate institution for the all-male Harvard College?",Radcliffe College,"Jennifer Gordon received a bachelor of arts degree from Radcliffe College, which was a women's liberal arts college in Cambridge, Massachusetts, and functioned as a female coordinate institution for the all-male Harvard College."
Who created the manga series originally serialized from 1994-1995with a superheroine?,Tonde Burin,"Tonde Burin, created by Taeko Ikeda, is the manga series originally serialized from 1994-1995 with a superheroine."
"Which documentary was filmed first, Almost Sunrise or Hail! Hail! Rock 'n' Roll?",Hail! Hail! Rock 'n' Roll,Hail! Hail! Rock 'n' Roll was filmed first.
What creature of American folklore gained notoriety in 1964?,Dewey Lake Monster,"The Dewey Lake Monster, a creature of American folklore, gained notoriety in 1964."
What profession do Raj Kapoor and Mike Cahill share?,director,Raj Kapoor and Mike Cahill share the profession of director.
"The actress who played Laurie Keller in the episode ""Pilot"" of the show Cougartown won what award in 2011?",Critics' Choice Television Award for Best Supporting Actress in a Comedy Series,"The actress who played Laurie Keller in the episode ""Pilot"" of the show Cougartown won the Critics' Choice Television Award for Best Supporting Actress in a Comedy Series in 2011."
What year was the Argentine singer and actor who both directed and starred in El Tio Disparate born?,1942,The Argentine singer and actor who both directed and starred in El Tio Disparate was born in 1942.
Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André,John André was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army.
In what basketball position does the brother of Saulius Kuzminskas play?,small forward,The brother of Saulius Kuzminskas plays as a small forward in basketball.
What type of the district is the Downtown Bentonville of the state in the southeastern region of the United States which is home to over 3 million people as of 2017?,business district,The Downtown Bentonville is a business district in the state in the southeastern region of the United States which is home to over 3 million people as of 2017.
"What is the name of the genocidal mass slaughter of Tutsi Rwanda, in which Cyprian and Daphrose Rugamba were assassinated?",Rwandan genocide,"The name of the genocidal mass slaughter of Tutsi Rwanda, in which Cyprian and Daphrose Rugamba were assassinated, is the Rwandan genocide."
Which fictional MI6 agent is a fictional character created by the British journalist and novelist Ian Fleming in 1952?,Commander James Bond RN,Commander James Bond RN is the fictional MI6 agent created by the British journalist and novelist Ian Fleming in 1952.
Kenneth Arnold reported the first unidentified object sighting in what city and state in 1947?,"Mount Rainier, Washington","Kenneth Arnold reported the first unidentified object sighting in Mount Rainier, Washington in 1947."
Where are Neoregelia and Aloysia known to grow,"temperate climates,","Neoregelia and Aloysia are known to grow in temperate climates, which are characterized by moderate temperatures and distinct seasons."
In what county is The Third Fitzwilliam Meetinghouse located?,"Cheshire County, New Hampshire","The Third Fitzwilliam Meetinghouse is located in Cheshire County, New Hampshire."
Metro West Ambulance serves event support for the building in Portland formerly known as what?,Rose Garden,Metro West Ambulance serves event support for the building in Portland formerly known as the Rose Garden.
