,Unnamed: 0,id,split,question,effective_year,next_review,false_premise,num_hops,fact_type,source,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,note,extended_answer_0,extended_answer_1,extended_answer_2,extended_answer_3,extended_answer_4,extended_answer_5,extended_answer_6,extended_answer_7,extended_answer_8,extended_answer_9
10,10,334,TEST,When was the Day of Eight Billion?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/Day_of_Eight_Billion#:~:text=The%20Day%20of%20Eight%20Billion%2C%20marked%20on%2015%20November%202022,"Nov 15, 2022","November 15, 2022",15 Nov 2022,15 November 2022,11/15/2022,11-15-2022,15/11/2022,15-11-2022,2022/11/15,2022-11-15,,"The Day of Eight Billion was on November 15, 2022.","The Day of Eight Billion was on November 15, 2022, marking the milestone of the global population reaching eight billion people.",The Day of Eight Billion was on 15 Nov 2022.,The Day of Eight Billion was on 15 November 2022.,The Day of Eight Billion was on 11/15/2022.,The Day of Eight Billion was on 11-15-2022.,The Day of Eight Billion was on 15/11/2022.,The Day of Eight Billion was on 15-11-2022.,"The Day of Eight Billion was on November 15, 2022.","The Day of Eight Billion was on November 15, 2022."
11,11,335,TEST,Who was the first female president of Slovenia?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/Nata%C5%A1a_Pirc_Musar#:~:text=she%20was%20elected%20the%20first%20female%20president%20of%20Slovenia,Nataša Pirc Musar,,,,,,,,,,,Nataša Pirc Musar was the first female president of Slovenia.,,,,,,,,,
12,12,336,TEST,How many Chinese paddlefish are left in the wild?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/Chinese_paddlefish#:~:text=The%20Chinese%20paddlefish%20was%20officially%20declared%20extinct%20in%202022,zero,none,Chinese paddlefish was declared extinct by the International Union for Conservation of Nature in 2022.,,,,,,,,,There are zero Chinese paddlefish left in the wild.,There are none Chinese paddlefish left in the wild.,"The International Union for Conservation of Nature declared the Chinese paddlefish extinct in 2022, so there are no Chinese paddlefish left in the wild.",,,,,,,
13,13,337,TEST,Which university did Taylor Swift receive her honorary Doctor of Fine Arts degree from?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/Taylor_Swift#:~:text=Swift%20received%20an%20honorary%20Doctor%20of%20Fine%20Arts%20degree%20from%20New%20York%20University,New York University,,,,,,,,,,,Taylor Swift received her honorary Doctor of Fine Arts degree from New York University.,,,,,,,,,
14,14,338,TEST,What was the first episode of The Simpsons to have all female creative leads?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/You_Won%27t_Believe_What_This_Episode_Is_About_%E2%80%93_Act_Three_Will_Shock_You!#:~:text=This%20is%20the%20first%20episode%20of%20The%20Simpsons%20to%20have%20all%2Dfemale%20creative%20leads.,You Won't Believe What This Episode Is About – Act Three Will Shock You!,the 14th episode of the 33rd season,Episode 14 Season 33,,,,,,,,,"The first episode of The Simpsons to have all female creative leads is ""You Won't Believe What This Episode Is About – Act Three Will Shock You!""","The first episode of The Simpsons to have all female creative leads was the 14th episode of the 33rd season, which marked a significant milestone in the show's history.",The first episode of The Simpsons to have all female creative leads was Episode 14 of Season 33.,,,,,,,
15,15,339,TEST,What episode of The Simpsons marked the first time a deaf actor was cast on the show?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/The_Sound_of_Bleeding_Gums#:~:text=This%20episode%20marked%20the%20first%20time%20a%20deaf%20actor%20was%20cast%20on%20The%20Simpsons,The Sound of Bleeding Gums,the 17th episode of the 33rd season,Episode 17 Season 33,,,,,,,,,"The episode of The Simpsons titled ""The Sound of Bleeding Gums"" marked the first time a deaf actor was cast on the show, providing representation and inclusivity for the deaf community.",The 17th episode of the 33rd season of The Simpsons marked the first time a deaf actor was cast on the show.,The episode 17 of Season 33 of The Simpsons marked the first time a deaf actor was cast on the show.,,,,,,,
16,16,340,TEST,What was the first film franchise to gross $28 billion?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/2022_in_film#:~:text=The%20Marvel%20Cinematic%20Universe%20became%20the%20first%20film%20franchise%20to%20gross%20%2426%20billion%2C%20%2427%20billion%2C%20and%20%2428%20billion%20with%20the%20releases%20of%20Doctor%20Strange%20in%20the%20Multiverse%20of%20Madness%2C%20Thor%3A%20Love%20and%20Thunder%2C%20and%20Black%20Panther%3A%20Wakanda%20Forever.,Marvel Cinematic Universe,,,,,,,,,,,"The Marvel Cinematic Universe was the first film franchise to gross $28 billion, making it a groundbreaking achievement in the world of cinema.",,,,,,,,,
17,17,341,TEST,Who was the first African American woman to appear on a quarter in the United States?,before 2022,,False,one-hop,never-changing,https://en.wikipedia.org/wiki/Maya_Angelou#:~:text=She%20is%20the%20first%20Black%20woman%20to%20be%20depicted%20on%20a%20quarter.,Maya Angelou,,,,,,,,,,,Maya Angelou was the first African American woman to appear on a quarter in the United States.,,,,,,,,,
18,18,342,TEST,How old was the youngest passenger on board the Titanic?,before 2022,,False,multi-hop,never-changing,https://en.wikipedia.org/wiki/Millvina_Dean#:~:text=At%20two%20months%20old%2C%20she%20was%20also%20the%20youngest%20passenger%20aboard.,two months old,nine weeks old,72 days old,,,,,,,,,The youngest passenger on board the Titanic was two months old at the time of the voyage.,The youngest passenger on board the Titanic was only nine weeks old at the time of the voyage.,The youngest passenger on board the Titanic was 72 days old at the time of the voyage.,,,,,,,
19,19,343,TEST,Which country hosts the most matches at the FIFA World Cup 2026?,before 2022,,False,multi-hop,never-changing,https://www.goal.com/en-us/news/world-cup-2026-fifa-104-game-format-usa-canada-mexico-three-team-groups-scrapped/blt7f41cb1de2aa37c4#:~:text=with%20the%20U.S.%20initially%20down%20for%2060%20matches%20while%20Canada%20and%20Mexico%20were%20due%20to%20stage%2010%20apiece,the USA,USA,the United States,United States,U.S.,the U.S.,the US,,,,,The USA will host the most matches at the FIFA World Cup 2026.,The USA will host the most matches at the FIFA World Cup 2026.,The United States will host the most matches at the FIFA World Cup 2026.,The United States will host the most matches at the FIFA World Cup 2026.,The U.S. will host the most matches at the FIFA World Cup 2026.,The U.S. will host the most matches at the FIFA World Cup 2026.,The US will host the most matches at the FIFA World Cup 2026.,,,
20,20,344,TEST,Who is the last player to win the Ballon D'or before the Messi–Ronaldo dominance of the award?,before 2022,,False,multi-hop,never-changing,"https://en.wikipedia.org/wiki/Ballon_d%27Or#Winners:~:text=121-,2007,Kak%C3%A1,-AC%20Milan",Kaka,Kaká,Ricardo Kaka,Ricardo Kaká,Ricardo Izecson dos Santos Leite,,,,,,,Kaka is the last player to win the Ballon D'or before the Messi-Ronaldo dominance of the award.,Kaká is the last player to win the Ballon D'or before the Messi-Ronaldo dominance of the award began.,Ricardo Kaka is the last player to win the Ballon D'or before the Messi-Ronaldo dominance of the award.,Ricardo Kaká is the last player to win the Ballon D'or before the Messi-Ronaldo dominance of the award began.,"Ricardo Izecson dos Santos Leite, also known as Kaka, is the last player to win the Ballon D'or before the Messi-Ronaldo dominance of the award.",,,,,
21,21,345,TEST,Who was the only student author of the paper that introduced the LSTM neural network architecture?,before 2022,,False,multi-hop,never-changing,http://www.bioinf.jku.at/publications/older/2604.pdf,Sepp Hochreiter,"Josef ""Sepp"" Hochreiter",Hochreiter,,,,,,,,,Sepp Hochreiter was the only student author of the paper that introduced the LSTM neural network architecture.,"Josef ""Sepp"" Hochreiter was the only student author of the paper that introduced the LSTM neural network architecture.",Hochreiter was the only student author of the paper that introduced the LSTM neural network architecture.,,,,,,,
22,22,346,TEST,What's the capital of the largest state in America?,before 2022,,False,multi-hop,never-changing,"https://en.wikipedia.org/wiki/Alaska#:~:text=Alaska%20is%20the%20largest%20U.S.%20state%20by%20area
https://en.wikipedia.org/wiki/Alaska#:~:text=Capital-,Juneau,-Largest%20city",Juneau,,,,,,,,,,,"Juneau is the capital of the largest state in America, which is Alaska.",,,,,,,,,
23,23,347,TEST,Which city was the capital of California the year it became a state?,before 2022,,False,multi-hop,never-changing,"https://en.wikipedia.org/wiki/San_Jose,_California#American_period:~:text=With%20California%27s%20Admission%20to%20the%20Union%20on%20September%209%2C%201850%2C%20San%20Jose%20became%20the%20state%27s%20first%20capital.",San Jose,San José,"San Jose, California","San José, California",,,,,,,,San Jose was the capital of California the year it became a state.,San José was the capital of California the year it became a state.,"San Jose, California was the capital of California the year it became a state.","San José, California was the capital of California the year it became a state.",,,,,,
24,24,348,TEST,Where is the 8th president of the United States buried?,before 2022,,False,multi-hop,never-changing,https://en.wikipedia.org/wiki/Martin_Van_Buren#Death:~:text=He%20is%20buried%20in%20the%20Kinderhook%20Reformed%20Dutch%20Church%20Cemetery,"Kinderhook, NY","Kinderhook, New York",Kinderhook,New York,,,,,,,,"The 8th president of the United States is buried in Kinderhook, NY.","The 8th president of the United States is buried in Kinderhook, New York.","The 8th president of the United States, Martin Van Buren, is buried in Kinderhook.",The 8th president of the United States is buried in New York.,,,,,,
25,25,349,TEST,"Where was the author of the book ""A Game of Thrones"" born?",before 2022,,False,multi-hop,never-changing,https://en.wikipedia.org/wiki/George_R._R._Martin#Early_life:~:text=Bayonne%2C%20New%20Jersey%2C%20U.S.,"Bayonne, NJ",Bayonne,New Jersey,,,,,,,,,"The author of the book ""A Game of Thrones"" was born in Bayonne, NJ.","The author of the book ""A Game of Thrones"" was born in Bayonne.","The author of the book ""A Game of Thrones"" was born in New Jersey.",,,,,,,
26,26,350,TEST,Who was the emperor of China when the American Revolutionary War ended?,before 2022,,False,multi-hop,never-changing,"https://en.wikipedia.org/wiki/American_Revolutionary_War#:~:text=The%20American%20Revolutionary%20War%20(April%2019%2C%201775%20%E2%80%93%20September%203%2C%201783)
https://en.wikipedia.org/wiki/Qianlong_Emperor#:~:text=He%20reigned%20officially%20from%201735%20until%20his%20abdication%20in%201796",Qianlong,Qianlong Emperor,Qian Long,Long Qian,,,,,,,,Qianlong was the emperor of China when the American Revolutionary War ended.,The Qianlong Emperor was the emperor of China when the American Revolutionary War ended.,Qian Long was the emperor of China when the American Revolutionary War ended.,Long Qian was the emperor of China when the American Revolutionary War ended.,,,,,,
27,27,351,TEST,When did Naughty Dog release its first game on the PS1?,before 2022,,False,multi-hop,never-changing,"https://en.wikipedia.org/wiki/List_of_Naughty_Dog_video_games#:~:text=Studios%5B2%5D-,Crash%20Bandicoot,3%2C%20PlayStation%20Portable%5B8%5D%0A2012%20%E2%80%93%20PlayStation%20Vita%5B9%5D,-Notes%3A",1996,"Sep 9, 1996","September 9, 1996",9 Sep 1996,9 September 1996,09/9/1996,09-9-1996,9/09/1996,9-09-1996,1996/09/9,,Naughty Dog released its first game on the PS1 in 1996.,"Naughty Dog released its first game on the PS1 on Sep 9, 1996.","Naughty Dog released its first game on the PS1 on September 9, 1996.",Naughty Dog released its first game on the PS1 on 9 Sep 1996.,Naughty Dog released its first game on the PS1 on 9 September 1996.,"Naughty Dog released its first game on the PS1 on 09/9/1996, marking the beginning of their successful journey in the gaming industry.","Naughty Dog released its first game on the PS1 on September 9, 1996.",Naughty Dog released its first game on the PS1 on 9/09/1996.,Naughty Dog released its first game on the PS1 on 9-09-1996.,"Naughty Dog released its first game on the PS1 on September 9, 1996."
28,28,352,TEST,The town that Sigmund Freud was born in is currently called by what name?,before 2022,,False,multi-hop,never-changing,https://en.wikipedia.org/wiki/Sigmund_Freud#:~:text=Sigmund%20Freud%20was%20born%20to%20Ashkenazi%20Jewish%20parents%20in%20the%20Moravian%20town%20of%20Freiberg%2C%5B12%5D%5B13%5D%20in%20the%20Austrian%20Empire%20(in%20Czech%20P%C5%99%C3%ADbor%2C%20now%20Czech%20Republic),Příbor,"Příbor, Czech Republic",Pribor,,,,,,,,,"The town that Sigmund Freud was born in, Příbor, is currently called by the same name.","The town that Sigmund Freud was born in, Příbor, Czech Republic, is currently called by that name.","The town that Sigmund Freud was born in, Pribor, is currently called Pribor.",,,,,,,
29,29,353,TEST,Along what tectonic plate boundary were yeti crabs first discovered?,before 2022,,False,multi-hop,never-changing,https://en.wikipedia.org/wiki/Kiwa_hirsuta#:~:text=It%20was%20found%20along%20the%20Pacific%2DAntarctic%20Ridge,Pacific-Antarctic Ridge,Pacific Antarctic Ridge,PAR,,,,,,,,,"Yeti crabs were first discovered along the Pacific-Antarctic Ridge, which is the tectonic plate boundary where they were found.",Yeti crabs were first discovered along the Pacific Antarctic Ridge tectonic plate boundary.,"Yeti crabs were first discovered along the Pacific-Antarctic Ridge (PAR), which is a tectonic plate boundary.",,,,,,,
30,30,354,TEST,Which province borders Shanghai to the north?,before 2022,,False,multi-hop,never-changing,https://en.wikipedia.org/wiki/Geography_of_Shanghai#:~:text=north%20and%20west%20to%20Jiangsu%20province,Jiangsu,Jiangsu province,,,,,,,,,,Jiangsu is the province that borders Shanghai to the north.,Jiangsu province is the province that borders Shanghai to the north.,,,,,,,,
31,31,355,TEST,Where was the primary designer of AlexNet born?,before 2022,,False,multi-hop,never-changing,"https://en.wikipedia.org/wiki/American_Revolutionary_War#:~:text=The%20American%20Revolutionary%20War%20(April%2019%2C%201775%20%E2%80%93%20September%203%2C%201783)
https://en.wikipedia.org/w/index.php?title=Alex_Krizhevsky&oldid=1222486527#:~:text=Alex%20Krizhevsky%20is%20a%20Ukrainian%2Dborn%20Canadian%20computer%20scientist",Ukraine,Soviet,,,,,,,,,,The primary designer of AlexNet was born in Ukraine.,The primary designer of AlexNet was born in the Soviet Union.,,,,,,,,
32,32,356,TEST,What is the main character's name in the last novel Jane Austen published while alive?,before 2022,,False,multi-hop,never-changing,https://en.wikipedia.org/wiki/Emma_(novel)#:~:text=Emma%2C%20written%20after%20Austen%27s%20move%20to%20Chawton%2C%20was%20her%20last%20novel%20to%20be%20published%20during%20her%20lifetime,Emma,Emma Woodhouse,,,,,,,,,,The main character's name in the last novel Jane Austen published while alive is Emma.,The main character's name in the last novel Jane Austen published while alive is Emma Woodhouse.,,,,,,,,
33,33,357,TEST,After which country did Marie Curie name the first element that she discovered?,before 2022,,False,multi-hop,never-changing,https://en.wikipedia.org/wiki/Marie_Curie#:~:text=She%20named%20the%20first%20chemical%20element%20she%20discovered%20polonium%2C%20after%20her%20native%20country.,Poland,,,,,,,,,,,Marie Curie named the first element that she discovered after Poland.,,,,,,,,,
34,34,358,TEST,When was the bass player of Miles Davis's first quintet born?,before 2022,,False,multi-hop,never-changing,"https://en.wikipedia.org/wiki/Paul_Chambers#:~:text=Born-,April%2022%2C%201935,-Pittsburgh%2C%20Pennsylvania",1935,"Apr 22, 1935","April 22, 1935",22 Apr 1935,22 April 1935,04/22/1935,04-22-1935,22/04/1935,22-04-1935,1935/04/22,,The bass player of Miles Davis's first quintet was born in 1935.,"The bass player of Miles Davis's first quintet was born on April 22, 1935.","The bass player of Miles Davis's first quintet was born on April 22, 1935.",The bass player of Miles Davis's first quintet was born on 22 Apr 1935.,The bass player of Miles Davis's first quintet was born on 22 April 1935.,The bass player of Miles Davis's first quintet was born on 04/22/1935.,"The bass player of Miles Davis's first quintet was born on April 22, 1935.",The bass player of Miles Davis's first quintet was born on 22/04/1935.,The bass player of Miles Davis's first quintet was born on 22-04-1935.,"The bass player of Miles Davis's first quintet was born on April 22, 1935."
35,35,359,TEST,What organization handles the equivalent of the Nobel prize for computer science?,before 2022,,False,multi-hop,never-changing,https://en.wikipedia.org/wiki/Turing_Award#:~:text=The%20ACM%20A.%20M.%20Turing%20Award%20is%20an%20annual%20prize%20given%20by%20the%20Association%20for%20Computing%20Machinery%20(ACM),Association for Computing Machinery (ACM),,,,,,,,,,,The Association for Computing Machinery (ACM) is the organization that handles the equivalent of the Nobel prize for computer science.,,,,,,,,,
36,36,360,TEST,Who is the highest-earning woman in music on the Forbes' Celebrity 100 list in 2020?,before 2022,,False,multi-hop,never-changing,https://en.wikipedia.org/wiki/Ariana_Grande#:~:text=In%202020%2C%20Grande%20became%20the%20highest%2Dearning%20woman%20in%20music%20on%20Forbes%27s%202020%20Celebrity%20100%20list,Ariana Grande,Ariana Grande-Butera,,,,,,,,,,Ariana Grande is the highest-earning woman in music on the Forbes' Celebrity 100 list in 2020.,Ariana Grande-Butera is the highest-earning woman in music on the Forbes' Celebrity 100 list in 2020.,,,,,,,,
37,37,361,TEST,How many athletes are there in the top 10 of the Forbes' Celebrity 100 list in 2020?,before 2022,,False,multi-hop,never-changing,https://www.forbes.com/celebrities/list,5,five,,,,,,,,,,There are 5 athletes in the top 10 of the Forbes' Celebrity 100 list in 2020.,There are five athletes in the top 10 of the Forbes' Celebrity 100 list in 2020.,,,,,,,,
38,38,362,TEST,Has Virginia Woolf's novel about the Ramsay family entered the public domain in the United States?,before 2022,,False,multi-hop,never-changing,"https://publicdomainreview.org/blog/2023/01/public-domain-day-2023/#:~:text=Lang%27s%20Metropolis%2C-,Virginia%20Woolf%E2%80%99s%20To%20the%20Lighthouse,-%2C%20and%20the%20works",Yes,,,,,,,,,,,"Yes, Virginia Woolf's novel about the Ramsay family has entered the public domain in the United States.",,,,,,,,,
39,39,363,TEST,How old was Roger Federer when he retired from tennis?,before 2022,,False,multi-hop,never-changing,https://www.dailymail.co.uk/sport/tennis/article-11215717/Roger-Federer-announces-retire-tennis-age-41.html#:~:text=Tennis%20legend%20Roger%20Federer%C2%A0has%20announced%20he%20will%20retire%20from%20the%20sport%20at%20the%20age%20of%2041.,41,41 years old,,,,,,,,,,Roger Federer was 41 years old when he retired from tennis.,Roger Federer retired from tennis at the age of 41 years old.,,,,,,,,
40,40,364,TEST,What is the name of the 2022 Atlantic hurricane season's first major hurricane?,before 2022,,False,multi-hop,never-changing,https://en.wikipedia.org/wiki/2022_Atlantic_hurricane_season#:~:text=Among%20them%2C%20Hurricane%20Fiona%20became%20the%20season%27s%20first%20major%20hurricane%20on%20September%C2%A020,Hurricane Fiona,Fiona,,,,,,,,,,The name of the 2022 Atlantic hurricane season's first major hurricane is Hurricane Fiona.,The name of the 2022 Atlantic hurricane season's first major hurricane is Fiona.,,,,,,,,
41,41,365,TEST,In what city did the first successful heart transplant from a pig to a human patient take place?,before 2022,,False,multi-hop,never-changing,"https://www.medschool.umaryland.edu/news/2023/lessons-learned-from-worlds-first-successful-transplant-of-genetically-modified-pig-heart-into-human-patient-.html#:~:text=This%20groundbreaking%20procedure%20was%20conducted%20by%20University%20of%20Maryland%20School%20of%20Medicine%20(UMSOM)%20physician%2Dscientists%20back%20in%20January%202022%20and%20marked%20an%20important%20milestone%20for%20medical%20science.
https://www.medschool.umaryland.edu/#:~:text=W.%20Baltimore%20Street%2C-,Baltimore%20MD,-21201",Baltimore,"Baltimore, Maryland","Baltimore, MD","Baltimore, Maryland, United States","Baltimore, MD, USA",,,,,,,The first successful heart transplant from a pig to a human patient took place in Baltimore.,"The first successful heart transplant from a pig to a human patient took place in Baltimore, Maryland.","The first successful heart transplant from a pig to a human patient took place in Baltimore, MD.","The first successful heart transplant from a pig to a human patient took place in Baltimore, Maryland, United States.","The first successful heart transplant from a pig to a human patient took place in Baltimore, MD, USA.",,,,,
42,42,366,TEST,Which football player has a personal logo with the same initials as those in King Charles III’s Royal cypher?,before 2022,,False,multi-hop,never-changing,https://www.dailymail.co.uk/news/article-11253589/King-Charles-IIIs-new-cypher-likened-Cristiano-Ronaldos-CR7-logo-Real-Madrid-badge.html#:~:text=King%20Charles%27%20new%20cypher%20has%20caused%20a%20stir%20on%20social%20media%20due%20to%20its%20startling%20resemblance%20to%20Cristiano%20Ronaldo%27s%20own%20personal%20logo.,Cristiano Ronaldo,Ronaldo,CR7,Cristiano Ronaldo dos Santos Aveiro GOIH ComM,,,,,,,,Cristiano Ronaldo is the football player who has a personal logo with the same initials as those in King Charles III's Royal cypher.,Ronaldo is the football player who has a personal logo with the same initials as those in King Charles III's Royal cypher.,"CR7, which stands for Cristiano Ronaldo, is the football player who has a personal logo with the same initials as those in King Charles III's Royal cypher.",Cristiano Ronaldo dos Santos Aveiro GOIH ComM is the football player who has a personal logo with the same initials as those in King Charles III's Royal cypher.,,,,,,
43,43,367,TEST,How old was Queen Elizabeth II when she died?,before 2022,,False,multi-hop,never-changing,"https://en.wikipedia.org/wiki/Elizabeth_II#:~:text=September%202022%20(-,aged%C2%A096,-)%0ABalmoral%20Castle",96 years old,96,,,,,,,,,,Queen Elizabeth II was 96 years old when she died.,Queen Elizabeth II was 96 years old when she died.,,,,,,,,
44,44,368,TEST,What killed the King of Soccer?,before 2022,,False,multi-hop,never-changing,https://en.wikipedia.org/wiki/Pel%C3%A9#:~:text=Pel%C3%A9%20died%20on%2029%20December%202022%2C%20at%203%3A27%20pm%2C%20at%20the%20age%20of%2082%2C%20due%20to%20multiple%20organ%20failure%2C%20a%20complication%20of%20colon%20cancer.,"multiple organ failure, a complication of colon cancer",colon cancer,cancer,,,,,,,,,"The King of Soccer died from multiple organ failure, which was a complication of colon cancer.",The King of Soccer died from colon cancer.,The King of Soccer died from cancer.,,,,,,,
