Questions,Answers
Angelo Francesco Lavignino scored a 1965 English-language Spanish-Swiss co-produced film that was directed by and also starred who?,Orson Welles
What three categories does income get levied under the Parliament of Australia's tax code?,"""personal earnings"" (such as salary and wages), ""business income"" and ""capital gains"""
Scout Tufankjian and Daron Malakian are both what?,Armenian-American
Which novelist wrote under the pen name Walter Ericson: Laura Esquivel or Howard Fast?,Howard Melvin Fast
Edmund Robert Harris is the principal benefactor of a museum located where ?,Preston
Were Illinois Institute of Technology and Boise State University both bounded before 1950?,yes
Erwin Lambert was a member of which paramilitary organization under Hitler?,Schutzstaffel
"Michael Pollock was was a senior officer in the United Kingdom's naval warfare force, also known as the what?",Royal Navy
What is the population of the city at which the transmitter of WLLZ-LP was placed? ,"143,372"
"Who is descended from William, 4th Lord Livingston and was a statesman from New York City? ",Philip Livingston
Padosan had a supporting actor who is known as a successful playback singer in what language?,Hindi
Macclesfield Town F.C. plays in the league sponsored by whom?,Vanarama
"What song by the American rapper Coolio is on his greatest hits album ""Fantiastic Voyage"" and samples from a Stevie Wonder song?",Gangsta's Paradise
Who was the eldest brother of the Mexican drug trafficker born 12 March 1952?,Francisco Rafael Arellano Félix
In which University is Richard Williams' former assistant a member of the Athletics Hall of Fame?,Campbellsville University
"Marvel Classics Comics specialized in adaptations of literary classics, such as a novel by American writer Herman Melville, that was published in what year?",1851
"When was the Chief Aerodynamicist for the British supersonic land vehicle, whose goal is to match or exceed 1000 mph achieving a new world land speed record, born?",1932
The third emperor in the Year of the Four Emperors had how many wives? ,second
Keanu is a 2016 American action comedy film directed by Peter Atencio and written by who?,Jordan Peele
Where is the seminar Jeanne Marie Beaumont directed in 2007-2010 located?,"Franconia, New Hampshire"
What is the name of the father of Childericus?,Merovech
Immanuel Lutheran School is affiliated with the denomination that has how many members?,2.1 million
in the 2004 Hockey film produced by a former major league baseball pitcher who played the USA coach?,Kurt Russell
Tamanchey is a comedy film that starred the actress who works in what type of films?,Hindi
"Which star of ""Chalet Girl"" also appeared in ""The Treasure Seekers""?",Felicity Rose Hadley Jones
Who currently has more store locations? Bearno's or Patxi's Chicago Pizza?,Bearno's Pizza
Bethpage State Parkway begins with an interchange at which Long Island-based limited access highway?,Southern State Parkway
At what frequency the magazine publishes which ranked  Aditya Puri #24th in India's 50 Most powerful people of 2017 list?,fortnightly
"Which plant genus has a longer common name, Myrtus or Eustoma?",Eustoma
"Which Nigerian footballer who plays as a forward for Shanghai Greenland Shenhua was one of eleven players to have played in the top divisions in Italy, Spain, England and Germany?",Obafemi Martins
 Who was born first Doug Liman or Saul Metzstein?,"Douglas Eric ""Doug"" Liman"
"Which band has more members, Kitchens of Distinction or Royal Blood?",Kitchens of Distinction
Cistus and Stapelianthus are both forms of what?,flowering plants
An Cat Dubh / Into the Heart is a song from the U2 album released on what date?,20-Oct-80
What is the current position held by the Nathan Sharansky's co-author of the book The Case for Democracy?,Israeli Ambassador
What casino in Las Vegas which is now operated by MGM Resorts International was developed by William G. Bennett?,Excalibur Hotel and Casino
Paul DeBoy is known for an appearance in the Western action-adventure game developed by which company?,Rockstar San Diego
"What is the name of this New York based American investment management firm founded in 1982, whose co-CEO is Robert Mercer?",Renaissance Technologies
Are Des Moines International Airport and Grand Canyon National Park Airport both major airline hubs?,no
 The Canadian Hot 100 is a music industry record chart in Canada for for a song that is released separately from what?,an album
Is Karjiang a mountain and Sherpi Kangri a mountain peak?,yes
Which one the cast members in the film Only Lovers Left Alive also played in Othello?,Tom Hiddleston
"Stephen Graham starred in a film in 2006, directed by whom?",directed by Shane Meadows
Which member of the research project conducted by the Creation Research Society and the Institute for Creation Research between 1997 and 2005 was Kevin R. Henke most critical of? ,Russell Humphreys
Psycho-physical Awareness was developed into an original and dependable method by a Russian-American actor who was referred to by Konstantin Stanislavski as what?,his most brilliant student
What is the name of the character portrayed by Anna Camp in the film centered on the fictional Barden University and The Bellas?,Aubrey Posen
"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",Nusretiye Mosque
What production company was founded by George Balanchine to create a live stage version of the 1942 film Casablanca?,The Los Angeles Dance Theater
"What city that Lettuce Lake Park is just outside of is the largest in Hillsborough County, Florida? ",Tampa
Which US Supreme court case involved a waiver of right to counsel Planned Parenthood v. Casey or Montejo v. Louisiana?,Montejo v. Louisiana
"Who produced the 1998 British comedy starring the director of the feature film ""Eddie the Eagle""?",Matthew Vaughn
"In what year was the band, whose bassist joined Arvas in 1996, formed?",1992
Which company does Timothy Oulton retail his products through that is based in Corte Madera?,Restoration Hardware
In between Atsushi Ogata and Ralph Smart who graduated from Harvard College?,Atsushi Ogata
The owner of radio station KWPW has the same name as an American character actor. What is it?,Bill McCutcheon
What game did the team with an 11-1 regular season record play in for the BCS title game?,2004 Nokia Sugar Bowl
"What German medium tank, sometimes called the ""Mark V"", that was deployed on the Eastern and Western fronts from mid-1943 provided the armor and suspension for the chassis of the tank destroyer built by Nazi Germany during World War II?",The Panther
Abraham Lincoln Neiman and his wife Carrie Marcus Neiman cofounded Neiman Marcus with Carrie's brother Herbert in which American city in 1907?,Dallas
Which show that premiered in May 2011 is hosted by someone with the birth name Richard Kirschner?,My Cat from Hell
"Abraham Lokin was born on an archipelago between the Norwegian Sea and North Atlantic, that is about 200 miles north-northwest of where?",Scotland
Do the bands named Phoenix and Shearwater specialize in the exact same genre?,no
"Which former American football player had a part in the movie ""Gamer?""",Terry Crews
"North Blenheim, New York was destroyed by flooding caused by the Hurricane that landed in what month?",11-Aug
"Who is older, Ivan Foster or Ian Paisley?",Ian Paisley
"The founder of this Canadian owned, American manufacturer of business jets for civilian and military developed this portable tape system.",8-track
"Which American rock band was formed first, Soil or Drowning Pool?",Drowning Pool
What artistic endeavor do Fallujah and Dying Fetus have in common?,death metal band
"Which Star of British-Canadian-American satirical comedy, co starting with Ricky Gervais, began his career in sketch comedy series""Full Frontal"" ?",Eric Banadinović
Kevin Watson currently manages which Southern League football team?,Bishop's Stortford
What New York representative and politician was defeated by Alan Hevesi in 2002?,John Faso
"What mixed martial arts even took place at a closed hotel and casino on the Boardwalk in Atlantic City, owned by Trump Entertainment Resorts?",The War of '04
Li Yitong made her television debut on which network?,Dragon TV
Who manufactured the scooter upon which the Bajaj Priya was based off of?,Piaggio
Cranium and Twin Tin Bots are both what?,games
When did the author of the book One More River is based on win the Nobel Prize?,1932
Did the board game San Marco or About Time come out first?,San Marco
What type of veterinary specialist is the star veterinarian of The Bionic Vet?,neuro-orthopaedic
Are both Helen Dunmore and M. P. Shiel of West Indian descent?,no
What is the nationality of the wrestler who sang on A Jingle with Jillian?,American
EMU Australia is best known for their unisex style boots that are typically made of what?,Sheepskin
Hardley Flood is an area of lagoons that support populations of the waterfowl that are a medium sized version of what animal?,duck
"Johnny Mathis: Wonderful Wonderful aired at what luxury hotel, casino and spa resort located in Atlantic City, New Jersey?",Tropicana Casino & Resort
What is the name of the popular shopping destination located close to the Taj Mahal and Agra Fort in India?,Sadar Bazaar
"Which University was founded earlier, Pennsylvania State University or Queen's University?",Queen's University
The wolf pack football team represented what university? ,"University of Nevada, Reno"
Adena Friedman was formerly the managing director and CFO of a company that specializes in what four key business areas?,"corporate private equity, real assets, global market strategies, and investment solutions."
How many consecutive years had the Serie A been comprised of 18 teams when Hernan Crespo got injured?,15th consecutive
Which ground force of the Austro-Hungarian Dual Monarchy did Jan Romer joined ,The Austro-Hungarian Army
"The county that the community of Milltown, Montana is part of was founded in which year?",1860
Are PC Magazine and Sculptural Pursuit both technology publications?,no
Why is Serena Williams more accomplished than Mariaan de Swardt in her tennis career?,the world No. 1 for the first time
"Jennifer Gordon received a bachelor of arts degree from which women's liberal arts college in Cambridge, Massachusetts, and functioned as a female coordinate institution for the all-male Harvard College?",Radcliffe College
Who created the manga series originally serialized from 1994-1995with a superheroine?,Tonde Burin
"Which documentary was filmed first, Almost Sunrise or Hail! Hail! Rock 'n' Roll?",Hail! Hail! Rock 'n' Roll
What creature of American folklore gained notoriety in 1964?,Dewey Lake Monster
What profession do Raj Kapoor and Mike Cahill share?,director
"The actress who played Laurie Keller in the episode ""Pilot"" of the show Cougartown won what award in 2011?",Critics' Choice Television Award for Best Supporting Actress in a Comedy Series
What year was the Argentine singer and actor who both directed and starred in El Tio Disparate born?,1942
Who was hung for assisting the attempted surrender of a defector from the American Continental Army to the British Army?,John André
In what basketball position does the brother of Saulius Kuzminskas play?,small forward
What type of the district is the Downtown Bentonville of the state in the southeastern region of the United States which is home to over 3 million people as of 2017?,business district
"What is the name of the genocidal mass slaughter of Tutsi Rwanda, in which Cyprian and Daphrose Rugamba were assassinated?",Rwandan genocide
Which fictional MI6 agent is a fictional character created by the British journalist and novelist Ian Fleming in 1952?,Commander James Bond RN
Kenneth Arnold reported the first unidentified object sighting in what city and state in 1947?,"Mount Rainier, Washington"
Where are Neoregelia and Aloysia known to grow,"temperate climates,"
In what county is The Third Fitzwilliam Meetinghouse located?,"Cheshire County, New Hampshire"
Metro West Ambulance serves event support for the building in Portland formerly known as what?,Rose Garden
What is the population of the town that gets it's water supply from Canobie Lake?,"28,776 at the 2010 census"
"What is the name of the company manged by Joseph Reiser based in Biel/Bienne, Switzerland?",Omega SA
What was the name of the first biography of Brontë written by the author of Mary Barton?,Elizabeth Gaskell
What collegiate division does the team coached by P.W. Underwood play in?,Division I
What was the name of the alum by the Scorpions that contained one of their most famous songs written by Klaus Meine and Herman Rarebell?,Love at First Sting
"Which band, Matthew Good Band or Switchfoot is still together?",Switchfoot
"Which is a university in Pennsylvania, University of New Haven or Carnegie Mellon University?",Carnegie Mellon University
What is the name of the fashion label that the founder of the Faena Arts Center founded in 1985?,Via Vai
What is the call sign of the airline that operates the flight with United Express Flight 3411 incident?,Brickyard
What are the names of the co-directors of the psychological horror film starring Emily Browning and Elizabeth Banks?,Charles and Thomas Guard
"""Aroma-scope"" used in Spy Kids 4 is reminiscent of what marketing gimmick used in Polyester in 1981?","""Odorama"""
"Did the host of Splash! win a gold, silver, or bronze Olympic medal?",bronze
"On what album is Samuel ""Sam"" Ervin Beam's cover of ""Such Great Heights"" featured?","""Give Up"""
What is the total circulation of the magazine that called Ohio State Route 78 one of the most scenic highways nationwide?,Car and Driver
"Between MetroSource and Chicago, which magazine is published more frequently?",Chicago
"Who has a wider scope of profession,  José Echegaray or Graham Swift?",José Echegaray
What genre does Orkworld and John Wick have in common?,role-playing
Which star of Here Come the Munsters was born in Philadelphia ?,Veronica Hamel
What county is the congressional district that Hansen Clarke was a U.S. Representative for in?,Wayne County
"Which dog is based in Switzerland, Appenzeller Sennenhund or Drentse Patrijshond?",Appenzeller Sennenhund
Is the university that owns WCSU-FM historically black or white?,black
What occupation have Carly Gullickson and Francesca Schiavone both held?,professional tennis player.
What is the age range of the league for which the Bobby Smith Trophy is awarded?,16-21
Which documentary film came out first The Last Lions or Prophet's Prey ?,The Last Lions
At what university can the building that served as the fictional household that includes Gomez and Morticia be found?,Syracuse University
"Which was released first, The Greatest Game Ever Played or Hot Lead and Cold Feet?",Hot Lead and Cold Feet
Which award David Hersey had got for Equus a play by Peter Shaffer ?,Outstanding Lighting Design
"Which drink is larger, the Apple-Kneel or the Flaming volcano?",The flaming volcano
What Andy Williams' album did a song written by Charles Wesley appear on?,The Andy Williams Christmas Album
Who co-wrote The Hidden History of the Human Race with a man know devotionally as Drutakarma dasa?,Richard L. Thompson
"What WikiLeaks using whistleblower is notable for having a hacking organization with a user base of over 1,800,000?",Jeremy Hammond
"In the 1970s, which group acquired this department store group in the United Kingdom whose co-founding director is the father of Lieutenant Colonel Donald Swain Lewis?",Army & Navy Stores
Who covered the song I Love You by Chris Write?,People! and The Carnabeats
Phoebe Ruguru created a 2014 film on a smartphone marketed by what company?,Apple
"Charles Barton ""Chuck"" Kendall, Jr. was reportedly interested in purchasing the Los Angeles Clippers from which Jewish-American businessman?",Donald Sterling
Evan Williams played for what professional football club that was originally known as St. Luke's FC?,Wolverhampton Wanderers Football Club
"Who is younger, Wayne Coyne or Toshiko Koshijima?",Toshiko Koshijima
What was the Volvo S70 essentially modeled after and was the first all wheel drive Volvo?,Volvo 850
"Meomi Design works include The Octonauts book series, how did the adaptations of the series continue? ",a British children's television series
"When was the only long-term psychiatric hospital operated founded in a county in the USA with a population of 9,298 in 2010?",in 1877
What is the weight limit of the weight class that Takeyasu Hirono fights in?,125 lb (57 kg)
"Ray Roughler Jones single-handedly produced the magazine Roughler, but what Swedish singer-songwriter made contributions to the magazine?",Neneh Cherry
"Which professional tennis player was born first, Lucie Hradecká or Raffaella Reggi?",Raffaella Reggi
Rumble Fish was a novel by the author of the coming-of-age novel published in what year by Viking Press?,1967
Between Harvey Pekar and Denise Levertov who was born earlier?,Denise Levertov
What Brooklyn-based rapper has worked with both Rafeal Casal and Mos Def?,Talib Kweli
Where does Tiko's Spanish football club hold home games at?,Estadio de López Cortázar
What is the nickname of a professional German footballer as well as the name of a children's book?,The BFG
Are Centaurium and Dacrydium both genuses of plant species?,yes
"In what year was the Sayrevill, New Jersey rock band that Frankie LaRocka played drums for formed?",1983
"What area once connected Great Britain to continental Europe, and is thought to have been submerged around 6,200 BCE by a massive landslide along 290 km of the continental shelf?",Doggerland
"Which is longer, Hampshire and Hampden Canal or Tennessee-Tombigbee Waterway?",Tennessee-Tombigbee Waterway
"How often do trains run on the system which has a terminal station located at the intersection of 32nd Street and Sixth Avenue in the Herald Square neighborhood of Manhattan, New York City?",24 hours a day and 7 days a week
"What Congressional district featured Republican nomiee Willie Vaden in 2004, 2006, and 2008?",Texas's 27th congressional district
"What's the familiar short name of Polyethylene terephthalate, a material used by bottle makers such as Ecopack of Pakistan?",PET
"How is Christopher Buckley related to the founder of ""National Review"" magazine?",son
In what type of imprisonment where the inmates Arne Berge helped rescue during operation White Buses?,concentration camp
"What city, located in Lincoln County, Montana, United States, is Vegepet based in?","Troy, Montana"
J. Searle Dawley and Ken Annakin were both directors of what?,"Kenneth Cooper ""Ken"" Annakin, OBE (10 August 1914 - 22 April 2009) was a prolific English film director."
What term is the current chairman of Prince William County serving?,fourth term
Are Hoodoo Gurus and Pierre Bouvier of the same nationality?,no
"What band in the ""Art Wave"" scene is based in Glasgow?",Franz Ferdinand
Pashto is the main language among a diaspora that has it's largest community in which country ?,Pakistan
"Which is the Oil Capital of China, Chaoyang District, Shantou, or Daqing?",Daqing
Are both the Wire Fox Terrier and West Siberian Laika dog breeds?,yes
"The NG postcode area is situated approximately how many miles from Gamston, Rushcliffe?",approximately 3 mi
Which British racing driver has raced for 7 different teams and won the European Grand Prix in 1999?,Johnny Herbert
Where did the punter for the Dallas Cowboys in the 1980s play college football?,Arizona State University
The 1966 Football League Cup Final was contested with which team that is based in the West Midlands?,West Bromwich Albion Football Club
"Mike Huckabee took part in the most recent Republican Presidential primaries, which began on what 2016 date?",1-Feb
What song was number 4 on the charts when a song from FutureSex/LoveSounds was number 1?,Rudebox
Where do the team that John Grant joined after the 1972 World Cup now play their games ?,Halliwell Jones Stadium
"After joining Saturday Night Live in 2012, Cecily Strong played which character in the sketch ""What Up with That""?",Piper
Who was responsible for the Soviet-Albanian split?,Nikita Khrushchev
"Which of the steering committee was an American broadcast journalist, best known as anchorman for the ""CBS Evening News"" for 19 years?",Walter Cronkite
Who served as the 1st Vice President of Colombia under El Libertador?,Antonio Hilarión Zea Díaz
"What is the surname of the recorder of ""Jupiter (Swallow the Moon)""",Kilcher
What Labor member of the House of Representatives in the Australian Parliament was a member of the Australian Labor Party Australian Young Labor?,Tony Burke
Are Ash Lieb and Elswyth Thane both artists?,no
"What type of mansion was built for the founder of the company marketed the oil engine under the ""Hornsby-Akroyd"" name?",Gothic Revival
My First Mister co-stars an actor who was best known for his role as what character on the TV series Roseanne?,Dan Conner
How many households does the network that Di-Gata Defenders plays on in South Africa reach?,1.5 million households
"Which was published founded most recently, InStyle or Godey's Lady's Book?",InStyle
Who is older Craig Nicholls or Norman Blake ?,Norman Blake
Where was the rapper in 13 Dead Men from?,New Orleans
 Thomas Anthony Jankiewicz was best known for penning a film staring an actress who played Fiona Bowa on what NBC sitcom?,About a Boy
"The Ronkonkama railroad station and the town of Islip, New York are near?",Long Island
Deyemi Okanlawon was in a music viideo by a Nigerian rapper who began his career with what group?,The School Boys
"Erik Marcisak was named one of Top Ten ""Comedy Best Bets"" by a brand with special focus on what ?","casting, job opportunities, and career advice"
Gül Mosque and Hippodrome of Constantinople are both located where?,"Istanbul, Turkey"
Who is the Chief Executive Officer of the corporation that owns Space Dev?,Fatih Ozmen
What other method of extending an ice hockey game exists other than the one used in the 1932 Allan Cup?,the shootout
What is one of the most successful retro-clones that is no longer supported by Wizards of the Coast?,Old School Reference and Index Compilation
"The player also known as  ""O Fenômeno"" is responsible for popularized a soccer move first reported to be used by what player?",Law Adam
"Who was the writer of the graphic novel upon which the 2003 American superhero film, directed by Bryan Singer, is based?",Chris Claremont
"When was the American singer, songwriter, actress and LGBT rights activist born who won Grammy and Emmy award?",22-Jun-53
Which team based in South Wales participated in a final game of 1980 Welsh Cup Final?,Newport County
What Nobel Laureate teaches at  Chapman University?,Vernon Smith
Chuck Berry House was where the 1957 hit single that reached what ranking on the R&B singles chart was composed?,number 8
Finna Get Loose is a song by Puff Daddy and what American rapper who is also a record and film producer?,Pharrell Lanscilo Williams
Which composer was born first out of Gaspare Spontini and Wolfgang Amadeus Mozart?,Gaspare Luigi Pacifico Spontini
Do Dillingham Airport and Rafael Hernández Airport both handle civilian (passenger) service?,yes
"Which band has the guitarist Gorden Mack, Red House Painters or Daughtry?",Red House Painters
Which film industry would have films in which Ilya Khrzhanovsky would be the director?,The cinema of Russia
"What public service broadcaster with over 20,950 employees, aired the variety show Welsh Rarebit?",British Broadcasting Corporation (BBC)
What year did Francesca Caccini's father die?,1618
Are both Jonathan Marray and Wayne Black British?,no
What is the name of the national level academy for performing arts that Bhupen Hazarika won his award in 2008? ,Sangeet Natak Akademi
"Wild About Harry stars an actor born September 28, 1992 who appeared in what in 2006?",Kill Your Darlings
Which hip hop act that collaborated in the Red Hot AIDS Benefit Series was also a trio that was formed in New York?,De La Soul
Pro Evolution Soccer 2016 includes which Brazilian footballer on the cover?,Neymar
What Canadian filmmaker created a film about Bettie Page in 2005?,"Mary Harron (born January 12, 1953)"
Petroglyphs on Ingaro isalnd indicate it has been innhabited since an era that lasted until what year?,500 BC
The Genesis Flood is a book by John C. Whitcomb and what founder of the Creation Research Society and the Institute for Creation Research?,Henry Madison Morris
What is the name of the largest publicly owned company in Minnesota that is situated in Minnesota's most populous county?,United Healthcare
"Which magazine was published first, Woman's Day or The Lady?",The Lady
"Flowers in the Attick starred which ""Mad Men"" actress?",Kiernan Brennan Shipka
What is another name for the butterfly of the Hesperiidae family that is found in the third largest country in Africa?,the buff-tipped skipper
What kind of action does Mark's Pizzeria and Patxi's Chicago Pizza have in common?,founded
"Who gained recognition earlier, Tim Roth or Polly Draper","Timothy Simon ""Tim"" Roth"
Jean Hudson Boyd is known for her controversial sentencing of Ethan Couch. What was his sentence?,ten years of probation
Follow the Yellow Brick Road Tour is taking place to commemorate the album that was recorded where?,Château d'Hérouville
California joined the Union due to the passage of a package of how many separate bills?,five
"The band who released the debut album ""Tinted Windows"" had their first performance in what city?",Tulsa
"What is the nationality of the actor who was a leading man of Michèle Mercier and born on November 3, 1921?",American
"Which breed of dog came first, the Norrbottenspets or the Blue Lacy?",Norrbottenspets
"Who was the director of the film featuring the character ""Supah Ninjas""?",Don Hall
"What concert tour headlined by Coal Chamber in 1999 was named after the popular hit song by the Puerto Rican singer Ricky Martin, spanish for ""the crazy life""?",Livin' la Vida Loca
Hey Ya is a song performed on The Ed Sullivan Show on CBS by which hip hop artist in 2003?,is a song written and produced by André 3000
What items are used to play both Lapta and Rounders?,bat and ball
Of Mehran University of Engineering and Technology or University of Debrecen which is in Pakistan?,Mehran University of Engineering and Technology
"Who wrote shorter stories, Raymond Carver or Lydia Davis?",Lydia Davis
"Who produced the 2015 film starring Jesse Eisenberg, Gabriel Byrne, Isabelle Huppert, David Strathairn, and Amy Ryan?",Thomas Robsahm
"Which sports station was the host of The Late Show, prior to Damien Fahey, an anchor for?",ESPN
"How is the Dutch footballer, Ryan Babel, connected to the song, Wij Zijn Ajax?","The song also features rap parts from Darryl, RB Djan and Ryan Babel."
"Who was the author of the book ""The Coming Global Superstorm"" and was also the host of the radio program ""Coast to Coast AM?"" ",Art Bell
Which song that John Kirby scored  is often the final piece of music played during an evening of revelry?,"""Loch Lomond"""
What date in 2010 was a South Korean film starring  Kim Hyang-gi released?,14-Jan-10
What role in the military did the discoverer of the elliptical galaxy NGC 3610 have before reaching Britain ?,"Military Band of Hanover,"
Spill.com gave their final review for a movie directed by who?,John Lee Hancock
"What golf course, located in Fulton County, Georgia, saw Keegan Bradley win a championship?",Highlands Course
Who died last Vladimir Arnold or Georg Cantor?,Vladimir Igorevich Arnold
When was the singer of Miss Emily's Picture born?,11-Aug-46
"""I Wed Three Wives"" is an episode of a television series that ran on what network?",ABC
What Japanese fashion label was founded by the creator of Dover Street Market?,Comme des Garçons
"Trilochanapala, last king of the Kabul Shahi dynasty, ruled in the site of which modern country?",Afghanistan
Sachem Central School District encompasses the CDPs that include the hamlet in which New York county?,Suffolk
What film did Tom Wu appear in that also starred Jason Statham and Ray Liotta? ,Revolver
The Gap band was from what neighbor hood that was known as the black wall street?,"Greenwood neighborhood in their hometown of Tulsa, Oklahoma"
"How many total staff (including part-time, flexible, and fixed contract staff) does the broadcaster, who released HyperNormalisation, employ?","35,402"
James Conlon directed the oldest outdoor Music Festival that is located and what state?,Illinois
"Who has a wider scope of profession, Hrag Vartanian or Hovsep Pushman?",Hrag Vartanian
What is the english translation of the name of style of novel of which The Company is an example?,novel with a key
The Collection at RiverPark is anchored by Target and an American supermarket chain that features foods without what type of fat?,hydrogenated
How big is the campus of the University that Ben Bahan is a professor at ?,99 acre campus
"What is the pen name of author Carolyn Janice Cherry, who wrote the Fortress Series?","Carolyn Janice Cherry (born September 1, 1942), better known by the pen name C. J. Cherryh,"
"Father Jean-Pierre Aulneau de le Touche was killed before he could go on an expedition to Mandan, which is located in which state? ",North Dakota
Australian National Airways was founded by the person who made the first what in 1928?,trans-Pacific flight
"What phone series serves as the successor to phones officially unveiled at the ""Samsung Unpacked 2015"" event?",The S7 series
Are Yoo-hoo and Faygo both carbonated drinks?,no
"Who stared as the ""father of the atomic bomb"" in a 1980 television miniseries?",Sam Waterston
Graham Linehan was the creator of the Ash Atalla-produced sitcom for what UK channel?,Channel 4
