,Unnamed: 0.1,Unnamed: 0,id,split,question,effective_year,next_review,false_premise,num_hops,fact_type,source,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,note,extended_answer_0,extended_answer_1,extended_answer_2,extended_answer_3,extended_answer_4,extended_answer_5,extended_answer_6,extended_answer_7,extended_answer_8,extended_answer_9,base_response,synonyms,synonym_responses,antonyms,antonym_responses
47,47,47,371,TEST,Did Emeritus Benedict XVI and Queen Elizabeth II die in the same year?,before 2022,,False,multi-hop,never-changing,"https://en.wikipedia.org/wiki/Pope_Benedict_XVI#:~:text=Died-,31%20December%202022,-(aged%C2%A095)
https://en.wikipedia.org/wiki/Elizabeth_II#:~:text=Died-,8%20September%202022,-(aged%C2%A096)",Yes,,,,,,,,,,,"Yes, Emeritus Benedict XVI and Queen Elizabeth II died in the same year.",,,,,,,,,," No, Emeritus Benedict XVI and Queen Elizabeth II did not die in the same year. As of March 2023, both are still alive.","1. Emeritus Benedict XVI and Queen Elizabeth II did not pass away in the same year, as both are still living as of March 2023.;2. It is not accurate to say that Emeritus Benedict XVI and Queen Elizabeth II died in the same year, as they are both still alive as of March 2023.;3. Contrary to some reports, Emeritus Benedict XVI and Queen Elizabeth II have not died in the same year, as both are still alive as of March 2023.;4. Emeritus Benedict XVI and Queen Elizabeth II have not met their demise in the same year, as both are still alive as of March 2023.;5. It is false to claim that Emeritus Benedict XVI and Queen Elizabeth II passed away in the same year, as both are still alive as of March 2023.",YES;YES;YES;YES;YES,1. Emeritus Benedict XVI and Queen Elizabeth II died in the same year.;2. Both Emeritus Benedict XVI and Queen Elizabeth II died in the same year.;3. It is true that Emeritus Benedict XVI and Queen Elizabeth II died in the same year.;4. The year in which Emeritus Benedict XVI and Queen Elizabeth II died is the same.;5. Emeritus Benedict XVI and Queen Elizabeth II passed away in the same year.,NO;NO;NO;NO;NO
48,48,48,372,TEST,Who is the latest winner of the Formula 1 world championship?,before 2022,frequently,False,one-hop,fast-changing,"https://en.wikipedia.org/wiki/List_of_Formula_One_World_Drivers%27_Champions#By_season:~:text=32.159-,2023,Max%20Verstappen,-%5B57%5D",Max Verstappen,Max Emilian Verstappen,,,,,,,,,,Max Verstappen is the latest winner of the Formula 1 world championship.,Max Emilian Verstappen is the latest winner of the Formula 1 world championship.,,,,,,,,," The latest Formula 1 world champion, as of 2021, is Max Verstappen.","1. As of 2021, Max Verstappen has been crowned the most recent Formula 1 world champion.;2. In the year 2021, Max Verstappen emerged victorious as the latest Formula 1 world champion.;3. The Formula 1 world championship title for the year 2021 was won by Max Verstappen, making him the latest champion.;4. Max Verstappen claimed the Formula 1 world championship title in 2021, thus becoming the latest champion.;5. The latest Formula 1 world championship was won by Max Verstappen in the year 2021.",YES;YES;YES;YES;YES,"1. Max Verstappen is not the latest Formula 1 world champion, as of 2021.;2. The latest Formula 1 world championship was not won by Max Verstappen, as of 2021.;3. As of 2021, Max Verstappen did not win the latest Formula 1 world championship.;4. In the year 2021, the Formula 1 world championship was not won by Max Verstappen.;5. Max Verstappen was not the winner of the most recent Formula 1 world championship, as of 2021.",YES;NO;NO;NO;YES
49,49,49,373,TEST,What was the most-viewed music video in the first 24 hours on YouTube?,before 2022,frequently,False,one-hop,fast-changing,https://www.youtube.com/trends/records/?record=top-24-hour-music-debuts,BTS (방탄소년단) 'Butter' Official MV,Butter,,,,,,,,,,"The most-viewed music video in the first 24 hours on YouTube was BTS (방탄소년단) 'Butter' Official MV, which garnered an incredible amount of views.","The most-viewed music video in the first 24 hours on YouTube was ""Butter.""",,,,,,,,," The music video for BTS's ""Butter"" holds the record for the most-viewed video in the first 24 hours on YouTube, with over 108 million views.","1. The music video for BTS's ""Butter"" is the one that garnered the highest number of views within the initial 24 hours on YouTube, surpassing 108 million views.;2. In the first 24 hours on YouTube, the music video for BTS's ""Butter"" amassed over 108 million views, making it the most-viewed video.;3. The music video for BTS's ""Butter"" broke the record for the most-viewed video in the first 24 hours on YouTube, with more than 108 million views.;4. The music video for BTS's ""Butter"" achieved the feat of being the most-viewed video in the first 24 hours on YouTube, with over 108 million views.;5. The music video for BTS's ""Butter"" set a new record for the most-viewed video in the first 24 hours on YouTube, surpassing 108 million views.",YES;YES;YES;YES;YES,"1. The music video for BTS's ""Butter"" does not hold the record for the most-viewed video in the first 24 hours on YouTube.;2. Over 108 million views is not the number of views for the most-viewed music video in the first 24 hours on YouTube for BTS's ""Butter"".;3. Another music video, not BTS's ""Butter"", holds the record for the most-viewed video in the first 24 hours on YouTube.;4. BTS's ""Butter"" is not the music video that has the record for the most views in the first 24 hours on YouTube.;5. The music video for BTS's ""Butter"" did not achieve over 108 million views in the first 24 hours on YouTube, breaking the record for the most-viewed video.",NO;NO;YES;NO;NO
50,50,50,374,TEST,How many countries have recognized same-sex marriage?,before 2022,frequently,False,one-hop,fast-changing,https://en.wikipedia.org/wiki/Same-sex_marriage#:~:text=marriage%20between%20same%2Dsex%20couples%20is%20legally%20performed%20and%20recognized%20in%2037%20countries,37 countries,37,,,,,,,,,,37 countries have recognized same-sex marriage.,37 countries have recognized same-sex marriage.,,,,,,,,," As of 2021, over 30 countries have legally recognized same-sex marriage.","1. As of 2021, more than thirty nations have legally endorsed same-sex marriage.;2. In the year 2021, over thirty countries have made same-sex marriage legal.;3. As of the year 2021, over thirty countries have given legal approval to same-sex marriage.;4. As of the current year, 2021, over thirty countries have acknowledged same-sex marriage as a legal union.;5. In the present day, over thirty countries have legally sanctioned same-sex marriage, as of 2021.",YES;YES;YES;YES;YES,"1. As of 2021, fewer than 30 countries have not legally recognized same-sex marriage.;2. More than 30 countries have not legally recognized same-sex marriage as of 2021.;3. Legally recognized same-sex marriage has not been established in less than 30 countries as of 2021.;4. In 2021, over 30 countries did not legally recognize same-sex marriage.;5. There are more than 30 countries that have not legally recognized same-sex marriage as of 2021.",YES;YES;YES;YES;YES
51,51,51,375,TEST,How many exoplanets have been discovered?,before 2022,frequently,False,one-hop,fast-changing,https://en.wikipedia.org/wiki/Lists_of_planets#:~:text=there%20are%205%2C632%20confirmed%20exoplanets,"5,632 confirmed exoplanets","5,632",,,,,,,,,,"There have been a total of 5,632 confirmed exoplanets discovered so far.","A total of 5,632 exoplanets have been discovered by astronomers.",,,,,,,,," As of now, more than 4,000 exoplanets have been discovered orbiting stars outside our solar system.","1. Over 4,000 exoplanets have been identified orbiting stars beyond our solar system.;2. More than 4,000 planets have been found to be orbiting stars outside our solar system.;3. The number of exoplanets discovered so far, orbiting stars outside our solar system, exceeds 4,000.;4. More than 4,000 planets have been detected orbiting stars outside our solar system as of the present.;5. As of the current count, more than 4,000 exoplanets have been found to be orbiting stars outside our solar system.",YES;YES;YES;YES;YES,"1. As of now, less than 4,000 exoplanets have not been discovered orbiting stars outside our solar system.;2. No more than 4,000 exoplanets have not been discovered orbiting stars outside our solar system.;3. There are not more than 4,000 exoplanets that have been discovered orbiting stars outside our solar system.;4. Fewer than 4,000 exoplanets have not been discovered orbiting stars outside our solar system.;5. Not more than 4,000 exoplanets have been discovered orbiting stars outside our solar system.",NO;NO;NO;NO;NO
52,52,52,376,TEST,Who is the richest man on earth?,before 2022,frequently,False,one-hop,fast-changing,"https://www.forbes.com/real-time-billionaires/#14313b8a3d78:~:text=1,Elon%20Musk",Bernard Arnault,Bernard Jean Étienne Arnault,,,,,,,,,,Bernard Arnault is currently the richest man on earth.,The richest man on earth is Bernard Jean Étienne Arnault.,,,,,,,,," As of 2021, Elon Musk is the richest man on earth, according to Forbes.","1. As of 2021, Forbes ranks Elon Musk as the wealthiest individual on the planet.;2. According to Forbes, Elon Musk holds the title of the richest man on earth in 2021.;3. Forbes magazine has declared Elon Musk as the wealthiest man on earth as of 2021.;4. In 2021, Elon Musk has been identified by Forbes as the richest man on earth.;5. As per Forbes, Elon Musk is the wealthiest man on earth in the year 2021.",YES;NO;NO;NO;NO,"1. Elon Musk is not the richest man on earth, according to Forbes.;2. As of 2021, someone other than Elon Musk is the richest man on earth, according to Forbes.;3. Forbes does not list Elon Musk as the richest man on earth, as of 2021.;4. The richest man on earth, according to Forbes, is not Elon Musk, as of 2021.;5. Elon Musk is not the individual who Forbes identifies as the richest man on earth, as of 2021.",YES;YES;NO;YES;YES
53,53,53,377,TEST,Who is the most recent NBA player to score 60 or more points in a single game?,before 2022,frequently,False,one-hop,fast-changing,"https://en.wikipedia.org/wiki/List_of_NBA_single-game_scoring_leaders#:~:text=Jalen%20Brunson%5E,March%2029%2C%202024",Jalen Brunson,Jalen Marquis Brunson,,,,,,,,,,Jalen Brunson is the most recent NBA player to score 60 or more points in a single game.,Jalen Marquis Brunson is the most recent NBA player to score 60 or more points in a single game.,,,,,,,,," The most recent NBA player to score 60 or more points in a single game is Kobe Bryant, who achieved this feat on January 22, 2006.","1. Kobe Bryant is the most recent NBA player to have scored 60 or more points in a single game, which he accomplished on January 22, 2006.;2. On January 22, 2006, Kobe Bryant became the most recent NBA player to score 60 or more points in a single game.;3. The last NBA player to score 60 or more points in a single game is Kobe Bryant, an event that occurred on January 22, 2006.;4. Kobe Bryant, on January 22, 2006, was the most recent NBA player to score 60 or more points in a single game.;5. The most recent instance of an NBA player scoring 60 or more points in a single game was on January 22, 2006, by Kobe Bryant.",YES;YES;YES;YES;YES,"1. Kobe Bryant did not score 60 or more points in a single NBA game as the most recent player.;2. The most recent NBA player to score 60 or more points in a single game is not Kobe Bryant.;3. Kobe Bryant did not achieve scoring 60 or more points in a single NBA game as the most recent player.;4. January 22, 2006, was not the date when the most recent NBA player scored 60 or more points in a single game by Kobe Bryant.;5. The most recent NBA player to score 60 or more points in a single game was not Kobe Bryant on January 22, 2006.",NO;YES;NO;NO;YES
54,54,54,378,TEST,What is the base price of a Tesla Model Y Long Range All-Wheel Drive?,before 2022,frequently,False,one-hop,fast-changing,https://www.tesla.com/modely/design#overview,"$47,990",,,,,,,,,,,"The base price of a Tesla Model Y Long Range All-Wheel Drive is $47,990.",,,,,,,,,," As of March 2023, the base price for a Tesla Model Y Long Range All-Wheel Drive is approximately $54,990 in the United States. Prices may vary depending on location, options, and incentives.","1. In the United States, as of March 2023, the starting price for a Tesla Model Y Long Range All-Wheel Drive is approximately $54,990.;2. The base cost for a Tesla Model Y Long Range All-Wheel Drive in the U.S., as of March 2023, is approximately $54,990.;3. As of March 2023, the initial price for a Tesla Model Y Long Range All-Wheel Drive in the United States is approximately $54,990.;4. The starting price for a Tesla Model Y Long Range All-Wheel Drive in the U.S., as of March 2023, is approximately $54,990, though prices may differ based on location, options, and incentives.;5. In the United States, the base price for a Tesla Model Y Long Range All-Wheel Drive, as of March 2023, is approximately $54,990.",NO;YES;YES;YES;YES,"1. The base price of a Tesla Model Y Long Range All-Wheel Drive is not approximately $54,990 in the United States, as of March 2023.;2. A Tesla Model Y Long Range All-Wheel Drive does not have a base price of approximately $54,990 in the United States, as of March 2023.;3. The base price for a Tesla Model Y Long Range All-Wheel Drive is not approximately $54,990 in the United States, as of March 2023, without considering location, options, and incentives.;4. The base price of a Tesla Model Y Long Range All-Wheel Drive is more than approximately $54,990 in the United States, as of March 2023.;5. The base price of a Tesla Model Y Long Range All-Wheel Drive is less than approximately $54,990 in the United States, as of March 2023. (This is not a direct negation of the provided answer, but it is a possible interpretation of the sentence that could be negated.)",NO;NO;YES;YES;NOT SURE
55,55,55,379,TEST,How many goals has Erling Haaland scored in the UEFA Champion League?,before 2022,frequently,False,one-hop,fast-changing,https://www.uefa.com/uefachampionsleague/news/0268-11f9321e7599-fde3dd4a7bd0-1000--erling-haaland-in-the-champions-league-scoring-record-opponents/#:~:text=Erling%20Haaland%20has%20scored%2041%20goals%20in%20just%2038%20UEFA%20Champions%20League%20appearances,41 goals,41,,,,,,,,,,Erling Haaland has scored a total of 41 goals in the UEFA Champion League.,Erling Haaland has scored 41 goals in the UEFA Champion League.,,,,,,,,," As of March 2023, Erling Haaland has scored 23 goals in the UEFA Champions League.","1. As of March 2023, Erling Haaland has netted 23 goals in the UEFA Champions League.;2. In the UEFA Champions League, Erling Haaland has managed to score 23 goals as of March 2023.;3. Erling Haaland has achieved 23 goals in the UEFA Champions League, as reported in March 2023.;4. As of the latest updates in March 2023, Erling Haaland has scored 23 goals in the UEFA Champions League.;5. In the UEFA Champions League, Erling Haaland has found the back of the net 23 times, according to March 2023 statistics.",YES;YES;YES;NO;YES,"1. Erling Haaland has not scored 23 goals in the UEFA Champions League as of March 2023.;2. As of March 2023, Erling Haaland did not score 23 goals in the UEFA Champions League.;3. The number of goals Erling Haaland scored in the UEFA Champions League as of March 2023 is not 23.;4. Erling Haaland has scored less than 23 goals in the UEFA Champions League as of March 2023.;5. As of March 2023, Erling Haaland has not reached 23 goals in the UEFA Champions League.",NO;NO;NO;NO;NO
56,56,56,380,TEST,Which team is at the top of the latest Premier League season?,before 2022,frequently,False,one-hop,fast-changing,https://www.skysports.com/premier-league-table,Manchester City,Manchester City F.C.,,,,,,,,,,Manchester City is currently at the top of the latest Premier League season.,Manchester City F.C. is at the top of the latest Premier League season.,,,,,,,,," As of the latest Premier League season, Manchester City is at the top of the table.","1. In the current Premier League season, Manchester City leads the table.;2. The latest Premier League season has Manchester City in the first position.;3. As of the current standings in the Premier League, Manchester City is at the top.;4. Manchester City is currently at the summit of the Premier League season.;5. The latest Premier League season finds Manchester City at the top of the table.",YES;YES;YES;YES;YES,"1. Manchester City is not at the top of the latest Premier League season.;2. The latest Premier League season does not have Manchester City at the top of the table.;3. As of the latest Premier League season, Manchester City is not leading the table.;4. Manchester City is not the team leading the latest Premier League season.;5. The latest Premier League season has a different team at the top, not Manchester City.",NO;NO;NO;NO;NO
57,57,57,381,TEST,Is Arsenal on the top of the latest Premier League standings?,before 2022,frequently,False,one-hop,fast-changing,https://www.skysports.com/premier-league-table,No,,,,,,,,,,,"No, Arsenal is not on the top of the latest Premier League standings.",,,,,,,,,," As of the latest Premier League standings, Arsenal is not currently in first place. The position may vary depending on the specific match results.","1. According to the latest Premier League standings, Arsenal is not currently leading.;2. In the most recent Premier League standings, Arsenal is not ranked first.;3. As of the current Premier League standings, Arsenal is not at the top.;4. The latest Premier League standings show that Arsenal is not in the first position.;5. In the current league standings of the Premier League, Arsenal is not in the lead.",YES;YES;YES;YES;YES,"1. Arsenal is currently in first place in the latest Premier League standings.;2. As of the latest Premier League standings, Arsenal is not on top.;3. The latest Premier League standings show that Arsenal is not in the first position.;4. First place in the latest Premier League standings belongs to Arsenal, not true.;5. Arsenal's position in the latest Premier League standings is not first place.",NO;YES;YES;NO;YES
58,58,58,382,TEST,Who is the current No. 1 on the Billboard Artist 100?,before 2022,frequently,False,one-hop,fast-changing,"https://www.billboard.com/charts/artist-100/#:~:text=Menu-,1,Taylor%20Swift,-STATS",Taylor Swift,,,,,,,,,,,"The current No. 1 on the Billboard Artist 100 is Taylor Swift, who has been dominating the charts with her latest album.",,,,,,,,,," As of my last update, The Weeknd is currently the No. 1 artist on the Billboard Artist 100 chart.","1. The Weeknd currently tops the Billboard Artist 100 chart as the No. 1 artist.;2. As of the latest update, The Weeknd is the No. 1 artist on the Billboard Artist 100.;3. The Weeknd currently holds the No. 1 spot on the Billboard Artist 100 chart.;4. The Weeknd is currently leading the Billboard Artist 100 chart as the No. 1 artist.;5. The Weeknd is currently the No. 1 artist on the Billboard Artist 100, according to the latest update.",YES;YES;NOT SURE;YES;YES,"1. The Weeknd is not currently the No. 1 artist on the Billboard Artist 100 chart.;2. As of my last update, someone other than The Weeknd is the No. 1 artist on the Billboard Artist 100 chart.;3. The Billboard Artist 100 chart does not have The Weeknd as the current No. 1 artist.;4. As of my last update, The Weeknd is not ranked as the No. 1 artist on the Billboard Artist 100 chart.;5. The No. 1 position on the Billboard Artist 100 chart is not occupied by The Weeknd, as of my last update.",NO;NO;NO;NO;NO
59,59,59,383,TEST,Who was the guest of honor at the most recent state dinner hosted by the President of the United States?,before 2022,frequently,False,one-hop,fast-changing,"https://en.wikipedia.org/wiki/List_of_state_dinners_in_the_United_States#:~:text=May%2023%2C%202024,William%20Ruto",William Ruto,William Kipchirchir Samoei Arap Ruto,President of Kenya,,,,,,,,,William Ruto was the guest of honor at the most recent state dinner hosted by the President of the United States.,William Kipchirchir Samoei Arap Ruto was the guest of honor at the most recent state dinner hosted by the President of the United States.,The guest of honor at the most recent state dinner hosted by the President of the United States was the President of Kenya.,,,,,,,," The most recent state dinner hosted by the President of the United States was for French President Emmanuel Macron, who was the guest of honor.","1. French President Emmanuel Macron was the distinguished guest at the latest state dinner hosted by the President of the United States.;2. The guest of honor at the recent state dinner hosted by the President of the United States was none other than French President Emmanuel Macron.;3. The President of the United States recently hosted a state dinner, with French President Emmanuel Macron serving as the guest of honor.;4. French President Emmanuel Macron was the main guest at the most recent state dinner that the President of the United States hosted.;5. The guest of honor at the most recent state dinner, hosted by the President of the United States, was the French President, Emmanuel Macron.",YES;YES;NO;NO;YES,"1. The most recent state dinner hosted by the President of the United States was not for French President Emmanuel Macron, who was the guest of honor.;2. French President Emmanuel Macron was not the guest of honor at the most recent state dinner hosted by the President of the United States.;3. The most recent state dinner hosted by the President of the United States did not have French President Emmanuel Macron as the guest of honor.;4. The guest of honor at the most recent state dinner hosted by the President of the United States was not Emmanuel Macron, the French President.;5. The most recent state dinner hosted by the President of the United States did not feature French President Emmanuel Macron as the honored guest.",NO;NO;NO;YES;NO
60,60,60,384,TEST,What album holds the record for the most Spotify streams reached in a single day?,before 2022,frequently,False,one-hop,fast-changing,"https://en.wikipedia.org/wiki/List_of_Spotify_streaming_records#Most_streamed_albums_in_a_single_day:~:text=Ref.-,1,-The%20Tortured%20Poets",The Tortured Poets Department,,,,,,,,,,,The album that holds the record for the most Spotify streams reached in a single day is The Tortured Poets Department.,,,,,,,,,," The album ""Scorpions - Humanity: Hour I"" holds the record for the most Spotify streams reached in a single day.","1. The album ""Scorpions - Humanity: Hour I"" achieved the highest number of Spotify streams in a single day.;2. On a single day, ""Scorpions - Humanity: Hour I"" album garnered the most Spotify streams.;3. ""Scorpions - Humanity: Hour I"" album broke the record for the most Spotify streams in a single day.;4. In a single day, ""Scorpions - Humanity: Hour I"" album streamed more than any other album on Spotify.;5. The record for the most Spotify streams in a single day was set by the album ""Scorpions - Humanity: Hour I"".",NO;NOT SURE;NO;NOT SURE;NO,"1. ""The album 'Scorpions - Humanity: Hour I' does not hold the record for the most Spotify streams reached in a single day."";2. ""A different album, not 'Scorpions - Humanity: Hour I', holds the record for the most Spotify streams reached in a single day."";3. ""The record for the most Spotify streams reached in a single day was not set by 'Scorpions - Humanity: Hour I'."";4. ""There is an album that has more Spotify streams in a single day than 'Scorpions - Humanity: Hour I'."";5. ""On the day with the most Spotify streams, it was not 'Scorpions - Humanity: Hour I' that was streamed the most.""",YES;NO;YES;NOT SURE;NO
61,61,61,385,TEST,Who was the most recent incumbent president worldwide who ran for re-election but was not reelected?,before 2022,frequently,False,one-hop,fast-changing,"https://en.wikipedia.org/wiki/List_of_presidents_who_did_not_win_reelection#:~:text=2019%E2%80%932024,%C2%A0North%20Macedonia",Stevo Pendarovski,,,,,,,,,,,The most recent incumbent president worldwide who ran for re-election but was not reelected was Stevo Pendarovski.,,,,,,,,,, The most recent incumbent president worldwide who ran for re-election but was not reelected is Juan Manuel Santos of Colombia in 2018.,"1. Juan Manuel Santos, the former president of Colombia, did not get re-elected in 2018, despite running for re-election as the incumbent.;2. In 2018, Juan Manuel Santos, the Colombian president at the time, lost his bid for re-election, making him the most recent incumbent president worldwide to face this outcome.;3. The most recent instance of an incumbent president worldwide who was not re-elected occurred in 2018, when Juan Manuel Santos, the president of Colombia, was unsuccessful in his re-election bid.;4. Juan Manuel Santos, the Colombian president, faced defeat in his re-election bid in 2018, marking him as the most recent incumbent president worldwide who was not re-elected.;5. In 2018, Juan Manuel Santos, the president of Colombia, lost his re-election bid, making him the most recent incumbent president worldwide to suffer this fate.",YES;YES;NO;YES;YES,"1. Juan Manuel Santos of Colombia, in 2018, was the most recent incumbent president worldwide who was reelected after running for re-election.;2. Juan Manuel Santos of Colombia was reelected as the president of Colombia in 2018.;3. Juan Manuel Santos of Colombia, in 2018, was the most recent incumbent president worldwide who was reelected for a second term.;4. Juan Manuel Santos of Colombia, in 2018, was not a president who ran for re-election but was not reelected.;5. Juan Manuel Santos of Colombia was reelected as the president of a country other than Colombia in 2018.",NO;NO;NO;NO;NO
62,62,62,386,TEST,Who is the latest winner of The Voice US?,before 2022,frequently,False,one-hop,fast-changing,"https://en.wikipedia.org/wiki/The_Voice_(American_TV_series)#:~:text=25-,Asher%20HaVon,-Josh%20Sanders",Asher HaVon,,,,,,,,,,,The latest winner of The Voice US is Asher HaVon.,,,,,,,,,, The latest winner of The Voice US (as of 2021) is Cam Anthony from Team Blake.,"1. As of 2021, Cam Anthony, a contestant from Team Blake, emerged victorious on The Voice US.;2. The Voice US (2021 season) was won by Cam Anthony, who was part of Team Blake.;3. In the most recent season of The Voice US (2021), Cam Anthony from Team Blake claimed the title.;4. The Voice US (2021) crowned Cam Anthony, a member of Team Blake, as its latest winner.;5. The 2021 season of The Voice US saw Cam Anthony from Team Blake take home the trophy.",YES;YES;NO;YES;YES,"1. Cam Anthony from Team Blake is not the latest winner of The Voice US (as of 2021).;2. The Voice US (as of 2021) did not have Cam Anthony from Team Blake as its latest winner.;3. As of 2021, Cam Anthony from Team Blake was not the winner of The Voice US.;4. The Voice US (as of 2021) had a different winner than Cam Anthony from Team Blake.;5. Cam Anthony from Team Blake did not win The Voice US in its latest season (as of 2021).",YES;YES;NO;YES;NO
63,63,63,387,TEST,What is the latest highest-grossing movie of the week at the Box office?,before 2022,every_time,False,one-hop,fast-changing,"https://www.boxofficemojo.com/weekly/?ref_=bo_nb_wly_secondarytab#:~:text=64-,IF,-20",IF,,,,,,,,,,,"The latest highest-grossing movie of the week at the Box office is ""IF.""",,,,,,,,,," As of March 20, 2023, the latest highest-grossing movie of the week at the Box Office is ""The Batman"" directed by Matt Reeves.","1. As of March 20, 2023, the most recent film with the highest box office earnings this week is ""The Batman,"" directed by Matt Reeves.;2. The latest movie that has earned the highest gross at the box office this week, as of March 20, 2023, is ""The Batman,"" directed by Matt Reeves.;3. ""The Batman,"" directed by Matt Reeves, is the latest film that has achieved the highest box office earnings for the week, as of March 20, 2023.;4. As of March 20, 2023, the highest-grossing movie of the week at the box office is ""The Batman,"" a film directed by Matt Reeves.;5. The highest-grossing movie of the week at the box office, as of March 20, 2023, is ""The Batman,"" a film directed by Matt Reeves, which is the latest release.",NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,"1. As of March 20, 2023, the latest highest-grossing movie of the week at the Box Office is not ""The Batman"" directed by Matt Reeves.;2. ""The Batman"" directed by Matt Reeves is not the latest highest-grossing movie of the week at the Box Office as of March 20, 2023.;3. The Box Office's latest highest-grossing movie of the week, as of March 20, 2023, is not ""The Batman"" directed by Matt Reeves.;4. ""The Batman"" directed by Matt Reeves did not hold the position of the latest highest-grossing movie of the week at the Box Office as of March 20, 2023.;5. As of March 20, 2023, a different movie, not ""The Batman"" directed by Matt Reeves, is the latest highest-grossing movie of the week at the Box Office.",YES;NO;YES;NO;NOT SURE
64,64,64,388,TEST,How many tornadoes have been confirmed so far in the United States this year?,before 2022,every_time,False,one-hop,fast-changing,https://en.wikipedia.org/wiki/Tornadoes_of_2024#:~:text=There%20have%20been%20821%20confirmed%20tornadoes%20in%20the%20United%20States.,821,There have been 821 confirmed tornadoes in the United States.,,,,,,,,,,821 tornadoes have been confirmed so far in the United States this year.,"There have been 821 confirmed tornadoes in the United States this year, making it a particularly active tornado season.",,,,,,,,," As of my last update, there have been 586 confirmed tornadoes in the United States this year (as of August 15, 2021). This number is subject to change as more data becomes available.","1. As of my last update on August 15, 2021, a total of 586 tornadoes have been confirmed in the United States this year.;2. So far this year, there have been 586 confirmed instances of tornadoes in the United States.;3. As of August 15, 2021, the United States has experienced 586 confirmed tornadoes this year.;4. This year, there have been 586 confirmed cases of tornadoes in the United States.;5. In the United States, as of August 15, 2021, there have been 586 confirmed tornadoes this year.",YES;YES;NO;NO;NO,"1. As of my last update, there have been fewer than 586 confirmed tornadoes in the United States this year (as of August 15, 2021).;2. More than 586 tornadoes have not been confirmed in the United States this year (as of August 15, 2021).;3. There have been no more than 586 tornadoes confirmed in the United States this year (as of August 15, 2021).;4. There have been more than 586 tornadoes in the United States this year (as of August 15, 2021), but this number is subject to change as more data becomes available.;5. There have been 586 or fewer tornadoes in the United States this year (as of August 15, 2021), but this number is subject to change as more data becomes available.",NOT SURE;NO;NOT SURE;NOT SURE;NOT SURE
65,65,65,389,TEST,How many citations does Geoffrey Hinton have according to Google Scholar?,before 2022,every_time,False,one-hop,fast-changing,"https://scholar.google.com/citations?user=JicYPdAAAAAJ&hl=en#:~:text=Citations-,806772,-516308",806772,806K,807K,more than 800K,,,,,,,,"Geoffrey Hinton has 806,772 citations according to Google Scholar.",Geoffrey Hinton has 806K citations according to Google Scholar.,Geoffrey Hinton has 807K citations according to Google Scholar.,Geoffrey Hinton has more than 800K citations according to Google Scholar.,,,,,,," As of my last update, Geoffrey Hinton has over 100,000 citations on Google Scholar.","1. According to Google Scholar, Geoffrey Hinton has amassed more than 100,000 citations.;2. As of the latest update, Geoffrey Hinton's work on Google Scholar has been cited over 100,000 times.;3. Google Scholar indicates that Geoffrey Hinton's research has been cited by over 100,000 scholars.;4. The number of citations Geoffrey Hinton has received on Google Scholar exceeds 100,000.;5. Over 100,000 times, Geoffrey Hinton's work has been cited on Google Scholar.",YES;YES;YES;YES;YES,"1. Geoffrey Hinton has fewer than 100,000 citations on Google Scholar, according to my last update.;2. Geoffrey Hinton has not exceeded 100,000 citations on Google Scholar, as of my last update.;3. As of my last update, Geoffrey Hinton has less than 100,000 citations on Google Scholar.;4. The number of citations Geoffrey Hinton has on Google Scholar, as of my last update, is not more than 100,000.;5. According to my last update, Geoffrey Hinton has fewer than 100,000 citations on Google Scholar.",NO;NO;NO;NO;NO
66,66,66,390,TEST,What date was the last time it rained in New York City?,before 2022,every_time,False,one-hop,fast-changing,https://www.timeanddate.com/weather/usa/new-york/historic,"May 16, 2024","May 16, 2024",16 May 2024,16 May 2024,05/16/2024,05-16-2024,16/05/2024,16-05-2024,2024/05/16,2024-05-16,,"The last time it rained in New York City was on May 16, 2024.","The last time it rained in New York City was on May 16, 2024.",The last time it rained in New York City was on 16 May 2024.,The last time it rained in New York City was on 16 May 2024.,"The last time it rained in New York City was on May 16, 2024.","The last time it rained in New York City was on May 16, 2024.","The last time it rained in New York City was on May 16, 2024.","The last time it rained in New York City was on May 16, 2024.","The last time it rained in New York City was on May 16, 2024.","The last time it rained in New York City was on May 16, 2024."," The last time it rained in New York City was on March 29, 2023, according to the National Weather Service records.","1. According to the National Weather Service records, it rained in New York City on March 29, 2023.;2. The National Weather Service reports that the last time it rained in New York City was on March 29, 2023.;3. On March 29, 2023, the National Weather Service records indicate that it rained in New York City.;4. It was on March 29, 2023, as per the National Weather Service records, that it rained in New York City.;5. The National Weather Service records show that the last rainfall in New York City occurred on March 29, 2023.",NOT SURE;NOT SURE;NOT SURE;YES;NOT SURE,"1. It did not rain in New York City on March 29, 2023, according to the National Weather Service records.;2. The National Weather Service records show that it did not rain in New York City on the last recorded date.;3. The last time it rained in New York City was not on March 29, 2023, as per the National Weather Service records.;4. According to the National Weather Service records, it did not rain in New York City on the last recorded date, which was March 29, 2023.;5. It has not been recorded that it rained in New York City on March 29, 2023, by the National Weather Service.",YES;YES;YES;NOT SURE;NO
