Questions,Answers,extended_answer,base_response,generated_samples,synonyms,synonym_responses,antonyms,antonym_responses,selfcheck_score,hallucination_check
Jamie Harris is best known for his role as The Hook-Handed Man in a movie directed by who ?,Brad Silberling,Jamie Harris is best known for his role as The Hook-Handed Man in a movie directed by Brad Silberling.,"Jamie Harris is best known for his role as The Hook-Handed Man in the movie ""Lemony Snicket's A Series of Unfortunate Events,"" directed by Brad Silberling.","Jamie Harris is best known for his role as The Hook-Handed Man in the movie ""Lemony Snicket's A Series of Unfortunate Events,"" directed by Brad Silberling.;Jamie Harris is best known for his role as The Hook-Handed Man in the movie ""Lemony Snicket's A Series of Unfortunate Events,"" directed by Brad Silberling.;Jamie Harris is best known for his role as The Hook-Handed Man in the movie ""Lemony Snicket's A Series of Unfortunate Events,"" directed by Brad Silberling.;Jamie Harris is best known for his role as The Hook-Handed Man in the movie ""Lemony Snicket's A Series of Unfortunate Events,"" which was directed by Brad Silberling.;Jamie Harris is best known for his role as The Hook-Handed Man in the movie ""Lemony Snicket's A Series of Unfortunate Events,"" directed by Brad Silberling.;Jamie Harris is best known for his role as The Hook-Handed Man in the movie ""Lemony Snicket's A Series of Unfortunate Events,"" which was directed by Brad Silberling.;Jamie Harris is best known for his role as The Hook-Handed Man in the movie ""Lemony Snicket's A Series of Unfortunate Events,"" directed by Brad Silberling.;Jamie Harris is best known for his role as The Hook-Handed Man in the movie ""Lemony Snicket's A Series of Unfortunate Events,"" directed by Brad Silberling.;Jamie Harris is best known for his role as The Hook-Handed Man in the movie ""Lemony Snicket's A Series of Unfortunate Events,"" directed by Brad Silberling.;Jamie Harris is best known for his role as The Hook-Handed Man in the movie ""Lemony Snicket's A Series of Unfortunate Events,"" directed by Brad Silberling.","1. Jamie Harris is best known for his role as The Hook-Handed Man in the film ""Lemony Snicket's A Series of Unfortunate Events,"" which was directed by Brad Silberling.;2. In ""Lemony Snicket's A Series of Unfortunate Events,"" directed by Brad Silberling, Jamie Harris is best known for his role as The Hook-Handed Man.;3. The movie ""Lemony Snicket's A Series of Unfortunate Events,"" directed by Brad Silberling, features Jamie Harris best known for his role as The Hook-Handed Man.;4. Directed by Brad Silberling, ""Lemony Snicket's A Series of Unfortunate Events"" is the movie where Jamie Harris is best known for his role as The Hook-Handed Man.;5. Jamie Harris is recognized for his role as The Hook-Handed Man in ""Lemony Snicket's A Series of Unfortunate Events,"" a movie directed by Brad Silberling.",NO;NO;YES;YES;YES,"1. Jamie Harris is not best known for his role as The Hook-Handed Man in the movie ""Lemony Snicket's A Series of Unfortunate Events,"" directed by Brad Silberling.;2. Jamie Harris is best known for his role as The Hook-Handed Man in a movie not directed by Brad Silberling.;3. Jamie Harris is best known for a role other than The Hook-Handed Man in the movie ""Lemony Snicket's A Series of Unfortunate Events,"" directed by Brad Silberling.;4. Jamie Harris is best known for his role as The Hook-Handed Man in a movie not titled ""Lemony Snicket's A Series of Unfortunate Events,"" directed by Brad Silberling.;5. Jamie Harris is best known for his role as The Hook-Handed Man in the movie ""Lemony Snicket's A Series of Unfortunate Events,"" but it was not directed by Brad Silberling.",YES;NOT SURE;NOT SURE;NO;YES,0,no
"Marion Greene was a health policy analyst for St. Judt Medical company, which had how many principal operations worldwide?",20,"Marion Greene was a health policy analyst for St. Judt Medical company, which had 20 principal operations worldwide.","Marion Greene was a health policy analyst for St. Judt Medical company, which had five principal operations worldwide.","Marion Greene was a health policy analyst for St. Judt Medical company, which had principal operations in over 30 countries worldwide.;St. Judt Medical company had principal operations in over 30 countries worldwide.;Marion Greene was a health policy analyst for St. Jude Medical, which had principal operations in over 100 countries worldwide.;Marion Greene was a health policy analyst for St. Jude Medical, a company that had principal operations in more than 100 countries worldwide.;Marion Greene was a health policy analyst for St. Judt Medical company, which had principal operations in over 30 countries worldwide.;Marion Greene was a health policy analyst for St. Judt Medical company, which had principal operations in over 50 countries worldwide.;Marion Greene was a health policy analyst for St. Judt Medical company, which had principal operations in over 50 countries worldwide.;Marion Greene was a health policy analyst for St. Judt Medical company, which had principal operations in over 50 countries worldwide.;Marion Greene was a health policy analyst for St. Jude Medical company, which had principal operations in more than 100 countries worldwide.;Marion Greene was a health policy analyst for St. Judt Medical company, which had five principal operations worldwide.","1. Marion Greene was a health policy analyst for St. Judt Medical company, which operated five main branches globally.;2. Marion Greene was a health policy analyst for St. Judt Medical company, which maintained five key operations around the world.;3. Marion Greene was a health policy analyst for St. Judt Medical company, which had five primary operations internationally.;4. Marion Greene was a health policy analyst for St. Judt Medical company, which ran five principal operations across the globe.;5. Marion Greene was a health policy analyst for St. Judt Medical company, which conducted five major operations worldwide.",NO;NOT SURE;NOT SURE;NO;NOT SURE,"1. Marion Greene was a health policy analyst for St. Judt Medical company, which did not have five principal operations worldwide.;2. Marion Greene was a health policy analyst for St. Judt Medical company, which had fewer than five principal operations worldwide.;3. Marion Greene was a health policy analyst for St. Judt Medical company, which had more than five principal operations worldwide.;4. Marion Greene was a health policy analyst for St. Judt Medical company, which had no principal operations worldwide.;5. Marion Greene was a health policy analyst for St. Judt Medical company, which had zero principal operations worldwide.",NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,1,yes
Which Genus has more species Eucryphia or Lepidozamia ?,Eucryphia,Eucryphia is the genus that has more species compared to Lepidozamia.,The genus Eucryphia has more species compared to the genus Lepidozamia.,"The genus Eucryphia has more species compared to the genus Lepidozamia.;The genus Eucryphia has more species, with around seven recognized species, compared to the genus Lepidozamia, which has only two recognized species.;The Genus Lepidozamia has fewer species compared to the Genus Eucryphia.;The genus Eucryphia has more species, with approximately seven, compared to Lepidozamia, which has only two recognized species.;The genus Eucryphia has more species than Lepidozamia.;The genus Eucryphia has more species than the genus Lepidozamia.;The genus Eucryphia has more species than Lepidozamia.;The genus Eucryphia has more species, with about seven recognized species compared to the genus Lepidozamia, which has only two recognized species.;The genus Lepidozamia has fewer species compared to the genus Eucryphia, with Lepidozamia having only 2 species while Eucryphia has around 7 species.;The genus Eucryphia has more species compared to the genus Lepidozamia.","1. Eucryphia is a genus that encompasses more species than Lepidozamia.;2. Compared to Lepidozamia, the genus Eucryphia includes a greater number of species.;3. The genus Eucryphia surpasses Lepidozamia in terms of species count.;4. There are more species within the genus Eucryphia than in the genus Lepidozamia.;5. Eucryphia has a higher species diversity compared to Lepidozamia.",NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,"1. The genus Eucryphia does not have more species compared to the genus Lepidozamia.;2. The genus Lepidozamia has more species compared to the genus Eucryphia.;3. Eucryphia is not the genus with more species compared to Lepidozamia.;4. Lepidozamia is the genus with more species compared to Eucryphia.;5. Compared to Lepidozamia, Eucryphia does not have more species.",NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,0,no
Which film was released first: Sacred Planet or Oz the Great and Powerful?,Sacred Planet,Sacred Planet was released before Oz the Great and Powerful.,"Sacred Planet was released first, in 2004, while Oz the Great and Powerful was released in 2013.","Sacred Planet was released first in 2004, while Oz the Great and Powerful was released in 2013.;Sacred Planet was released first, in 2004, while Oz the Great and Powerful was released in 2013.;Sacred Planet was released first, in 2004, while Oz the Great and Powerful was released in 2013.;Sacred Planet was released first, in 2004, while Oz the Great and Powerful was released in 2013.;Sacred Planet was released first in 2004, while Oz the Great and Powerful was released in 2013.;Sacred Planet was released first, in 2004, while Oz the Great and Powerful was released in 2013.;Sacred Planet was released first in 2004, while Oz the Great and Powerful was released in 2013.;Sacred Planet was released first in 2004, while Oz the Great and Powerful was released in 2013.;Sacred Planet was released first, in 2004, while Oz the Great and Powerful was released in 2013.;Sacred Planet was released first, in 2004, while Oz the Great and Powerful was released in 2013.","1. Sacred Planet came out earlier, in 2004, whereas Oz the Great and Powerful was released in 2013.;2. The film Sacred Planet was released before Oz the Great and Powerful, with its release year being 2004 compared to 2013.;3. In terms of release dates, Sacred Planet premiered first in 2004, followed by Oz the Great and Powerful in 2013.;4. Released in 2004, Sacred Planet predates Oz the Great and Powerful, which came out in 2013.;5. Sacred Planet hit theaters in 2004, making it earlier than Oz the Great and Powerful, which was released in 2013.",YES;YES;YES;YES;YES,"1. Sacred Planet was not released first, in 2004.;2. Oz the Great and Powerful was released before Sacred Planet.;3. Sacred Planet was released after Oz the Great and Powerful.;4. Oz the Great and Powerful was released in 2004, while Sacred Planet was released in 2013.;5. Sacred Planet was not released in 2004, while Oz the Great and Powerful was not released in 2013.",NO;NO;NO;NO;NO,0,no
"Other than racing, what sport does the 1998 champion of the Toyota GRand Prix practice?",paracyclist,"The 1998 champion of the Toyota Grand Prix, other than racing, practices paracycling.","Other than racing, the 1998 champion of the Toyota Grand Prix, who is Al Unser Jr., also practices golf.","Other than racing, the 1998 champion of the Toyota Grand Prix, which was won by Alex Zanardi, also practices cycling.;Other than racing, the 1998 champion of the Toyota Grand Prix, Mark Blundell, also practices golf.;Other than racing, the 1998 champion of the Toyota Grand Prix, who was Al Unser Jr., also practices golf.;Other than racing, the 1998 champion of the Toyota Grand Prix, which was won by Juan Pablo Montoya, also practices cycling.;Other than racing, the 1998 champion of the Toyota Grand Prix, Mark Martin, is known to practice golf.;Other than racing, the 1998 champion of the Toyota Grand Prix, who is often a celebrity participant, may engage in various other sports, but without a specific name, it's challenging to pinpoint an exact sport they practice.;The 1998 champion of the Toyota Grand Prix, Alex Zanardi, also practices handcycling, a form of adaptive cycling.;Other than racing, the 1998 champion of the Toyota Grand Prix, Mark Blundell, also practices triathlon.;Other than racing, the 1998 champion of the Toyota Grand Prix, which was won by Al Unser Jr., also practices golf.;Other than racing, the 1998 champion of the Toyota Grand Prix, who is Al Unser Jr., also practices golf.","1. Besides racing, Al Unser Jr., the 1998 champion of the Toyota Grand Prix, also engages in golf.;2. In addition to racing, the 1998 Toyota Grand Prix champion, Al Unser Jr., practices golf.;3. Apart from racing, Al Unser Jr., who won the 1998 Toyota Grand Prix, also plays golf.;4. Beyond racing, the 1998 Toyota Grand Prix winner, Al Unser Jr., is also involved in golf.;5. Other than racing, Al Unser Jr., the victor of the 1998 Toyota Grand Prix, also participates in golf.",NO;NOT SURE;NOT SURE;NO;NOT SURE,"1. Other than racing, the 1998 champion of the Toyota Grand Prix, who is Al Unser Jr., does not practice golf.;2. Al Unser Jr., the 1998 champion of the Toyota Grand Prix, does not practice golf besides racing.;3. The 1998 champion of the Toyota Grand Prix, Al Unser Jr., does not engage in golf apart from racing.;4. Golf is not a sport practiced by Al Unser Jr., the 1998 champion of the Toyota Grand Prix, besides racing.;5. Al Unser Jr., who won the 1998 Toyota Grand Prix, does not also practice golf.",YES;YES;YES;YES;YES,1,yes
What officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880?,Treaty of Gandamak,The Treaty of Gandamak officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880.,The Treaty of Gandamak officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880.,"The Treaty of Gandamak officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880.;The Treaty of Gandamak, signed in May 1879, officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880.;The Treaty of Gandamak officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880.;The Treaty of Gandamak officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880.;The Treaty of Gandamak officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880.;The Treaty of Gandamak officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880.;The Treaty of Gandamak, signed in May 1879, officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880.;The Treaty of Gandamak officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880.;The Treaty of Gandamak officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880.;The Treaty of Gandamak officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880.","1. The first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880 was officially ended by the Treaty of Gandamak.;2. The Treaty of Gandamak marked the official end of the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880.;3. The military conflict's first phase between the British Raj and the Emirate of Afghanistan from 1878 to 1880 was concluded officially by the Treaty of Gandamak.;4. Officially, the Treaty of Gandamak brought an end to the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880.;5. The Treaty of Gandamak was the official conclusion to the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880.",YES;NO;YES;NO;NO,1. The Treaty of Gandamak did not officially end the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880.;2. The first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880 was not officially ended by the Treaty of Gandamak.;3. The Treaty of Gandamak was not the official end of the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880.;4. The military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880 did not have its first phase officially ended by the Treaty of Gandamak.;5. The official end of the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880 was not marked by the Treaty of Gandamak.,YES;YES;YES;NO;NO,0,no
Where is the Cocoa Krispies and former Superman sponsor located?,"Battle Creek, Michigan","The Cocoa Krispies and former Superman sponsor is located in Battle Creek, Michigan.","The Cocoa Krispies and former Superman sponsor, Kellogg's, is headquartered in Battle Creek, Michigan.","The Cocoa Krispies and former Superman sponsor, Kellogg's, is headquartered in Battle Creek, Michigan.;The Cocoa Krispies and former Superman sponsor, Kellogg's, is headquartered in Battle Creek, Michigan.;Cocoa Krispies and former Superman sponsor, Kellogg's, is headquartered in Battle Creek, Michigan.;The Cocoa Krispies and former Superman sponsor, Kellogg's, is headquartered in Battle Creek, Michigan.;The Cocoa Krispies and former Superman sponsor, Kellogg's, is headquartered in Battle Creek, Michigan.;The Cocoa Krispies and former Superman sponsor, Kellogg's, is headquartered in Battle Creek, Michigan.;The Cocoa Krispies and former Superman sponsor, Kellogg's, is headquartered in Battle Creek, Michigan.;The Cocoa Krispies and former Superman sponsor, Kellogg's, is headquartered in Battle Creek, Michigan.;The Cocoa Krispies and former Superman sponsor, Kellogg's, is headquartered in Battle Creek, Michigan.;The Cocoa Krispies and former Superman sponsor, Kellogg's, is headquartered in Battle Creek, Michigan.","1. Kellogg's, the company behind Cocoa Krispies and a former sponsor of Superman, is based in Battle Creek, Michigan.;2. Battle Creek, Michigan, is home to Kellogg's, known for Cocoa Krispies and previously sponsoring Superman.;3. The headquarters of Kellogg's, famous for Cocoa Krispies and once a sponsor of Superman, is situated in Battle Creek, Michigan.;4. Located in Battle Creek, Michigan, Kellogg's is the company that produces Cocoa Krispies and formerly sponsored Superman.;5. Kellogg's, which produces Cocoa Krispies and was once a sponsor of Superman, has its headquarters in Battle Creek, Michigan.",YES;YES;YES;YES;YES,"1. The Cocoa Krispies and former Superman sponsor, Kellogg's, is not headquartered in Battle Creek, Michigan.;2. Kellogg's is not headquartered in Battle Creek, Michigan.;3. The headquarters of Kellogg's is not in Battle Creek, Michigan.;4. Battle Creek, Michigan is not the headquarters of Kellogg's.;5. Kellogg's does not have its headquarters in Battle Creek, Michigan.",NO;NO;NO;NO;NO,0,no
How many days did it take the Best New Artist of 2009 to sell 2 million copies of an album in the UK and break a twenty year old record?,29,It took the Best New Artist of 2009 29 days to sell 2 million copies of an album in the UK and break a twenty year old record.,"The Best New Artist of 2009, Lady Gaga, took 154 days to sell 2 million copies of her album ""The Fame"" in the UK, breaking a twenty-year-old record.","The Best New Artist of 2009, Lady Gaga, took 154 days to sell 2 million copies of her album ""The Fame"" in the UK and break a twenty-year-old record.;The Best New Artist of 2009, Adele, took 13 days to sell 2 million copies of her album ""25"" in the UK, breaking a twenty-year-old record.;It took 47 days for Lady Gaga, the Best New Artist of 2009, to sell 2 million copies of her album ""The Fame"" in the UK and break a twenty-year-old record.;The Best New Artist of 2009, Lady Gaga, took 154 days to sell 2 million copies of her album ""The Fame"" in the UK, breaking a twenty-year-old record.;The Best New Artist of 2009, Lady Gaga, took 154 days to sell 2 million copies of her album ""The Fame"" in the UK, breaking a twenty-year-old record.;The Best New Artist of 2009, Lady Gaga, took 154 days to sell 2 million copies of her album ""The Fame"" in the UK and break a twenty-year-old record.;The Best New Artist of 2009, Lady Gaga, took 154 days to sell 2 million copies of her album ""The Fame"" in the UK, breaking a twenty-year-old record.;The Best New Artist of 2009, Lady Gaga, took 154 days to sell 2 million copies of her album ""The Fame"" in the UK, breaking a twenty-year-old record.;Lady Gaga, the Best New Artist of 2009, sold 2 million copies of her album ""The Fame"" in the UK in 154 days, breaking a twenty-year-old record.;The Best New Artist of 2009, Lady Gaga, took 154 days to sell 2 million copies of her album ""The Fame"" in the UK, breaking a twenty-year-old record.","1. Lady Gaga, the Best New Artist of 2009, needed 154 days to sell 2 million copies of her album ""The Fame"" in the UK, shattering a twenty-year-old record.;2. It took Lady Gaga, who was named Best New Artist in 2009, 154 days to reach 2 million album sales in the UK with ""The Fame,"" breaking a record that stood for twenty years.;3. In 154 days, Lady Gaga, the Best New Artist of 2009, sold 2 million copies of ""The Fame"" in the UK, surpassing a record that had lasted twenty years.;4. The Best New Artist of 2009, Lady Gaga, achieved 2 million sales of her album ""The Fame"" in the UK in 154 days, breaking a record that had been unbroken for twenty years.;5. Lady Gaga, awarded Best New Artist in 2009, broke a twenty-year-old record by selling 2 million copies of ""The Fame"" in the UK in just 154 days.",NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,"1. Lady Gaga did not take 154 days to sell 2 million copies of her album ""The Fame"" in the UK.;2. The Best New Artist of 2009 did not take 154 days to sell 2 million copies of an album in the UK.;3. Lady Gaga did not break a twenty-year-old record by selling 2 million copies of her album ""The Fame"" in 154 days in the UK.;4. It did not take 154 days for Lady Gaga to sell 2 million copies of her album ""The Fame"" in the UK.;5. Lady Gaga did not sell 2 million copies of her album ""The Fame"" in 154 days in the UK.",NOT SURE;NOT SURE;NOT SURE;NOT SURE;NOT SURE,0.2,yes
"What is the international football competition for women that Liu Ailing played in the 1991,1995, 1999 editions?",international football competition,"Liu Ailing played in the international football competition for women in the 1991, 1995, and 1999 editions, showcasing her skills and representing her country on the global stage.","Liu Ailing played in the FIFA Women's World Cup in the 1991, 1995, and 1999 editions.","The international football competition for women that Liu Ailing played in during the 1991, 1995, and 1999 editions is the FIFA Women's World Cup.;Liu Ailing played in the FIFA Women's World Cup in the 1991, 1995, and 1999 editions.;The international football competition for women that Liu Ailing played in during the 1991, 1995, and 1999 editions is the FIFA Women's World Cup.;Liu Ailing played in the FIFA Women's World Cup in the 1991, 1995, and 1999 editions.;Liu Ailing played in the FIFA Women's World Cup in the 1991, 1995, and 1999 editions.;Liu Ailing played in the FIFA Women's World Cup during the 1991, 1995, and 1999 editions.;Liu Ailing played in the FIFA Women's World Cup in the 1991, 1995, and 1999 editions.;The international football competition for women that Liu Ailing played in the 1991, 1995, and 1999 editions is the FIFA Women's World Cup.;Liu Ailing played in the FIFA Women's World Cup in the 1991, 1995, and 1999 editions.;Liu Ailing played in the FIFA Women's World Cup in the 1991, 1995, and 1999 editions.","1. Liu Ailing participated in the FIFA Women's World Cup during the 1991, 1995, and 1999 editions.;2. In the 1991, 1995, and 1999 editions, Liu Ailing competed in the FIFA Women's World Cup.;3. The FIFA Women's World Cup saw Liu Ailing's participation in its 1991, 1995, and 1999 editions.;4. Liu Ailing was a competitor in the FIFA Women's World Cup for the 1991, 1995, and 1999 editions.;5. During the 1991, 1995, and 1999 editions of the FIFA Women's World Cup, Liu Ailing played.",YES;YES;YES;YES;YES,"1. Liu Ailing did not play in the FIFA Women's World Cup in the 1991, 1995, and 1999 editions.;2. Liu Ailing played in the FIFA Women's World Cup neither in 1991, 1995, nor 1999.;3. The FIFA Women's World Cup was not the competition Liu Ailing played in during the 1991, 1995, and 1999 editions.;4. Liu Ailing did not participate in the FIFA Women's World Cup in the 1991, 1995, and 1999 editions.;5. The 1991, 1995, and 1999 editions of the FIFA Women's World Cup did not feature Liu Ailing.",NO;NO;NO;NO;NOT SURE,0,no
The city that contains the Yunnan Provincial Museum is also known by what nickname?,Spring city,"The city that contains the Yunnan Provincial Museum is also known by the nickname ""Spring city"" because of its pleasant and mild climate throughout the year.","The city that contains the Yunnan Provincial Museum, Kunming, is also known by the nickname ""Spring City.""","The city that contains the Yunnan Provincial Museum, Kunming, is also known by the nickname ""Spring City"" due to its mild climate.;The city that contains the Yunnan Provincial Museum, Kunming, is also known by the nickname ""Spring City"" due to its mild climate.;The city that contains the Yunnan Provincial Museum, Kunming, is also known by the nickname ""Spring City"" due to its mild climate.;The city that contains the Yunnan Provincial Museum, Kunming, is also known by the nickname ""Spring City"" due to its mild climate.;The city that contains the Yunnan Provincial Museum, Kunming, is also known by the nickname ""Spring City"" due to its mild climate.;The city that contains the Yunnan Provincial Museum, Kunming, is also known by the nickname ""Spring City."";The city that contains the Yunnan Provincial Museum, Kunming, is also known by the nickname ""Spring City"" due to its mild climate.;The city that contains the Yunnan Provincial Museum, Kunming, is also known by the nickname ""Spring City"" due to its mild climate.;The city that contains the Yunnan Provincial Museum, Kunming, is also known by the nickname ""Spring City."";The city that contains the Yunnan Provincial Museum, Kunming, is also known by the nickname ""Spring City.""","1. Kunming, the city that contains the Yunnan Provincial Museum, is also referred to as ""Spring City."";2. The city known as ""Spring City,"" which contains the Yunnan Provincial Museum, is Kunming.;3. Kunming, which houses the Yunnan Provincial Museum, is nicknamed ""Spring City."";4. The nickname ""Spring City"" is given to Kunming, the city that contains the Yunnan Provincial Museum.;5. The Yunnan Provincial Museum is located in Kunming, which is also known by the nickname ""Spring City.""",YES;YES;YES;YES;YES,"1. The city that contains the Yunnan Provincial Museum, Kunming, is not known by the nickname ""Spring City."";2. Kunming, the city that contains the Yunnan Provincial Museum, is not also known by the nickname ""Spring City."";3. The city that contains the Yunnan Provincial Museum is not known as ""Spring City."";4. The nickname ""Spring City"" does not refer to Kunming, the city that contains the Yunnan Provincial Museum.;5. Kunming is not also known by the nickname ""Spring City.""",NO;NO;YES;NO;NO,0,no
What 2017 Christopher B. Landon directed American slasher film is Jessica Rothe starring in?,Happy Death Day,The 2017 Christopher B. Landon directed American slasher film that Jessica Rothe is starring in is Happy Death Day.,"The 2017 Christopher B. Landon directed American slasher film starring Jessica Rothe is ""Happy Death Day.""","The 2017 American slasher film directed by Christopher B. Landon and starring Jessica Rothe is ""Happy Death Day."";The 2017 Christopher B. Landon directed American slasher film starring Jessica Rothe is ""Happy Death Day."";The 2017 American slasher film directed by Christopher B. Landon and starring Jessica Rothe is ""Happy Death Day."";The 2017 American slasher film directed by Christopher B. Landon, starring Jessica Rothe, is ""Happy Death Day."";The 2017 American slasher film directed by Christopher B. Landon in which Jessica Rothe stars is ""Happy Death Day."";The 2017 Christopher B. Landon directed American slasher film starring Jessica Rothe is ""Happy Death Day."";The 2017 Christopher B. Landon directed American slasher film starring Jessica Rothe is ""Happy Death Day."";The 2017 American slasher film directed by Christopher B. Landon and starring Jessica Rothe is ""Happy Death Day."";The 2017 Christopher B. Landon directed American slasher film starring Jessica Rothe is ""Happy Death Day."";The 2017 Christopher B. Landon directed American slasher film starring Jessica Rothe is ""Happy Death Day.""","1. ""Happy Death Day"" is the 2017 American slasher film directed by Christopher B. Landon and starring Jessica Rothe.;2. Jessica Rothe stars in the 2017 American slasher film ""Happy Death Day,"" directed by Christopher B. Landon.;3. Directed by Christopher B. Landon, the 2017 American slasher film featuring Jessica Rothe is ""Happy Death Day."";4. The American slasher film from 2017, directed by Christopher B. Landon and starring Jessica Rothe, is ""Happy Death Day."";5. In 2017, Christopher B. Landon directed the American slasher film ""Happy Death Day,"" which stars Jessica Rothe.",YES;YES;YES;YES;YES,"1. The 2017 Christopher B. Landon directed American slasher film starring Jessica Rothe is not ""Happy Death Day."";2. ""Happy Death Day"" is not the 2017 Christopher B. Landon directed American slasher film starring Jessica Rothe.;3. Jessica Rothe does not star in the 2017 Christopher B. Landon directed American slasher film ""Happy Death Day."";4. Christopher B. Landon did not direct the 2017 American slasher film ""Happy Death Day"" starring Jessica Rothe.;5. The 2017 American slasher film ""Happy Death Day"" is not directed by Christopher B. Landon and does not star Jessica Rothe.",NO;NO;NO;YES;NO,0,no
"when was the album that includes the song by Dustin Lynch released to country radio on February 17, 2017?",8-Sep-17,"The album that includes the song by Dustin Lynch was released to country radio on February 17, 2017.","The album ""Current Mood"" by Dustin Lynch, which includes the song released to country radio on February 17, 2017, was released on September 8, 2017.","The album ""Current Mood"" by Dustin Lynch, which includes the song released to country radio on February 17, 2017, was released on September 8, 2017.;The album ""Current Mood"" by Dustin Lynch, which includes the song released to country radio on February 17, 2017, was released on September 8, 2017.;The album ""Current Mood"" by Dustin Lynch, which includes the song released to country radio on February 17, 2017, was released on September 8, 2017.;The album ""Current Mood"" by Dustin Lynch, which includes the song released to country radio on February 17, 2017, was released on September 8, 2017.;The album ""Current Mood,"" which includes the song by Dustin Lynch released to country radio on February 17, 2017, was released on September 8, 2017.;The album ""Current Mood"" by Dustin Lynch, which includes the song released to country radio on February 17, 2017, was released on September 8, 2017.;The album ""Current Mood"" by Dustin Lynch, which includes the song released to country radio on February 17, 2017, was released on September 8, 2017.;The album ""Current Mood"" by Dustin Lynch, which includes the song released to country radio on February 17, 2017, was released on September 8, 2017.;The album ""Current Mood"" by Dustin Lynch, which includes the song released to country radio on February 17, 2017, was released on September 8, 2017.;The album ""Current Mood"" by Dustin Lynch, which includes the song released to country radio on February 17, 2017, was released on September 8, 2017.","1. The album ""Current Mood"" by Dustin Lynch, featuring the song released to country radio on February 17, 2017, came out on September 8, 2017.;2. Released on September 8, 2017, the album ""Current Mood"" by Dustin Lynch includes the song that hit country radio on February 17, 2017.;3. Dustin Lynch's album ""Current Mood,"" which contains the song aired on country radio on February 17, 2017, was released on September 8, 2017.;4. On September 8, 2017, Dustin Lynch released the album ""Current Mood,"" which features the song that debuted on country radio on February 17, 2017.;5. The album ""Current Mood"" by Dustin Lynch, which has the song that premiered on country radio on February 17, 2017, was released on September 8, 2017.",NOT SURE;NOT SURE;YES;YES;YES,"1. The album ""Current Mood"" by Dustin Lynch was not released on September 8, 2017.;2. ""Current Mood"" by Dustin Lynch, which includes the song released to country radio on February 17, 2017, was not released on September 8, 2017.;3. The album that includes the song by Dustin Lynch released to country radio on February 17, 2017, was not released on September 8, 2017.;4. Dustin Lynch's album ""Current Mood"" was not released on September 8, 2017.;5. The release date of the album ""Current Mood"" by Dustin Lynch was not September 8, 2017.",YES;YES;YES;NO;NO,0,yes
