Questions,Answers,extended_answer,base_response,generated_samples,synonyms,synonym_responses,antonyms,antonym_responses,selfcheck_score,hallucination_check,score
Psycho-physical Awareness was developed into an original and dependable method by a Russian-American actor who was referred to by Konstantin Stanislavski as what?,his most brilliant student,"Konstantin Stanislavski referred to the Russian-American actor, who developed Psycho-physical Awareness into an original and dependable method, as his most brilliant student."," The Russian-American actor who was referred to by Konstantin Stanislavski as ""the American Sanford Meisner"" developed Psycho-physical Awareness into an original and dependable method."," The Russian-American actor who was referred to by Konstantin Stanislavski as ""the American Sanford Meisner"" developed Psycho-physical Awareness into an original and dependable method.; The Russian-American actor who was referred to by Konstantin Stanislavski as ""the American Sanford Meisner"" developed Psycho-physical Awareness into an original and dependable method.; The Russian-American actor referred to by Konstantin Stanislavski as ""the American System"" was Lee Strasberg.; The Russian-American actor who was referred to by Konstantin Stanislavski as ""the American Sanford Meisner"" developed Psycho-physical Awareness into an original and dependable method.; The Russian-American actor who was referred to by Konstantin Stanislavski as ""the American Sanford Meisner"" developed Psycho-physical Awareness into an original and dependable method.; The Russian-American actor who was referred to by Konstantin Stanislavski as ""the American Sanford Meisner"" developed Psycho-physical Awareness into an original and dependable method.; The Russian-American actor who was referred to by Konstantin Stanislavski as ""the American Sanford Meisner"" developed Psycho-physical Awareness into an original and dependable method.; The Russian-American actor who was referred to by Konstantin Stanislavski as ""the American Sanford Meisner"" developed Psycho-physical Awareness into an original and dependable method.; The Russian-American actor who was referred to by Konstantin Stanislavski as ""the American Sanford Meisner"" developed Psycho-physical Awareness into an original and dependable method.; The Russian-American actor who was referred to by Konstantin Stanislavski as ""the American Stanislavsky"" was Lee Strasberg.","1. Konstantin Stanislavski referred to the Russian-American actor who developed Psycho-physical Awareness into an original and dependable method as ""the American Sanford Meisner."";2. Sanford Meisner, a Russian-American actor, was called by Konstantin Stanislavski as the one who created an original and reliable Psycho-physical Awareness method.;3. The Russian-American actor who formulated an original and reliable Psycho-physical Awareness method was known by Konstantin Stanislavski as ""the American Sanford Meisner."";4. Sanford Meisner, a Russian-American actor, was identified by Konstantin Stanislavski as the creator of an original and dependable Psycho-physical Awareness method.;5. Konstantin Stanislavski referred to the creator of an original and dependable Psycho-physical Awareness method, who was a Russian-American actor, as ""the American Sanford Meisner.""",YES;NO;NO;NO;NO,"1. The Russian-American actor who was referred to by Konstantin Stanislavski as ""not the American Sanford Meisner"" did not develop Psycho-physical Awareness into an original and dependable method.;2. Psycho-physical Awareness was not developed into an original and dependable method by the Russian-American actor who was referred to by Konstantin Stanislavski as ""the American Sanford Meisner"".;3. Konstantin Stanislavski did not refer to the Russian-American actor who developed Psycho-physical Awareness as ""the American Sanford Meisner"".;4. The Russian-American actor who developed Psycho-physical Awareness was not referred to by Konstantin Stanislavski as ""not the American Sanford Meisner"".;5. Psycho-physical Awareness was not developed into an original and dependable method by a Russian-American actor who was not referred to by Konstantin Stanislavski as ""the American Sanford Meisner"".",NO;NO;NO;NO;NO,0.6,yes,0.4
What is the name of the character portrayed by Anna Camp in the film centered on the fictional Barden University and The Bellas?,Aubrey Posen,The name of the character portrayed by Anna Camp in the film centered on the fictional Barden University and The Bellas is Aubrey Posen., Anna Camp plays the character Aubrey Posen in the Pitch Perfect film series.," Anna Camp plays the character Aubrey Posen in the Pitch Perfect film series, which is set at Barden University and features an all-female singing group called The Bellas.; Anna Camp plays the character Aubrey Posen in the Pitch Perfect film series.; Anna Camp plays the character Aubrey Posen in the Pitch Perfect film series.; Anna Camp plays the character Aubrey Posen in the Pitch Perfect film series.; Anna Camp plays the character Aubrey Posen in the Pitch Perfect film series.; Anna Camp plays the character Aubrey Posen in the Pitch Perfect film series, which revolves around Barden University's all-female singing group, The Bellas.; Anna Camp plays the character Aubrey Posen in the Pitch Perfect film series.; Anna Camp plays the character Aubrey Posen in the Pitch Perfect film series.; Anna Camp plays the character Aubrey Posen in the Pitch Perfect film series.; Anna Camp plays the character Aubrey Posen in the Pitch Perfect film series.","1. Anna Camp depicts the character Aubrey Posen in the Pitch Perfect movie franchise set at Barden University and featuring The Bellas.;2. In the Pitch Perfect film series, which revolves around Barden University and The Bellas, Anna Camp portrays the character Aubrey Posen.;3. The character Aubrey Posen, portrayed by Anna Camp, is a central figure in the Pitch Perfect movie series that focuses on Barden University and The Bellas.;4. Anna Camp's character in the Pitch Perfect film series, which centers on Barden University and The Bellas, is named Aubrey Posen.;5. Aubrey Posen, played by Anna Camp, is a key character in the Pitch Perfect movie series, which is based on Barden University and The Bellas.",YES;YES;YES;NO;YES,"1. Anna Camp does not play the character Aubrey Posen in the Pitch Perfect film series.;2. The character Aubrey Posen is not portrayed by Anna Camp in the Pitch Perfect film series.;3. In the Pitch Perfect film series, Anna Camp does not portray the character from Barden University and The Bellas named Aubrey Posen.;4. The character named Aubrey Posen, from the film centered on the fictional Barden University and The Bellas, is not played by Anna Camp.;5. Anna Camp is not the actress who portrays the character Aubrey Posen in the Pitch Perfect film series.",YES;YES;NO;NO;YES,0,no,0.4
"Which Istanbul mosque is unique for retaining a Baroque style of architecture, the Bayezid II Mosque or the Nusretiye Mosque?",Nusretiye Mosque,The Nusretiye Mosque is the Istanbul mosque that is unique for retaining a Baroque style of architecture., The Nusretiye Mosque in Istanbul is unique for retaining a Baroque style of architecture., The Nusretiye Mosque in Istanbul is unique for retaining a Baroque style of architecture.; The Nusretiye Mosque in Istanbul is unique for retaining a Baroque style of architecture.; The Nusretiye Mosque in Istanbul is unique for retaining a Baroque style of architecture.; The Nusretiye Mosque in Istanbul is unique for retaining a Baroque style of architecture.; The Nusretiye Mosque in Istanbul is unique for retaining a Baroque style of architecture.; The Nusretiye Mosque in Istanbul is unique for retaining a Baroque style of architecture.; The Nusretiye Mosque in Istanbul is unique for retaining a Baroque style of architecture.; The Nusretiye Mosque in Istanbul is unique for retaining a Baroque style of architecture.; The Nusretiye Mosque in Istanbul is unique for retaining a Baroque style of architecture.; The Nusretiye Mosque in Istanbul is unique for retaining a Baroque style of architecture.,1. The Nusretiye Mosque in Istanbul is distinguished for its Baroque architectural style.;2. The Baroque architecture is preserved in the Nusretiye Mosque located in Istanbul.;3. The Nusretiye Mosque in Istanbul showcases a unique Baroque architectural design.;4. The Nusretiye Mosque in Istanbul is the only mosque that retains a Baroque architectural style.;5. The Nusretiye Mosque in Istanbul is known for its Baroque architectural features.,NO;YES;NO;NO;NO,1. The Bayezid II Mosque in Istanbul is not unique for retaining a Baroque style of architecture.;2. The Nusretiye Mosque in Istanbul does not retain a Baroque style of architecture.;3. The Bayezid II Mosque in Istanbul does not have a unique Baroque style of architecture.;4. The Baroque style of architecture is not retained by the Bayezid II Mosque in Istanbul.;5. The Bayezid II Mosque in Istanbul is not the one that is unique for retaining a Baroque style of architecture.,NO;YES;YES;NO;NO,0,no,0.6
What production company was founded by George Balanchine to create a live stage version of the 1942 film Casablanca?,The Los Angeles Dance Theater,The Los Angeles Dance Theater was founded by George Balanchine to create a live stage version of the 1942 film Casablanca.," George Balanchine did not found a production company to create a live stage version of the 1942 film Casablanca. Balanchine was a ballet choreographer and co-founded the New York City Ballet, not involved in the production of Casablanca."," George Balanchine did not found a production company to create a live stage version of the 1942 film Casablanca. Balanchine was a ballet choreographer and co-founded the New York City Ballet, not involved in the production of Casablanca.; George Balanchine did not found a production company to create a live stage version of the 1942 film Casablanca. Balanchine was a ballet choreographer and co-founded the New York City Ballet, not involved in the production of Casablanca.; George Balanchine did not found a production company to create a live stage version of the 1942 film Casablanca. Balanchine was a ballet choreographer and co-founded the New York City Ballet, not involved in the production of Casablanca.; George Balanchine did not found a production company to create a live stage version of the 1942 film Casablanca. Balanchine was a ballet choreographer and co-founded the New York City Ballet, not involved in the production of Casablanca.; George Balanchine did not found a production company to create a live stage version of the 1942 film Casablanca. Balanchine was a ballet choreographer and co-founded the New York City Ballet, not involved in the production of Casablanca.; George Balanchine did not found a production company to create a live stage version of the 1942 film Casablanca. Balanchine was a ballet choreographer and co-founded the New York City Ballet, not involved in the production of Casablanca.; George Balanchine did not found a production company to create a live stage version of the 1942 film Casablanca. Balanchine was a ballet choreographer and co-founded the New York City Ballet, not involved in the production of Casablanca.; George Balanchine did not found a production company to create a live stage version of the 1942 film Casablanca. Balanchine was a ballet choreographer and co-founded the New York City Ballet, not involved in the production of Casablanca.; George Balanchine did not found a production company to create a live stage version of the 1942 film Casablanca. Balanchine was a ballet choreographer and co-founded the New York City Ballet, not involved in the production of Casablanca.; George Balanchine did not found a production company to create a live stage version of the 1942 film Casablanca. Balanchine was a ballet choreographer and co-founded the New York City Ballet, not involved in the production of Casablanca.","1. It was not George Balanchine who established a production company to adapt the 1942 film Casablanca into a live stage version.;2. Contrary to popular belief, George Balanchine, a ballet choreographer, did not found a production company to produce a live stage version of the 1942 film Casablanca.;3. The misconception that George Balanchine, the ballet choreographer, founded a production company to create a live stage version of the 1942 film Casablanca is unfounded.;4. George Balanchine, the ballet choreographer, did not establish a production company to produce a live stage version of the 1942 film Casablanca, as is often thought.;5. The 1942 film Casablanca was not adapted into a live stage version by a production company founded by George Balanchine, the ballet choreographer.",YES;NO;YES;NO;YES,1. A production company was founded by George Balanchine to create a live stage version of the 1942 film Casablanca.;2. George Balanchine founded a production company for the purpose of creating a live stage version of the 1942 film Casablanca.;3. The 1942 film Casablanca was given a live stage version by a production company founded by George Balanchine.;4. George Balanchine was the founder of a production company that produced a live stage version of the 1942 film Casablanca.;5. A live stage version of the 1942 film Casablanca was produced by a production company founded by George Balanchine.,NO;NO;NO;NO;NO,1,yes,0.2
"What city that Lettuce Lake Park is just outside of is the largest in Hillsborough County, Florida? ",Tampa,"Lettuce Lake Park is just outside of Tampa, which is the largest city in Hillsborough County, Florida."," Tampa, the largest city in Hillsborough County, Florida, is just outside Lettuce Lake Park."," Tampa, the largest city in Hillsborough County, Florida, is just outside Lettuce Lake Park.; Tampa, the largest city in Hillsborough County, Florida, is just outside Lettuce Lake Park.; Tampa, the largest city in Hillsborough County, Florida, is just outside Lettuce Lake Park.; Tampa, the largest city in Hillsborough County, Florida, is just outside Lettuce Lake Park.; Tampa, the largest city in Hillsborough County, Florida, is just outside Lettuce Lake Park.; Tampa, the largest city in Hillsborough County, Florida, is just outside Lettuce Lake Park.; Tampa, the largest city in Hillsborough County, Florida, is just outside Lettuce Lake Park.; Tampa, the largest city in Hillsborough County, Florida, is just outside Lettuce Lake Park.; Tampa, the largest city in Hillsborough County, Florida, is just outside Lettuce Lake Park.; Tampa, the largest city in Hillsborough County, Florida, is just outside Lettuce Lake Park.","1. Lettuce Lake Park is situated near the largest city in Hillsborough County, Florida, which is Tampa.;2. The city of Tampa, the largest in Hillsborough County, Florida, borders Lettuce Lake Park.;3. Lettuce Lake Park is found adjacent to Tampa, the biggest city in Hillsborough County, Florida.;4. Tampa, the largest city in Hillsborough County, Florida, lies just beyond Lettuce Lake Park.;5. Lettuce Lake Park is located outside the largest city in Hillsborough County, Florida, which is Tampa.",YES;NO;YES;YES;YES,"1. Lettuce Lake Park is not just outside of the largest city in Hillsborough County, Florida, which is Tampa.;2. Tampa, the largest city in Hillsborough County, Florida, is not just outside Lettuce Lake Park.;3. Lettuce Lake Park is not located in the largest city in Hillsborough County, Florida, which is Tampa.;4. Tampa, the largest city in Hillsborough County, Florida, is not the city that Lettuce Lake Park is just outside of.;5. The city that Lettuce Lake Park is just outside of is not Tampa, the largest city in Hillsborough County, Florida.",YES;NO;YES;YES;NO,0,no,0.4
Which US Supreme court case involved a waiver of right to counsel Planned Parenthood v. Casey or Montejo v. Louisiana?,Montejo v. Louisiana,The US Supreme court case that involved a waiver of the right to counsel is Montejo v. Louisiana.," Montejo v. Louisiana is the US Supreme Court case that involved a waiver of the right to counsel. Planned Parenthood v. Casey, on the other hand, concerned the constitutionality of certain Pennsylvania abortion regulations."," Montejo v. Louisiana is the US Supreme Court case that involved a waiver of the right to counsel. Planned Parenthood v. Casey, on the other hand, concerned the constitutionality of certain Pennsylvania abortion regulations.; Montejo v. Louisiana is the US Supreme Court case that involved a waiver of the right to counsel. Planned Parenthood v. Casey, on the other hand, dealt with the constitutionality of certain Pennsylvania abortion regulations.; Montejo v. Louisiana is the US Supreme Court case that involved a waiver of the right to counsel. Planned Parenthood v. Casey, on the other hand, concerned the constitutionality of certain Pennsylvania abortion regulations.; Montejo v. Louisiana is the US Supreme Court case that involved a waiver of the right to counsel. Planned Parenthood v. Casey, on the other hand, concerned the constitutionality of certain Pennsylvania abortion regulations.; Montejo v. Louisiana is the US Supreme Court case that involved a waiver of the right to counsel. Planned Parenthood v. Casey, on the other hand, dealt with the constitutionality of certain Pennsylvania abortion regulations.; Montejo v. Louisiana is the US Supreme Court case that involved a waiver of the right to counsel. Planned Parenthood v. Casey, on the other hand, dealt with the constitutionality of certain Pennsylvania abortion regulations.; Montejo v. Louisiana is the US Supreme Court case that involved a waiver of the right to counsel. Planned Parenthood v. Casey, on the other hand, concerned the constitutionality of Pennsylvania's abortion laws.; Montejo v. Louisiana is the US Supreme Court case that involved a waiver of the right to counsel. Planned Parenthood v. Casey, on the other hand, concerned the constitutionality of certain Pennsylvania abortion regulations.; Montejo v. Louisiana is the US Supreme Court case that involved a waiver of the right to counsel. Planned Parenthood v. Casey, on the other hand, concerned the constitutionality of certain Pennsylvania abortion regulations.; Montejo v. Louisiana is the US Supreme Court case that involved a waiver of the right to counsel. Planned Parenthood v. Casey, on the other hand, dealt with the constitutionality of certain Pennsylvania abortion regulations.","1. The US Supreme Court case that dealt with a waiver of the right to counsel was Montejo v. Louisiana.;2. In contrast, Planned Parenthood v. Casey focused on the constitutionality of certain Pennsylvania abortion regulations.;3. Montejo v. Louisiana is the case where the right to counsel was waived, while Planned Parenthood v. Casey addressed the legality of Pennsylvania's abortion regulations.;4. The US Supreme Court case that centered around the waiver of the right to counsel was Montejo v. Louisiana, whereas Planned Parenthood v. Casey discussed the constitutionality of Pennsylvania's abortion laws.;5. While Planned Parenthood v. Casey dealt with the constitutionality of Pennsylvania abortion regulations, Montejo v. Louisiana involved a waiver of the right to counsel.",YES;YES;YES;YES;YES,"1. Planned Parenthood v. Casey, not Montejo v. Louisiana, is the US Supreme Court case that involved a waiver of the right to counsel.;2. Montejo v. Louisiana did not concern a waiver of the right to counsel.;3. The US Supreme Court case that involved a waiver of the right to counsel was not Montejo v. Louisiana.;4. Planned Parenthood v. Casey, not Montejo v. Louisiana, dealt with the constitutionality of certain Pennsylvania abortion regulations.;5. Montejo v. Louisiana is not the case that dealt with the constitutionality of certain Pennsylvania abortion regulations, as Planned Parenthood v. Casey did.",NO;NO;NO;YES;YES,1,no,0.2
"Who produced the 1998 British comedy starring the director of the feature film ""Eddie the Eagle""?",Matthew Vaughn,"Matthew Vaughn, who directed the feature film ""Eddie the Eagle,"" produced the 1998 British comedy."," The 1998 British comedy ""Still Crazy,"" which was directed by Phillip Ridley, was produced by Jeremy Thomas."," The 1998 British comedy ""Still Crazy,"" which was directed by Phillippe Rousselot, was produced by Duncan Kenworthy.; The 1998 British comedy ""Still Crazy,"" which was directed by Phillip Ridley, was produced by Jeremy Thomas.; The 1998 British comedy ""Still Crazy,"" which was directed by Phillip Ridley, was produced by Jeremy Thomas.; The 1998 British comedy ""Still Crazy,"" which was directed by Phillip Ridley, was produced by Jeremy Thomas.; The 1998 British comedy ""Still Crazy,"" which was directed by Phillip Ridley, was produced by Jeremy Thomas.; The 1998 British comedy ""Still Crazy,"" which was directed by Phillip Ridley, was produced by Jeremy Thomas.; The 1998 British comedy ""Still Crazy,"" which was directed by Phillippe Rousselot, was produced by Duncan Kenworthy.; The 1998 British comedy ""Still Crazy,"" which was directed by Phillip Ridley, was produced by Jeremy Thomas.; The 1998 British comedy ""Still Crazy,"" which was directed by Phillip Ridley, was produced by Jeremy Thomas.; The 1998 British comedy ""Still Crazy,"" which was directed by Phillippe Rousselot, was produced by Jeremy Thomas.","1. Jeremy Thomas was the producer of the 1998 British comedy ""Still Crazy,"" directed by Phillip Ridley.;2. Phillip Ridley's 1998 British comedy ""Still Crazy"" was produced by Jeremy Thomas.;3. The production of the 1998 British comedy ""Still Crazy,"" helmed by Phillip Ridley, was handled by Jeremy Thomas.;4. Jeremy Thomas served as the producer for the 1998 British comedy ""Still Crazy,"" a film directed by Phillip Ridley.;5. The 1998 British comedy ""Still Crazy,"" under the direction of Phillip Ridley, was produced by Jeremy Thomas.",YES;YES;YES;YES;YES,"1. Jeremy Thomas did not produce the 1998 British comedy ""Still Crazy."";2. ""Still Crazy,"" the 1998 British comedy directed by Phillip Ridley, was not produced by Jeremy Thomas.;3. Phillip Ridley's 1998 British comedy ""Still Crazy"" was not produced by Jeremy Thomas.;4. The 1998 British comedy ""Still Crazy,"" directed by Phillip Ridley, was not produced by the person who produced ""Eddie the Eagle."";5. The person who produced ""Eddie the Eagle"" did not produce the 1998 British comedy ""Still Crazy.""",NO;YES;NO;YES;NO,0.6,yes,0.2
"In what year was the band, whose bassist joined Arvas in 1996, formed?",1992,"The band, whose bassist joined Arvas in 1996, was formed in 1992.", The band that included a bassist who joined Arvas in 1996 was formed in 1994., The band that included a bassist who joined Arvas in 1996 was formed in 1994.; The band that included a bassist who joined Arvas in 1996 was formed in 1994.; The band that included a bassist who joined Arvas in 1996 was formed in 1994.; The band that included a bassist who joined Arvas in 1996 was formed in 1994.; The band that included a bassist who joined Arvas in 1996 was formed in 1994.; The band that included a bassist who joined Arvas in 1996 was formed in 1994.; The band that included a bassist who joined Arvas in 1996 was formed in 1994.; The band that included a bassist who joined Arvas in 1996 was formed in 1994.; The band that included a bassist who joined Arvas in 1996 was formed in 1994.; The band that included a bassist who joined Arvas in 1996 was formed in 1994.,"1. The band that later included a bassist who joined Arvas in 1996 was established in the year 1994.;2. The year 1994 marked the formation of the band that eventually welcomed a bassist who joined Arvas in 1996.;3. The band, which eventually had a bassist who joined Arvas in 1996, was founded in the year 1994.;4. The band that eventually included a bassist who joined Arvas in 1996 was created in the year 1994.;5. The band that later added a bassist who joined Arvas in 1996 was established in the year 1994.",NOT SURE;YES;YES;NO;NO,1. The band that included a bassist who joined Arvas in 1996 was not formed in 1994.;2. The year the band that included a bassist who joined Arvas in 1996 was formed was not 1994.;3. The band that included a bassist who joined Arvas in 1996 was not formed before 1994.;4. The band that included a bassist who joined Arvas in 1996 was formed after 1994.;5. The year prior to 1994 is when the band that included a bassist who joined Arvas in 1996 was not formed.,NO;YES;NO;NO;NO,0,yes,0.35
Which company does Timothy Oulton retail his products through that is based in Corte Madera?,Restoration Hardware,"Timothy Oulton retails his products through Restoration Hardware, a company based in Corte Madera."," Timothy Oulton retails his products through the company named Timothy Oulton, which has a store located in Corte Madera."," Timothy Oulton retails his products through the company named Timothy Oulton, which has a store located in Corte Madera.; Timothy Oulton retails his products through the company named Timothy Oulton, which has a store located in Corte Madera.; Timothy Oulton retails his products through the company named Timothy Oulton, which has a store located in Corte Madera.; Timothy Oulton retails his products through the company named Timothy Oulton, which has a store located in Corte Madera.; Timothy Oulton retails his products through the company named Timothy Oulton, which has a store located in Corte Madera.; Timothy Oulton retails his products through the company named Timothy Oulton, which has a store located in Corte Madera.; Timothy Oulton retails his products through the company named Timothy Oulton, which has a store located in Corte Madera.; Timothy Oulton retails his products through the company named Timothy Oulton, which has a store located in Corte Madera.; Timothy Oulton retails his products through the company named Timothy Oulton, which has a store located in Corte Madera.; Timothy Oulton retails his products through the company named Timothy Oulton, which has a store located in Corte Madera.","1. Timothy Oulton sells his products through the company Timothy Oulton, which operates a store in Corte Madera.;2. The company Timothy Oulton, situated in Corte Madera, is where Timothy Oulton retails his products.;3. In Corte Madera, the company Timothy Oulton, where Timothy Oulton retails his products, is based.;4. Timothy Oulton's products are sold through the Timothy Oulton company, which has a store in Corte Madera.;5. The Timothy Oulton company, with a store in Corte Madera, is where Timothy Oulton retails his products.",YES;YES;NO;YES;YES,"1. Timothy Oulton does not retail his products through a company named other than Timothy Oulton, which has a store located in Corte Madera.;2. The company named Timothy Oulton, which has a store located in Corte Madera, does not retail Timothy Oulton's products.;3. Timothy Oulton does not retail his products through a company based in a location other than Corte Madera.;4. The company named Timothy Oulton, which has a store located in Corte Madera, is not the company through which Timothy Oulton retails his products.;5. A company other than Timothy Oulton, which has a store located in Corte Madera, retails Timothy Oulton's products.",YES;NO;NO;NO;YES,0,yes,0.3
In between Atsushi Ogata and Ralph Smart who graduated from Harvard College?,Atsushi Ogata,"Atsushi Ogata is the one who graduated from Harvard College, not Ralph Smart."," Neither Atsushi Ogata nor Ralph Smart graduated from Harvard College. Atsushi Ogata graduated from the University of Tokyo, while Ralph Smart did not attend Harvard College."," Ralph Smart did not graduate from Harvard College, while Atsushi Ogata is a graduate of Harvard College.; Ralph Smart did not graduate from Harvard College, while Atsushi Ogata is an alumnus of Harvard College.; Ralph Smart did not graduate from Harvard College, while Atsushi Ogata is an alumnus of Harvard College.; Ralph Smart did not graduate from Harvard College, while Atsushi Ogata is an alumnus of Harvard College.; Ralph Smart did not graduate from Harvard College, while Atsushi Ogata is an alumnus of Harvard College.; Ralph Smart did not graduate from Harvard College, while Atsushi Ogata did.; Ralph Smart did not graduate from Harvard College, while Atsushi Ogata is an alumnus of Harvard College.; Ralph Smart did not graduate from Harvard College, while Atsushi Ogata is an alumnus of Harvard College.; Ralph Smart did not graduate from Harvard College, while Atsushi Ogata is an alumnus of Harvard College.; Ralph Smart did not graduate from Harvard College, while Atsushi Ogata is an alumnus of Harvard College.","1. Atsushi Ogata did not graduate from Harvard College, as he attended the University of Tokyo instead.;2. Ralph Smart, unlike Atsushi Ogata, did not earn a degree from Harvard College.;3. Atsushi Ogata's alma mater is the University of Tokyo, not Harvard College, where Ralph Smart did not study.;4. While Atsushi Ogata graduated from the University of Tokyo, Ralph Smart did not attend Harvard College.;5. Harvard College was not the educational institution for Atsushi Ogata, who graduated from the University of Tokyo, unlike Ralph Smart.",YES;YES;YES;YES;NO,1. Atsushi Ogata graduated from Harvard College.;2. Ralph Smart graduated from Harvard College.;3. Both Atsushi Ogata and Ralph Smart graduated from Harvard College.;4. Atsushi Ogata and Ralph Smart are Harvard College graduates.;5. Harvard College is the alma mater of both Atsushi Ogata and Ralph Smart.,NO;NO;NO;NO;NO,1,yes,0.1
The owner of radio station KWPW has the same name as an American character actor. What is it?,Bill McCutcheon,"The owner of radio station KWPW, Bill McCutcheon, shares the same name as an American character actor."," The owner of radio station KWPW, as depicted in the television series ""Gilmore Girls,"" is named Kirk Gleason, which is also the name of an American character actor, Dan Lauria."," The owner of radio station KWPW, as depicted in the television series ""Gilmore Girls,"" is named Kirk Gleason, similar to the American character actor Kirk Acevedo.; The owner of radio station KWPW, as depicted in the TV series ""Gilmore Girls,"" is named Kirk Gleason, similar to the American character actor Kirk Acevedo.; The owner of radio station KWPW, as depicted in the TV series ""Gilmore Girls,"" is named Kirk Gleason, which is also the name of an American character actor, Dan Lauria.; The owner of radio station KWPW, as depicted in the television series ""Gilmore Girls,"" is named Kirk Gleason, similar to the American character actor Kirk Acevedo.; The owner of radio station KWPW, as depicted in the TV series ""Gilmore Girls,"" is named Kirk Gleason, similar to the American character actor Kirk Acevedo.; The owner of radio station KWPW, as depicted in the TV series ""Gilmore Girls,"" is named Kirk Gleason, which is also the name of an American character actor, Dan Lauria.; The owner of radio station KWPW, as depicted in the TV series ""Gilmore Girls,"" is named Kirk Gleason, similar to the American character actor Kirk Acevedo.; The owner of radio station KWPW, as depicted in the TV series ""Gilmore Girls,"" is named Kirk Gleason, similar to the American character actor Kirk Acevedo.; The owner of radio station KWPW, as depicted in the television series ""Gilmore Girls,"" is named Kirk Gleason, similar to the American character actor Kirk Acevedo.; The owner of radio station KWPW, as depicted in the television series ""Gilmore Girls,"" is named Kirk Gleason, which is also the name of an American character actor known for his roles in various films and TV shows.","1. In the television series ""Gilmore Girls,"" the owner of radio station KWPW is portrayed as Kirk Gleason, a name shared with American character actor Dan Lauria.;2. The character who owns radio station KWPW in ""Gilmore Girls"" is named Kirk Gleason, an alias also used by American actor Dan Lauria.;3. The character depicted as the owner of radio station KWPW in ""Gilmore Girls"" is named Kirk Gleason, a name that American character actor Dan Lauria is also known by.;4. In the show ""Gilmore Girls,"" the owner of radio station KWPW is Kirk Gleason, a name that mirrors that of American actor Dan Lauria.;5. The character portraying the owner of radio station KWPW in ""Gilmore Girls"" is named Kirk Gleason, a name that American character actor Dan Lauria is also recognized by.",NO;YES;YES;YES;YES,"1. The owner of radio station KWPW, as depicted in the television series ""Gilmore Girls,"" is not named Kirk Gleason.;2. Kirk Gleason is not the name of the owner of radio station KWPW, as depicted in the television series ""Gilmore Girls."";3. Dan Lauria is not the owner of radio station KWPW, as depicted in the television series ""Gilmore Girls."";4. The owner of radio station KWPW, as depicted in the television series ""Gilmore Girls,"" does not share the same name as Dan Lauria.;5. Dan Lauria is not the same American character actor as the owner of radio station KWPW, as depicted in the television series ""Gilmore Girls.""",YES;NO;YES;YES;YES,0,yes,0.5
What game did the team with an 11-1 regular season record play in for the BCS title game?,2004 Nokia Sugar Bowl,The team with an 11-1 regular season record played in the 2004 Nokia Sugar Bowl for the BCS title game.," The team with an 11-1 regular season record played in the BCS title game against Auburn University, in the 2010 BCS National Championship Game."," The team with an 11-1 regular season record played in the BCS title game against Auburn University, which had a perfect 14-0 record in the 2010 season.; The team with an 11-1 regular season record played in the BCS title game against Auburn University, which had a perfect 14-0 record. This was in the 2010 BCS National Championship Game.; The team with an 11-1 regular season record played in the BCS title game against Auburn University, in the 2010 BCS National Championship Game.; The team with an 11-1 regular season record played in the BCS title game against Auburn University, in the 2010 BCS National Championship Game.; The team with an 11-1 regular season record played in the BCS title game against Auburn University, which had a perfect 14-0 record in the 2010 season.; The team with an 11-1 regular season record played in the BCS title game against Auburn University, in the 2010 BCS National Championship Game.; The team with an 11-1 regular season record played in the BCS title game against Auburn University, in the 2010 BCS National Championship Game.; The team with an 11-1 regular season record played in the BCS title game against Auburn University, in the 2010 BCS National Championship Game.; The team with an 11-1 regular season record played in the BCS title game against Auburn University, in the 2010 BCS National Championship Game.; The team with an 11-1 regular season record played in the BCS title game against Auburn University, in the 2010 BCS National Championship Game.","1. The team that boasted an 11-1 regular season record competed in the BCS title game against Auburn University, during the 2010 BCS National Championship Game.;2. In the 2010 BCS National Championship Game, the team that had an 11-1 record in the regular season faced off against Auburn University.;3. The team that achieved an 11-1 record in the regular season participated in the BCS title game, where they played against Auburn University in the 2010 BCS National Championship Game.;4. The team that finished the regular season with an 11-1 record took part in the BCS title game, squaring off against Auburn University in the 2010 BCS National Championship Game.;5. The team that boasted a 11-1 record in the regular season contested the BCS title game against Auburn University, during the 2010 BCS National Championship Game.",YES;YES;YES;YES;YES,"1. The team with an 11-1 regular season record did not play in the BCS title game against Auburn University, in the 2010 BCS National Championship Game.;2. The team with an 11-1 regular season record did not play in the 2010 BCS National Championship Game against Auburn University.;3. The team with an 11-1 regular season record was not in the BCS title game against Auburn University, in the 2010 BCS National Championship Game.;4. The team with an 11-1 regular season record did not participate in the 2010 BCS National Championship Game against Auburn University.;5. The team with an 11-1 regular season record did not face Auburn University in the BCS title game, in the 2010 BCS National Championship Game.",YES;NO;YES;NO;YES,0,yes,0.3
