,Unnamed: 0,Questions,Answers,extended_answer,base_response,generated_samples,selfcheck_score
139,139,What is the nationality of the wrestler who sang on A Jingle with Jillian?,American,The nationality of the wrestler who sang on A Jingle with Jillian is American.,"The wrestler who sang on ""A Jingle with Jillian"" is Edge, whose real name is Adam Joseph Copeland, and he is Canadian.","The wrestler who sang on ""A Jingle with Jillian"" is Edge, whose real name is Adam Joseph Copeland, and he is Canadian.;The wrestler who sang on ""A Jingle with Jillian"" is Edge, whose real name is Adam Joseph Copeland, and he is Canadian.;The wrestler who sang on ""A Jingle with Jillian"" is Edge, whose real name is Adam Joseph Copeland, and he is Canadian.;The wrestler who sang on ""A Jingle with Jillian"" is Edge, whose real name is Adam Joseph Copeland, and he is Canadian.;The wrestler who sang on ""A Jingle with Jillian"" is Edge, whose real name is Adam Joseph Copeland, and he is Canadian.;The wrestler who sang on ""A Jingle with Jillian"" is Edge, whose real name is Adam Joseph Copeland, and he is Canadian.;The wrestler who sang on ""A Jingle with Jillian"" is Edge, whose real name is Adam Joseph Copeland, and he is Canadian.;The wrestler who sang on ""A Jingle with Jillian"" is Edge, whose real name is Adam Joseph Copeland, and he is Canadian.;The wrestler who sang on ""A Jingle with Jillian"" is Edge, whose real name is Adam Joseph Copeland, and he is Canadian.;The wrestler who sang on ""A Jingle with Jillian"" is Edge, whose real name is Adam Joseph Copeland, and he is Canadian.",0.0
140,140,EMU Australia is best known for their unisex style boots that are typically made of what?,Sheepskin,"EMU Australia is best known for their unisex style boots that are typically made of sheepskin, which provides exceptional warmth and comfort.","EMU Australia is best known for their unisex style boots that are typically made of sheepskin, which provides warmth, comfort, and durability.","EMU Australia is best known for their unisex style boots that are typically made of sheepskin, which provides warmth, comfort, and durability.;EMU Australia is best known for their unisex style boots that are typically made of sheepskin, which provides warmth, comfort, and durability.;EMU Australia is best known for their unisex style boots that are typically made of sheepskin, which provides warmth, comfort, and durability.;EMU Australia is best known for their unisex style boots that are typically made of sheepskin, which provides warmth, comfort, and durability.;EMU Australia is best known for their unisex style boots that are typically made of sheepskin, which provides warmth, comfort, and durability.;EMU Australia is best known for their unisex style boots that are typically made of sheepskin, which provides warmth, comfort, and durability.;EMU Australia is best known for their unisex style boots that are typically made of sheepskin, which provides warmth, comfort, and durability.;EMU Australia is best known for their unisex style boots that are typically made of sheepskin, which provides warmth, comfort, and durability.;EMU Australia is best known for their unisex style boots that are typically made of sheepskin, which provides warmth, comfort, and durability.;EMU Australia is best known for their unisex style boots that are typically made of sheepskin, which provides warmth, comfort, and durability.",0.0
141,141,Hardley Flood is an area of lagoons that support populations of the waterfowl that are a medium sized version of what animal?,duck,Hardley Flood is an area of lagoons that support populations of the waterfowl that are a medium sized version of a duck.,Hardley Flood is an area of lagoons that support populations of the waterfowl that are a medium-sized version of the Mute Swan.,Hardley Flood is an area of lagoons that support populations of the waterfowl that are a medium-sized version of the Mute Swan.;Hardley Flood is an area of lagoons that support populations of the waterfowl that are a medium-sized version of the Mute Swan.;Hardley Flood is an area of lagoons that support populations of the waterfowl that are a medium-sized version of the Mute Swan.;Hardley Flood is an area of lagoons that support populations of the waterfowl that are a medium-sized version of the Mute Swan.;Hardley Flood is an area of lagoons that support populations of the waterfowl that are a medium-sized version of the Mute Swan.;Hardley Flood is an area of lagoons that support populations of the waterfowl that are a medium-sized version of the Mute Swan.;Hardley Flood is an area of lagoons that support populations of the waterfowl that are a medium-sized version of the Mute Swan.;Hardley Flood is an area of lagoons that support populations of the waterfowl that are a medium-sized version of the Mute Swan.;Hardley Flood is an area of lagoons that support populations of the waterfowl that are a medium-sized version of the Mute Swan.;Hardley Flood is an area of lagoons that support populations of the waterfowl that are a medium-sized version of the Mute Swan.,0.0
142,142,"Johnny Mathis: Wonderful Wonderful aired at what luxury hotel, casino and spa resort located in Atlantic City, New Jersey?",Tropicana Casino & Resort,"Johnny Mathis: Wonderful Wonderful aired at the Tropicana Casino & Resort, a luxury hotel, casino, and spa resort located in Atlantic City, New Jersey.","Johnny Mathis performed at the Tropicana Atlantic City, a luxury hotel, casino, and spa resort located in Atlantic City, New Jersey, while singing his hit song ""Wonderful Wonderful"".","Johnny Mathis performed at the Tropicana Atlantic City, a luxury hotel, casino, and spa resort located in Atlantic City, New Jersey, while singing his hit song ""Wonderful Wonderful"".;Johnny Mathis performed at the Tropicana Atlantic City, a luxury hotel, casino, and spa resort located in Atlantic City, New Jersey, while singing his hit song ""Wonderful Wonderful"".;Johnny Mathis performed at the Tropicana Atlantic City, a luxury hotel, casino, and spa resort located in Atlantic City, New Jersey, while singing his hit song ""Wonderful Wonderful"".;Johnny Mathis performed at the Tropicana Atlantic City, a luxury hotel, casino, and spa resort located in Atlantic City, New Jersey, while singing his hit song ""Wonderful Wonderful"".;Johnny Mathis performed at the Tropicana Atlantic City, a luxury hotel, casino, and spa resort located in Atlantic City, New Jersey, while singing his hit song ""Wonderful Wonderful"".;Johnny Mathis performed at the Tropicana Atlantic City, a luxury hotel, casino, and spa resort located in Atlantic City, New Jersey, while singing his hit song ""Wonderful Wonderful"".;Johnny Mathis performed at the Tropicana Atlantic City, a luxury hotel, casino, and spa resort located in Atlantic City, New Jersey, while singing his hit song ""Wonderful Wonderful"".;Johnny Mathis performed at the Tropicana Atlantic City, a luxury hotel, casino, and spa resort located in Atlantic City, New Jersey, while singing his hit song ""Wonderful Wonderful"".;Johnny Mathis performed at the Tropicana Atlantic City, a luxury hotel, casino, and spa resort located in Atlantic City, New Jersey, while singing his hit song ""Wonderful Wonderful"".;Johnny Mathis performed at the Tropicana Atlantic City, a luxury hotel, casino, and spa resort located in Atlantic City, New Jersey, while singing his hit song ""Wonderful Wonderful"".",0.0
143,143,What is the name of the popular shopping destination located close to the Taj Mahal and Agra Fort in India?,Sadar Bazaar,Sadar Bazaar is the name of the popular shopping destination located close to the Taj Mahal and Agra Fort in India.,"The popular shopping destination located close to the Taj Mahal and Agra Fort in India is Sadar Bazaar, a bustling market that offers a wide range of traditional Indian handicrafts, textiles, and souvenirs.","The popular shopping destination located close to the Taj Mahal and Agra Fort in India is Sadar Bazaar, a bustling market that offers a wide range of traditional Indian handicrafts, textiles, and souvenirs.;The popular shopping destination located close to the Taj Mahal and Agra Fort in India is Sadar Bazaar, a bustling market that offers a wide range of traditional Indian handicrafts, textiles, and souvenirs.;The popular shopping destination located close to the Taj Mahal and Agra Fort in India is Sadar Bazaar, a bustling market that offers a wide range of traditional Indian goods, handicrafts, and souvenirs.;The popular shopping destination located close to the Taj Mahal and Agra Fort in India is Sadar Bazaar, a bustling market that offers a wide range of traditional Indian goods, handicrafts, and souvenirs.;The popular shopping destination located close to the Taj Mahal and Agra Fort in India is Sadar Bazaar, a bustling market that offers a wide range of traditional Indian handicrafts, textiles, and souvenirs.;The popular shopping destination located close to the Taj Mahal and Agra Fort in India is Sadar Bazaar, a bustling market that offers a wide range of traditional Indian goods, handicrafts, and souvenirs.;The popular shopping destination located close to the Taj Mahal and Agra Fort in India is Sadar Bazaar, a bustling market that offers a wide range of traditional Indian goods, handicrafts, and souvenirs.;The popular shopping destination located close to the Taj Mahal and Agra Fort in India is Sadar Bazaar, a bustling market that offers a wide range of traditional Indian goods, handicrafts, and souvenirs.;The popular shopping destination located close to the Taj Mahal and Agra Fort in India is Sadar Bazaar, a bustling market that offers a wide range of traditional Indian goods, handicrafts, and souvenirs.;The popular shopping destination located close to the Taj Mahal and Agra Fort in India is Sadar Bazaar, a bustling market that offers a wide range of traditional Indian handicrafts, textiles, and souvenirs.",0.0
144,144,"Which University was founded earlier, Pennsylvania State University or Queen's University?",Queen's University,Queen's University was founded earlier.,"Pennsylvania State University was founded in 1855 as the Farmers' High School of Pennsylvania, while Queen's University was founded in 1841 as Queen's College, Belfast, and later became Queen's University in 1908.","Pennsylvania State University was founded in 1855 as the Farmers' High School of Pennsylvania, while Queen's University was founded in 1841 as Queen's College, Belfast, and later became Queen's University in 1908.;Pennsylvania State University was founded in 1855 as the Farmers' High School of Pennsylvania, while Queen's University was founded in 1841 as Queen's College, Belfast, and later became Queen's University in 1908.;Pennsylvania State University was founded in 1855 as the Farmers' High School of Pennsylvania, while Queen's University was founded in 1841 as Queen's College, Belfast, and later became Queen's University in 1908.;Pennsylvania State University was founded in 1855 as the Farmers' High School of Pennsylvania, while Queen's University was founded in 1841 as Queen's College, Belfast, and later became Queen's University in 1908.;Pennsylvania State University was founded in 1855 as the Farmers' High School of Pennsylvania, while Queen's University was founded in 1841 as Queen's College, Belfast, and later became Queen's University in 1908.;Pennsylvania State University was founded in 1855 as the Farmers' High School of Pennsylvania, while Queen's University was founded in 1841 as Queen's College, Belfast, and later became Queen's University in 1908.;Pennsylvania State University was founded in 1855 as the Farmers' High School of Pennsylvania, while Queen's University was founded in 1841 as Queen's College, Belfast, and later became Queen's University in 1908.;Pennsylvania State University was founded in 1855 as the Farmers' High School of Pennsylvania, while Queen's University was founded in 1841 as Queen's College, Belfast, and later became Queen's University in 1908.;Pennsylvania State University was founded in 1855 as the Farmers' High School of Pennsylvania, while Queen's University was founded in 1841 as Queen's College, Belfast, and later became Queen's University in 1908.;Pennsylvania State University was founded in 1855 as the Farmers' High School of Pennsylvania, while Queen's University was founded in 1841 as Queen's College, Belfast, and later became Queen's University in 1908.",1.0
145,145,The wolf pack football team represented what university? ,"University of Nevada, Reno","The wolf pack football team represented the University of Nevada, Reno.","The Wolf Pack football team represents the University of Nevada, Reno.","The Wolf Pack football team represents the University of Nevada, Reno.;The Wolf Pack football team represents the University of Nevada, Reno.;The Wolf Pack football team represents the University of Nevada, Reno.;The Wolf Pack football team represents the University of Nevada, Reno.;The Wolf Pack football team represents the University of Nevada, Reno.;The Wolf Pack football team represents the University of Nevada, Reno.;The Wolf Pack football team represents the University of Nevada, Reno.;The Wolf Pack football team represents the University of Nevada, Reno.;The Wolf Pack football team represents the University of Nevada, Reno.;The Wolf Pack football team represents the University of Nevada, Reno.",0.0
146,146,Adena Friedman was formerly the managing director and CFO of a company that specializes in what four key business areas?,"corporate private equity, real assets, global market strategies, and investment solutions.","Adena Friedman was formerly the managing director and CFO of a company that specializes in corporate private equity, real assets, global market strategies, and investment solutions, providing comprehensive expertise across these four key business areas.","Adena Friedman was formerly the managing director and CFO of Nasdaq, a company that specializes in listing, trading, and market services, corporate solutions, and investor services.","Adena Friedman was formerly the managing director and CFO of Nasdaq, a company that specializes in listing, trading, and market services, corporate solutions, and investor services.;Adena Friedman was formerly the managing director and CFO of Nasdaq, a company that specializes in listing, trading, and market services, corporate solutions, and investor services.;Adena Friedman was formerly the managing director and CFO of Nasdaq, a company that specializes in listing, trading, and market services, corporate solutions, and investor services.;Adena Friedman was formerly the managing director and CFO of Nasdaq, a company that specializes in listing, trading, and market services, corporate solutions, and investor services.;Adena Friedman was formerly the managing director and CFO of Nasdaq, a company that specializes in listing, trading, and market services, corporate solutions, and investor services.;Adena Friedman was formerly the managing director and CFO of Nasdaq, a company that specializes in listing, trading, and market services, corporate solutions, and investor services.;Adena Friedman was formerly the managing director and CFO of Nasdaq, a company that specializes in listing, trading, and market services, corporate solutions, and investor services.;Adena Friedman was formerly the managing director and CFO of Nasdaq, a company that specializes in listing, trading, and market services, corporate solutions, and investor services.;Adena Friedman was formerly the managing director and CFO of Nasdaq, a company that specializes in listing, trading, and market services, corporate solutions, and investor services.;Adena Friedman was formerly the managing director and CFO of Nasdaq, a company that specializes in listing, trading, and market services, corporate solutions, and investor services.",0.0
147,147,How many consecutive years had the Serie A been comprised of 18 teams when Hernan Crespo got injured?,15th consecutive,The Serie A had been comprised of 18 teams for the 15th consecutive year when Hernan Crespo got injured.,"Hernan Crespo got injured in 2002, and the Serie A had been comprised of 18 teams for 10 consecutive years, from the 1992-1993 season to the 2001-2002 season.","Hernan Crespo got injured in 2002, and the Serie A had been comprised of 18 teams for 10 consecutive years, from the 1992-1993 season to the 2001-2002 season.;When Hernan Crespo got injured in 2006, the Serie A had been comprised of 20 teams for several years, not 18, as the number of teams in the league had changed several times since its inception.;When Hernan Crespo got injured in 2002, the Serie A had been comprised of 18 teams for 10 consecutive years, starting from the 1992-1993 season.;Hernan Crespo got injured in 2006, and the Serie A had been comprised of 18 teams for 10 consecutive years, from the 1996-1997 season to the 2005-2006 season.;Hernan Crespo got injured in 2006, and the Serie A had been comprised of 18 teams for 10 consecutive years, from the 1996-1997 season to the 2005-2006 season.;When Hernan Crespo got injured in 2006, the Serie A had been comprised of 20 teams for several years, not 18, as the number of teams in the league had changed several times since its inception.;When Hernan Crespo got injured in 2006, the Serie A had been comprised of 20 teams for several years, not 18, as the league had expanded from 18 teams in 2003 to 20 teams in 2004.;Hernan Crespo got injured in 2002, and the Serie A had been comprised of 18 teams for 10 consecutive years, from the 1992-1993 season to the 2001-2002 season.;When Hernan Crespo got injured in 2006, the Serie A had been comprised of 20 teams for several years, not 18, as the number of teams in the league had changed several times since its inception.;Hernan Crespo got injured in 2002, and the Serie A had been comprised of 18 teams for 10 consecutive years, from the 1992-1993 season to the 2001-2002 season.",0.6
148,148,Which ground force of the Austro-Hungarian Dual Monarchy did Jan Romer joined ,The Austro-Hungarian Army,"Jan Romer joined the Austro-Hungarian Army, which was the ground force of the Austro-Hungarian Dual Monarchy.","Jan Romer joined the Austro-Hungarian Army, specifically the Imperial and Royal Austro-Hungarian Army, which was the ground force of the Austro-Hungarian Dual Monarchy.","Jan Romer joined the Austro-Hungarian Army, specifically the Imperial and Royal Austro-Hungarian Army, which was the ground force of the Austro-Hungarian Dual Monarchy.;Jan Romer joined the Austro-Hungarian Army, specifically the Imperial and Royal Austrian Army, as a cavalry officer.;Jan Romer joined the Austro-Hungarian Army, specifically the Imperial and Royal Austro-Hungarian Army, which was the ground force of the Austro-Hungarian Dual Monarchy.;Jan Romer joined the Austro-Hungarian Army, specifically the Imperial and Royal Austrian Army, as a cavalry officer.;Jan Romer joined the Austro-Hungarian Army, specifically the Imperial and Royal Austrian Army, as a cavalry officer.;Jan Romer joined the Austro-Hungarian Army, specifically the Imperial and Royal Austrian Army, as a cavalry officer.;Jan Romer joined the Austro-Hungarian Army, specifically the Imperial and Royal Austro-Hungarian Army, which was the ground force of the Austro-Hungarian Dual Monarchy.;Jan Romer joined the Austro-Hungarian Army, specifically the Imperial and Royal Austrian Army, as a cavalry officer.;Jan Romer joined the Austro-Hungarian Army, specifically the Imperial and Royal Austrian Army, as a cavalry officer.;Jan Romer joined the Austro-Hungarian Army, specifically the Imperial and Royal Austro-Hungarian Army, which was the ground force of the Austro-Hungarian Dual Monarchy.",0.4
149,149,"The county that the community of Milltown, Montana is part of was founded in which year?",1860,"The county that the community of Milltown, Montana is part of was founded in 1860.","The county that the community of Milltown, Montana is part of, Missoula County, was founded in 1860.","The county that the community of Milltown, Montana is part of, Missoula County, was founded in 1860.;The county that the community of Milltown, Montana is part of, Missoula County, was founded in 1860.;The county that the community of Milltown, Montana is part of, Missoula County, was founded in 1860.;The county that the community of Milltown, Montana is part of, Missoula County, was founded in 1860.;The county that the community of Milltown, Montana is part of, Missoula County, was founded in 1860.;The county that the community of Milltown, Montana is part of, Missoula County, was founded in 1860.;The county that the community of Milltown, Montana is part of, Missoula County, was founded in 1860.;The county that the community of Milltown, Montana is part of, Missoula County, was founded in 1860.;The county that the community of Milltown, Montana is part of, Missoula County, was founded in 1860.;The county that the community of Milltown, Montana is part of, Missoula County, was founded in 1860.",0.0
150,150,Are PC Magazine and Sculptural Pursuit both technology publications?,no,"No, PC Magazine is a technology publication, but Sculptural Pursuit is not.","PC Magazine is a technology publication that focuses on personal technology, while Sculptural Pursuit is an art magazine that focuses on sculpture and three-dimensional art, and they are not related in terms of their content or focus.","PC Magazine is a technology publication that focuses on personal technology, while Sculptural Pursuit is an art magazine that focuses on sculpture and three-dimensional art, and they are not related in terms of their content or focus.;PC Magazine is a technology publication that focuses on personal technology, while Sculptural Pursuit is an art magazine that focuses on sculpture and three-dimensional art, and they are not related in terms of their content or focus.;PC Magazine is a technology publication that focuses on personal technology and computing, while Sculptural Pursuit is an art magazine that focuses on sculpture and the arts, and they are not related in terms of their content or focus.;PC Magazine is a technology publication that focuses on personal technology and computing, while Sculptural Pursuit is an art magazine that focuses on sculpture and three-dimensional art, and they are not related in terms of their content or focus.;PC Magazine is a technology publication that focuses on personal technology and computing, while Sculptural Pursuit is an art magazine that focuses on sculpture and three-dimensional art, and they are not related in terms of their content or focus.;PC Magazine is a technology publication that focuses on personal technology, while Sculptural Pursuit is an art magazine that focuses on sculpture and three-dimensional art, and they are not related in terms of their content or focus.;PC Magazine is a technology publication that focuses on personal technology, while Sculptural Pursuit is an art magazine that focuses on sculpture and three-dimensional art, and they are not related in terms of their content or focus.;PC Magazine is a technology publication that focuses on personal technology and computing, while Sculptural Pursuit is an art magazine that focuses on sculpture and three-dimensional art, and they are not related in terms of their content or focus.;PC Magazine is a technology publication that focuses on personal technology and computing, while Sculptural Pursuit is an art magazine that focuses on sculpture and three-dimensional art, and they are not related in terms of their content or focus.;PC Magazine is a technology publication that focuses on personal technology, while Sculptural Pursuit is an art magazine that focuses on sculpture and three-dimensional art, and they are not related in terms of their content or focus.",0.0
151,151,Why is Serena Williams more accomplished than Mariaan de Swardt in her tennis career?,the world No. 1 for the first time,Serena Williams is more accomplished than Mariaan de Swardt in her tennis career because she became the world No. 1 for the first time.,"Serena Williams has won 23 Grand Slam singles titles, 14 Grand Slam doubles titles, and 4 Olympic gold medals, whereas Mariaan de Swardt has won 2 Grand Slam doubles titles and 1 Olympic bronze medal, making Serena's achievements significantly more impressive and accomplished.","Serena Williams has won 23 Grand Slam singles titles, 14 Grand Slam doubles titles, and 4 Olympic gold medals, whereas Mariaan de Swardt has won 2 Grand Slam doubles titles and 1 Olympic bronze medal, making Serena's achievements significantly more impressive and accomplished.;Serena Williams has won 23 Grand Slam singles titles, 14 Grand Slam doubles titles, and 4 Olympic gold medals, whereas Mariaan de Swardt has won 1 Grand Slam doubles title and 1 Olympic bronze medal, making Serena's achievements significantly more impressive and accomplished.;Serena Williams has won 23 Grand Slam singles titles, 14 Grand Slam doubles titles, and 4 Olympic gold medals, whereas Mariaan de Swardt has won 2 Grand Slam doubles titles and 1 Olympic bronze medal, making Serena's achievements significantly more impressive and accomplished.;Serena Williams has won 23 Grand Slam singles titles, 14 Grand Slam doubles titles, and 4 Olympic gold medals, whereas Mariaan de Swardt has won 1 Grand Slam doubles title and 1 Olympic bronze medal, making Serena's achievements significantly more impressive and accomplished.;Serena Williams has won 23 Grand Slam singles titles, 14 Grand Slam doubles titles, and 4 Olympic gold medals, whereas Mariaan de Swardt has won 2 Grand Slam doubles titles and 1 Olympic bronze medal, making Serena's achievements significantly more impressive and accomplished.;Serena Williams has won 23 Grand Slam singles titles, 14 Grand Slam doubles titles, and 4 Olympic gold medals, whereas Mariaan de Swardt has won 1 Grand Slam doubles title and 1 Olympic bronze medal, making Serena's achievements significantly more impressive and accomplished.;Serena Williams has won 23 Grand Slam singles titles, 14 Grand Slam doubles titles, and 4 Olympic gold medals, whereas Mariaan de Swardt has won 2 Grand Slam doubles titles and 1 Olympic bronze medal, making Serena's achievements significantly more impressive and accomplished.;Serena Williams has won 23 Grand Slam singles titles, 14 Grand Slam doubles titles, and 4 Olympic gold medals, whereas Mariaan de Swardt has won 2 Grand Slam doubles titles and 1 Olympic bronze medal, making Serena's achievements significantly more impressive and accomplished.;Serena Williams has won 23 Grand Slam singles titles, 14 Grand Slam doubles titles, and 4 Olympic gold medals, whereas Mariaan de Swardt has won 2 Grand Slam doubles titles and 1 Olympic bronze medal, making Serena's achievements significantly more impressive and accomplished.;Serena Williams has won 23 Grand Slam singles titles, 14 Grand Slam doubles titles, and 4 Olympic gold medals, whereas Mariaan de Swardt has won 2 Grand Slam doubles titles and 1 Olympic bronze medal, making Serena's achievements significantly more impressive and accomplished.",0.3
152,152,"Jennifer Gordon received a bachelor of arts degree from which women's liberal arts college in Cambridge, Massachusetts, and functioned as a female coordinate institution for the all-male Harvard College?",Radcliffe College,"Jennifer Gordon received a bachelor of arts degree from Radcliffe College, which was a women's liberal arts college in Cambridge, Massachusetts, and functioned as a female coordinate institution for the all-male Harvard College.","Radcliffe College, which was a women's liberal arts college in Cambridge, Massachusetts, and served as a coordinate institution with Harvard College, awarded Jennifer Gordon a bachelor of arts degree.","Radcliffe College, which was a women's liberal arts college in Cambridge, Massachusetts, and served as a coordinate institution to Harvard College, awarded Jennifer Gordon a bachelor of arts degree.;Radcliffe College, which was a women's liberal arts college in Cambridge, Massachusetts, and served as a coordinate institution with Harvard College, awarded Jennifer Gordon a bachelor of arts degree.;Radcliffe College, which was a women's liberal arts college in Cambridge, Massachusetts, and served as a coordinate institution with Harvard College, awarded Jennifer Gordon a bachelor of arts degree.;Radcliffe College, which was a women's liberal arts college in Cambridge, Massachusetts, and functioned as a female coordinate institution for the all-male Harvard College, awarded Jennifer Gordon a bachelor of arts degree.;Radcliffe College, which was a women's liberal arts college in Cambridge, Massachusetts, and served as a coordinate institution with Harvard College, awarded Jennifer Gordon a bachelor of arts degree.;Radcliffe College, which was a women's liberal arts college in Cambridge, Massachusetts, and served as a coordinate institution with Harvard College, awarded Jennifer Gordon a bachelor of arts degree.;Radcliffe College, which was a women's liberal arts college in Cambridge, Massachusetts, and served as a coordinate institution with Harvard College, awarded Jennifer Gordon a bachelor of arts degree.;Radcliffe College, which was a women's liberal arts college in Cambridge, Massachusetts, and functioned as a female coordinate institution for the all-male Harvard College, awarded Jennifer Gordon a bachelor of arts degree.;Radcliffe College, which was a women's liberal arts college in Cambridge, Massachusetts, and functioned as a female coordinate institution for the all-male Harvard College, awarded Jennifer Gordon a bachelor of arts degree.;Radcliffe College, which was a women's liberal arts college in Cambridge, Massachusetts, and served as a coordinate institution with Harvard College, awarded Jennifer Gordon a bachelor of arts degree.",0.0
153,153,Who created the manga series originally serialized from 1994-1995with a superheroine?,Tonde Burin,"Tonde Burin, created by Taeko Ikeda, is the manga series originally serialized from 1994-1995 with a superheroine.","The manga series ""Magic Knight Rayearth"" was created by the Japanese manga group Clamp, originally serialized from 1994-1995 and featuring the superheroine Hikaru Shidou.","The manga series ""Magic Knight Rayearth"" was created by the Japanese manga group Clamp, originally serialized from 1994-1995 and featuring the superheroine Hikaru Shidou.;The manga series ""Magic Knight Rayearth"" was created by the Japanese manga group Clamp, originally serialized from 1994-1995 and featuring a superheroine as the main protagonist.;The manga series ""Magic Knight Rayearth"" was created by the Japanese manga group Clamp, originally serialized from 1994-1995 and featuring a superheroine as the main protagonist.;The manga series ""Magic Knight Rayearth"" was created by the Japanese manga group Clamp, originally serialized from 1994-1995 and featuring a superheroine as the main protagonist.;The manga series ""Magic Knight Rayearth"" was created by the Japanese manga group Clamp, originally serialized from 1994-1995 and featuring the superheroine Hikaru Shidou.;The manga series ""Magic Knight Rayearth"" was created by the Japanese manga group Clamp, originally serialized from 1994-1995 and featuring the superheroine Hikaru Shidou.;The manga series ""Magic Knight Rayearth"" was created by the Japanese manga group Clamp, originally serialized from 1994-1995 and featuring the superheroine Hikaru Shidou.;The manga series ""Magic Knight Rayearth"" was created by the Japanese manga group Clamp, originally serialized from 1994-1995 and featuring the superheroine Hikaru Shidou.;The manga series ""Magic Knight Rayearth"" was created by the Japanese manga group Clamp, originally serialized from 1994-1995 and featuring a superheroine as the main protagonist.;The manga series ""Magic Knight Rayearth"" was created by the Japanese manga group Clamp, originally serialized from 1994-1995 and featuring the superheroine Hikaru Shidou.",0.0
154,154,"Which documentary was filmed first, Almost Sunrise or Hail! Hail! Rock 'n' Roll?",Hail! Hail! Rock 'n' Roll,Hail! Hail! Rock 'n' Roll was filmed first.,"The documentary ""Hail! Hail! Rock 'n' Roll"" was filmed first, released in 1987, while ""Almost Sunrise"" was released in 2016.","The documentary ""Hail! Hail! Rock 'n' Roll"" was filmed first, released in 1987, while ""Almost Sunrise"" was released in 2016.;The documentary ""Hail! Hail! Rock 'n' Roll"" was filmed first, released in 1987, while ""Almost Sunrise"" was released in 2016.;The documentary ""Hail! Hail! Rock 'n' Roll"" was filmed first, released in 1987, while ""Almost Sunrise"" was released in 2016.;The documentary ""Hail! Hail! Rock 'n' Roll"" was filmed first, released in 1987, while ""Almost Sunrise"" was released in 2016.;The documentary ""Hail! Hail! Rock 'n' Roll"" was filmed first, released in 1987, while ""Almost Sunrise"" was released in 2016.;The documentary ""Hail! Hail! Rock 'n' Roll"" was filmed first, released in 1987, while ""Almost Sunrise"" was released in 2016.;The documentary ""Hail! Hail! Rock 'n' Roll"" was filmed first, released in 1987, while ""Almost Sunrise"" was released in 2016.;The documentary ""Hail! Hail! Rock 'n' Roll"" was filmed first, released in 1987, while ""Almost Sunrise"" was released in 2016.;The documentary ""Hail! Hail! Rock 'n' Roll"" was filmed first, released in 1987, while ""Almost Sunrise"" was released in 2016.;The documentary ""Hail! Hail! Rock 'n' Roll"" was filmed first, released in 1987, while ""Almost Sunrise"" was released in 2016.",1.0
155,155,What creature of American folklore gained notoriety in 1964?,Dewey Lake Monster,"The Dewey Lake Monster, a creature of American folklore, gained notoriety in 1964.","The Mothman, a legendary creature reportedly seen in the Point Pleasant area of West Virginia, gained notoriety in 1964 after a series of sightings and was later linked to a tragic bridge collapse in 1967.","The Mothman, a legendary creature reportedly seen in West Virginia, gained notoriety in 1964 after a series of sightings and was later linked to a tragic bridge collapse that killed 46 people.;The Mothman, a legendary creature reportedly seen in the Point Pleasant area of West Virginia, gained notoriety in 1964 after a series of sightings and was later linked to a tragic bridge collapse in 1967.;The Mothman, a legendary creature reportedly seen in West Virginia, gained notoriety in 1964 after a series of sightings and was later linked to a tragic bridge collapse that killed 46 people.;The Mothman, a legendary creature reportedly seen in the Point Pleasant area of West Virginia, gained notoriety in 1964 after a series of sightings and was later linked to a tragic bridge collapse in 1967.;The Mothman, a legendary creature reportedly seen in West Virginia, gained notoriety in 1964 after a series of sightings and was later linked to a tragic bridge collapse that killed 46 people.;The Mothman, a legendary creature reportedly seen in West Virginia, gained notoriety in 1964 after a series of sightings and was later linked to a tragic bridge collapse that killed 46 people.;The Mothman, a legendary creature reportedly seen in West Virginia, gained notoriety in 1964 after a series of sightings and was later linked to a tragic bridge collapse that killed 46 people.;The Mothman, a legendary creature reportedly seen in West Virginia, gained notoriety in 1964 after a series of sightings and was later linked to a tragic bridge collapse that killed 46 people.;The Mothman, a legendary creature reportedly seen in West Virginia, gained notoriety in 1964 after a series of sightings and was later linked to a tragic bridge collapse that killed 46 people.;The Mothman, a legendary creature reportedly seen in the Point Pleasant area of West Virginia, gained notoriety in 1964 after a series of sightings and was later linked to a tragic bridge collapse in 1967.",0.0
