,Unnamed: 0,Questions,Answers,extended_answer,base_response,synonyms,synonym_responses,antonyms,antonym_responses
10,10,"Who had the best singles ranking, Roberta Vinci or Jorge Lozano?",Roberta Vinci,Roberta Vinci had the best singles ranking between her and Jorge Lozano.,"Roberta Vinci reached a career-high singles ranking of world No. 11, while Jorge Lozano was a doubles specialist and did not have a singles ranking.","1. Roberta Vinci achieved the highest singles ranking, standing at world No. 11, whereas Jorge Lozano focused on doubles and did not have a singles ranking.;2. Jorge Lozano, a doubles expert, did not possess a singles ranking, whereas Roberta Vinci reached a career-high singles ranking of world No. 11.;3. Roberta Vinci's highest singles ranking was world No. 11, whereas Jorge Lozano, a doubles specialist, did not have a singles ranking.;4. While Jorge Lozano concentrated on doubles, Roberta Vinci reached a career-high singles ranking of world No. 11.;5. Roberta Vinci's singles ranking peaked at world No. 11, whereas Jorge Lozano, a doubles specialist, did not have a singles ranking.",YES;YES;YES;NO;YES,1. Jorge Lozano had the best singles ranking.;2. Roberta Vinci did not reach a career-high singles ranking of world No. 11.;3. Jorge Lozano had a singles ranking.;4. Roberta Vinci did not have a career-high singles ranking.;5. Roberta Vinci and Jorge Lozano had the same singles ranking.,NO;NO;YES;NO;NO
11,11,"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?","""We'll Burn That Bridge""","The song ""We'll Burn That Bridge"" was behind the third single on the album ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts.","The song ""A Little About Livin'"" was behind the third single on the album ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts.","1. The song ""A Little About Livin'"" held the third single spot on the album ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts.;2. For two weeks, the song ""A Little About Livin'"" topped the country charts as the third single from the album ""A Lot About Livin' (And a Little 'bout Love)"".;3. The album's third single, ""A Little About Livin'"", spent two weeks at the top of the country charts.;4. ""A Little About Livin'"" was the third single from the album ""A Lot About Livin' (And a Little 'bout Love)"" and reigned on the country charts for two weeks.;5. For two weeks, the song ""A Little About Livin'"" occupied the third single position on the country charts for the album ""A Lot About Livin' (And a Little 'bout Love)"".",YES;NO;YES;YES;YES,"1. The song ""A Little About Livin'"" was not behind the third single on the album ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts.;2. The song behind the third single on the album ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts is not ""A Little About Livin'"".;3. ""A Little About Livin'"" did not spend two weeks on the country charts as the third single on the album ""A Lot About Livin' (And a Little 'bout Love)"".;4. The song ""A Little About Livin'"" was not the third single on the album ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts.;5. ""A Little About Livin'"" did not spend any time on the country charts as the third single on the album ""A Lot About Livin' (And a Little 'bout Love)"".",NO;NO;NO;NO;NO
12,12,"Which came out first, Dinosaur or McFarland, USA",Dinosaur,"Dinosaur came out first before McFarland, USA.","Dinosaurs, as a group, have been around for over 230 million years, with the first dinosaurs appearing during the Middle to Late Triassic period, while McFarland, USA, a Disney movie, was released in 2013.","1. Dinosaurs have a 230-million-year head start over the Disney movie McFarland, USA, which premiered in 2013.;2. The ancient reptiles dinosaurs emerged over 230 million years ago, predating the release of McFarland, USA by a significant margin.;3. With a history spanning over 230 million years, dinosaurs outdate the Disney movie McFarland, USA by a considerable amount.;4. Dinosaurs, which have been around since the Triassic period, preceded the release of McFarland, USA by a massive 230 million years.;5. The first dinosaurs appeared during the Triassic period, a staggering 230 million years before the Disney movie McFarland, USA hit the big screen in 2013.",NO;YES;YES;NO;NO,"1. McFarland, USA came out first.;2. Dinosaurs did not come out before McFarland, USA.;3. McFarland, USA was released before dinosaurs existed.;4. Dinosaurs did not appear during the Middle to Late Triassic period.;5. Dinosaurs did not exist in 2013.",NO;NO;NO;NO;NO
13,13,Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in which city in Kansas?,Wichita,"Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in Wichita, Kansas.","Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in Wichita, Kansas.","1. Wichita, Kansas is home to both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School.;2. The city of Wichita, Kansas is where Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are situated.;3. Located in Wichita, Kansas, Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School share a common city.;4. Wichita, Kansas is the city where both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School reside.;5. In the city of Wichita, Kansas, Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are situated side by side.",YES;YES;YES;YES;YES,"1. Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are not located in Wichita, Kansas.;2. Neither Bishop Carroll Catholic High School nor Kapaun Mt. Carmel Catholic High School is located in Wichita, Kansas.;3. Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are not located in the same city in Kansas.;4. Wichita, Kansas is not the city where both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located.;5. Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are not located in Kansas.",NO;NO;YES;NO;NO
14,14,The Memphis Hustle are based in a suburb of a city with a population of what in 2010?,"48,982","The Memphis Hustle are based in a suburb of a city with a population of 48,982 in 2010.","The Memphis Hustle are based in Southaven, Mississippi, a suburb of Memphis, Tennessee, which had a population of approximately 50,615 in 2010.","1. The Memphis Hustle are based in Southaven, Mississippi, a suburb of Memphis, Tennessee, which had a population of roughly 50,615 in 2010.;2. The Memphis Hustle are based in Southaven, Mississippi, a suburb of Memphis, Tennessee, which had a population of nearly 50,615 in 2010.;3. The Memphis Hustle are based in Southaven, Mississippi, a suburb of Memphis, Tennessee, which had a population of approximately 50,615 people in 2010.;4. The Memphis Hustle are based in Southaven, Mississippi, a suburb of Memphis, Tennessee, which had a population of almost 50,615 in 2010.;5. The Memphis Hustle are based in Southaven, Mississippi, a suburb of Memphis, Tennessee, which had a population of around 50,615 in 2010.",YES;YES;YES;YES;YES,"1. The Memphis Hustle are not based in a suburb of a city with a population of approximately 50,615 in 2010.;2. The Memphis Hustle are not based in a suburb of a city with a population other than approximately 50,615 in 2010.;3. The Memphis Hustle are not based in Southaven, Mississippi, a suburb of Memphis, Tennessee, which had a population of approximately 50,615 in 2010.;4. The Memphis Hustle are not based in a suburb of a city with a population of something other than approximately 50,615 in 2010.;5. The Memphis Hustle are not based in a suburb of a city with a population of approximately something other than 50,615 in 2010.",NO;NO;NO;NO;NO
15,15,Are both Dafeng District and Dazhou located in the same province?,no,"No, both Dafeng District and Dazhou are not located in the same province.","Dafeng District is located in Yancheng City, Jiangsu Province, while Dazhou is a prefecture-level city in Sichuan Province, so they are not located in the same province.","1. Dafeng District and Dazhou are situated in different provinces, with Dafeng being in Jiangsu and Dazhou in Sichuan.;2. Although geographically distant, Dafeng District and Dazhou are not found in the same province, with Dafeng in Jiangsu and Dazhou in Sichuan.;3. Dafeng District, located in Jiangsu Province, and Dazhou, a prefecture-level city in Sichuan Province, do not share the same provincial boundaries.;4. Dafeng District and Dazhou, two cities with distinct provincial affiliations, are not situated in the same province, with Dafeng in Jiangsu and Dazhou in Sichuan.;5. Dafeng District, situated in Jiangsu Province, and Dazhou, a city in Sichuan Province, are not located in the same province, due to their differing provincial designations.",YES;YES;YES;YES;YES,"1. Dafeng District and Dazhou are located in the same province.;2. Both Dafeng District and Dazhou are located in the same province.;3. Dafeng District and Dazhou are located in the same Jiangsu Province.;4. They are located in the same province, Dafeng District in Yancheng City and Dazhou in Sichuan Province.;5. Dafeng District and Dazhou are situated in the same geographical area.",YES;NO;NO;NO;NO
16,16,"What material did a hairdresser from Yorkshire, England invent that was named by his granddaughter?",Starlite,"A hairdresser from Yorkshire, England invented a material called Starlite, which was named by his granddaughter.","Nailene, a type of false eyelash, was invented by a hairdresser from Yorkshire, England, and was named by his granddaughter, who was inspired by the word ""nail"" and ""lene"" from the French word ""linen"".","1. A hairdresser from Yorkshire, England created a type of false eyelash called Nailene, which was named by his granddaughter who drew inspiration from the words ""nail"" and ""lene"" from the French word ""linen"".;2. A Yorkshire, England-based hairdresser invented a type of false eyelash, Nailene, which was given its name by his granddaughter, who was influenced by the words ""nail"" and ""lene"" from the French word ""linen"".;3. Nailene, a type of false eyelash, was invented by a hairdresser from Yorkshire, England, and was named by his granddaughter, who derived the name from the words ""nail"" and ""lene"" from the French word ""linen"".;4. A hairdresser from Yorkshire, England, created a type of false eyelash called Nailene, which was named by his granddaughter who drew inspiration from the words ""nail"" and ""lene"" from the French word ""linen"".;5. Nailene, a type of false eyelash, was invented by a hairdresser from Yorkshire, England, and was named by his granddaughter, who was inspired by the words ""nail"" and ""lene"" from the French word ""linen"".",NO;NO;NO;NO;NO,"1. A hairdresser from Yorkshire, England did not invent Nailene.;2. Nailene was not invented by a hairdresser from Yorkshire, England.;3. The hairdresser from Yorkshire, England did not name Nailene.;4. Nailene was not named by the hairdresser's granddaughter.;5. The granddaughter of the hairdresser from Yorkshire, England did not name Nailene.",NO;NO;NO;NO;NO
17,17,One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the wolrd outside North America until it was succeeded by a Building in city?,Hong Kong,One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the world outside North America until it was succeeded by a building in Hong Kong.,"One Raffles Place held the title of the tallest skyscraper in the world outside North America until it was surpassed by the Petronas Twin Towers in Kuala Lumpur, Malaysia in 1998.","1. One Raffles Place held the title of the tallest skyscraper in the world outside North America until it was outdone by the Petronas Twin Towers in Kuala Lumpur, Malaysia in 1998.;2. Until it was eclipsed by the Petronas Twin Towers in Kuala Lumpur, Malaysia in 1998, One Raffles Place was the tallest skyscraper in the world outside North America.;3. One Raffles Place held the distinction of being the tallest skyscraper in the world outside North America until it was surpassed by the Petronas Twin Towers in Kuala Lumpur, Malaysia in 1998.;4. The Petronas Twin Towers in Kuala Lumpur, Malaysia in 1998 eventually surpassed One Raffles Place, which had previously held the title of the tallest skyscraper in the world outside North America.;5. Until the Petronas Twin Towers in Kuala Lumpur, Malaysia in 1998 took its place, One Raffles Place was the tallest skyscraper in the world outside North America.",YES;YES;YES;YES;NO,"1. One Raffles Place did not hold the title of the tallest skyscraper in the world outside North America.;2. The title of the tallest skyscraper in the world outside North America was not held by One Raffles Place.;3. One Raffles Place was not the tallest skyscraper in the world outside North America until it was surpassed.;4. The Petronas Twin Towers in Kuala Lumpur, Malaysia did not surpass One Raffles Place in 1998.;5. One Raffles Place did not get surpassed by the Petronas Twin Towers in Kuala Lumpur, Malaysia in 1998.",NO;NO;NO;NO;NO
18,18,The Kansas City Wizards have had three home venues in Kansas City in their time.  Which was their first?,Arrowhead Stadium,The Kansas City Wizards' first home venue in Kansas City was Arrowhead Stadium.,"The Kansas City Wizards' first home venue was Arrowhead Stadium, which they used from 1996 to 1997 before moving to their second home, Rockhurst University, for the 1998 season.","1. The Kansas City Wizards initially played at Arrowhead Stadium, their first home venue, from 1996 to 1997.;2. Arrowhead Stadium served as the Kansas City Wizards' inaugural home stadium from 1996 to 1997.;3. The Kansas City Wizards' first home stadium was Arrowhead Stadium, which they occupied from 1996 to 1997.;4. From 1996 to 1997, the Kansas City Wizards called Arrowhead Stadium their first home venue.;5. Arrowhead Stadium was the Kansas City Wizards' initial home stadium, used by the team from 1996 to 1997.",NO;NO;NO;NO;NO,1. The Kansas City Wizards did not have Arrowhead Stadium as their first home venue.;2. The Kansas City Wizards' first home venue was not Arrowhead Stadium.;3. Arrowhead Stadium was not the Kansas City Wizards' first home venue.;4. The Kansas City Wizards did not use Arrowhead Stadium as their first home venue.;5. The Kansas City Wizards' first home venue was not used by them from 1996 to 1997.,NO;NO;NO;NO;NO
19,19,Salisbury Woodland Gardens links a zoo with a park designed and built under the watchful eye of who?,Thomas Mawson,"Salisbury Woodland Gardens, which links a zoo with a park, was designed and built under the watchful eye of Thomas Mawson.","Salisbury Woodland Gardens links a zoo with a park designed and built under the watchful eye of Sir Robert McAlpine, a renowned British engineer and landscape architect.","1. Salisbury Woodland Gardens connects a zoo with a park meticulously crafted under the supervision of Sir Robert McAlpine, a celebrated British engineer and landscape architect.;2. The zoo and park are linked by Salisbury Woodland Gardens, a beautiful green space designed and constructed under the guidance of Sir Robert McAlpine, a prominent British engineer and landscape architect.;3. A park and zoo are joined by Salisbury Woodland Gardens, a scenic area carefully planned and built under the watchful eye of Sir Robert McAlpine, a renowned British engineer and landscape architect.;4. Salisbury Woodland Gardens forms a connection between a zoo and a park, both of which were designed and constructed under the expert supervision of Sir Robert McAlpine, a distinguished British engineer and landscape architect.;5. A zoo and a park are linked by Salisbury Woodland Gardens, a picturesque area designed and built under the close attention of Sir Robert McAlpine, a celebrated British engineer and landscape architect.",YES;YES;YES;NO;YES,1. Salisbury Woodland Gardens does not link a zoo with a park designed and built under the watchful eye of Sir Robert McAlpine.;2. Sir Robert McAlpine was not the renowned British engineer and landscape architect who designed and built the park.;3. The park was not designed and built under the watchful eye of Sir Robert McAlpine.;4. Salisbury Woodland Gardens does not have a park designed and built under the watchful eye of Sir Robert McAlpine.;5. Sir Robert McAlpine was not involved in the design and construction of the park.,NO;NO;NO;NO;NO
