Questions,Answers
Scott Parkin has been a vocal critic of Exxonmobil and another corporation that has operations in how many countries ?,more than 70 countries
What WB supernatrual drama series was Jawbreaker star Rose Mcgowan best known for being in?,Charmed
Vince Phillips held a junior welterweight title by an organization recognized by what larger Hall of Fame?,International Boxing Hall of Fame
"What is the name of the singer who's song was released as the lead single from the album ""Confessions"", and that had popular song stuck behind for eight consecutive weeks?",Usher
who is the younger brother of The episode guest stars of The Hard Easy ,Bill Murray
The 2017-18 Wigan Athletic F.C. season will be a year in which the team competes in the league cup known as what for sponsorship reasons?,Carabao Cup
"Which of Tara Strong major voice role in animated series is an American animated television series based on the DC Comics fictional superhero team, the ""Teen Titans""?",Teen Titans Go!
What is the inhabitant of the city where  122nd SS-Standarte was formed in2014,"276,170 inhabitants"
What color clothing do people of the Netherlands wear during Oranjegekte or to celebrate the national holiday Koningsdag? ,orange
"What was the name of the 1996 loose adaptation of William Shakespeare's ""Romeo & Juliet"" written by James Gunn?",Tromeo and Juliet
Robert Suettinger was the national intelligence officer under which former Governor of Arkansas?,William Jefferson Clinton
What American professional Hawaiian surfer born 18 October 1992 won the Rip Curl Pro Portugal?,John John Florence
What is the middle name of the actress who plays Bobbi Bacha in Suburban Madness?,Ann
Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,Apalachees
What nationality were social anthropologists Alfred Gell and Edmund Leach?,British
In which year was the King who made the 1925 Birthday Honours born?,1865
"What is the county seat of the county where East Lempster, New Hampshire is located?",Newport
The Album Against the Wind was the 11th Album of a Rock singer Robert C Seger born may 6 1945. What was the Rock singers stage name ?,Bob Seger
Rostker v. Goldberg held that the practice of what way of filling armed forces vacancies was consitutional?,Conscription
"Handi-Snacks are a snack food product line sold by what American multinational confectionery, food, and beverage company that is based in Illinois?","Mondelez International, Inc."
"What was the name of a woman from the book titled ""Their Lives: The Women Targeted by the Clinton Machine "" and was also a former white house intern?",Monica Lewinsky
"When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?",1-Apr-49
"In what year was the novel that Lourenço Mutarelli based ""Nina"" on based first published?",1866
Where are Teide National Park and Garajonay National Park located?,"Canary Islands, Spain"
How many copies of Roald Dahl's variation on a popular anecdote sold?,250 million
What occupation do Chris Menges and Aram Avakian share?,director
Andrew Jaspan was the co-founder of what not-for-profit media outlet?,The Conversation
Which American film director hosted the 18th Independent Spirit Awards in 2002?,John Waters
Where does the hotel and casino located in which Bill Cosby's third album was recorded?,Las Vegas Strip in Paradise
Do the drinks Gibson and Zurracapote both contain gin?,no
"In what month is the annual documentary film festival, that is presented by the fortnightly published British journal of literary essays, held? ",March and April
Tysons Galleria is located in what county?,Fairfax County
Bordan Tkachuk was the CEO of a company that provides what sort of products?,IT products and services
"Which filmmaker was known for animation, Lev Yilmaz or Pamela B. Green?",Levni Yilmaz
In which city is the ambassador of the Rabat-Salé-Kénitra administrative region to China based?,Beijing
Are Yingkou and Fuding the same level of city?,no
Where did the descendants of the group of black Indians associated with the Seminole people settle?,"Coahuila, Mexico"
David Huntsinger has worked with this gospel singer born in the month of July?,Larnelle Harris
What year was the brother of this first round draft pick by the Washington Redskins drafted?,2003
Where is the stadium at which 1964 Georgia Tech Yellow Jackets football team played their home game located? ,North Avenue at Techwood Drive
"Since 2 June 2017, The Leader of Fine Gael had been held by which Irish Fine Gael politician who has served as Taoiseach and Minister for Defence?",Leo Varadkar
Which American film actor and dancer starred in the 1945 film Johnny Angel?,George Raft
hree Men on a Horse is a play by a playwright born in which year ?,1887
What type of activity does Owner earnings and Warren Buffett have in common?,business
When was the  former Indian cricketer who made his ODI debuts during the 2000 ICC KnockOut Trophy born? ,7-Oct-78
"Which airplane was this Major test-flying after whom the base, that 514th Flight Test Squadron is stated at, is named?",B-17 Flying Fortress bomber
"Based on a True Story... is an album by which country music star, with the single My Eyes?",Blake Shelton
"Over how many centuries were the ""dwelling place of the dead"" built?",three centuries
"When was the British author who wrote the novel on which ""Here We Go Round the Mulberry Bush"" was based born? ",7-Jan-36
"Who died first, George Archainbaud or Ralph Murphy?",George Archainbaud
Which component of shellite has the formula (ON)CHOH?,picric acid
The Argentine PGA Championship record holder has won how many tournaments worldwide?,230
Suicide's 1977 released album features a song based on what brand's comic character?,Marvel
What other political position did the person who introduced the DISCLOSE Act hold?,United States Senator
Were the bands Skin Yard and Ostava from the U.S.?,no
Are Daryl Hall and Gerry Marsden both musicians?,yes
What major truck road is located in Backford Cross?,The A41
In which role did Caroline Carver played in a 1999 Hallmark Entertainment made-for-TV fantasy movie?,Princess Jessica
"What's the name of the fantasy film starring Sarah Bolger, featuring a New England family who discover magical creatures around their estate?",The Spiderwick Chronicles
Maxeda has been owned since 2004 by which American multinational equity firm?,KKR & Co
The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?,The Bye Bye Man
Mummulgum is a stop on the Bruxner Highway before reaching the town on the banks of which river?,Richmond
"Which American audio engineer and clandestine chemist, who was a key figure in the San Francisco Bay Area hippie movement during the 1960s recorded the album ""Old and in the Way?""",Owsley Stanley
When was the palace founded at which Columba de Dunbar died in 1435?,the late 12th Century
"Where is the Bubblegum Alley, that is similar to Gum Wall, located in California?","San Luis Obispo, California"
"At what venue was the January 2, 2012 game featured the University of Louisville team?",Mercedes-Benz Superdome
"Which film was Oscar nominated, LaLee's Kin: The Legacy of Cotton or Gimme Shelter, the 1970 Rolling Stones documentary?",LaLee's Kin: The Legacy of Cotton
"Which board game was published most recently, Pirate's Cove or Catan?",Pirate's Cove
Alice David is the voice of Lara Croft in a video game developed by which company ?,Crystal Dynamics
"Which Eminem album included vocals from a singer who had an album titled ""Unapologetic""?","""The Marshall Mathers LP 2"""
"This American crime film set in South Los Angeles was written and directed by the same director and writer of screenwriter of ""Street Kings"", ""End of Watch"", ""Sabotage"", ""Fury"" and what other film? ",Suicide Squad
SuperMansion starred the actress who had a recurring role as whom on Workaholics?,Jillian Belk
"The 1974 Texas Tech Raiders football team represented what public research university in Lubbock, Texas?",Texas Tech University
"During Siege of Bharatpur, which Commander-in-Chief of Ireland and Commander-in-Chief of India contributed to the storming of the castle?",Lord Combermere
For what type of work is the production company for The Year Without a Santa Claus best known?,"seasonal television specials, particularly its work in stop motion animation"
"What year was the film that starred the composer for ""The Naked Brothers Band""?",2014
The author of Sexual Politics attended which British University?,Oxford
"Who had the best singles ranking, Roberta Vinci or Jorge Lozano?",Roberta Vinci
Both Truth in Science and Discovery embrace what campaign?,"""Teach the Controversy"" campaign"
"Josey Scott and Ian Watkins were both promising musicians. Which of these talented men was incarcerated, impacting his career with a rock band?",Lostprophets disbanded in 2013 after Watkins was charged with sexual offences in late 2012.
The movies Queen of Blood and Battle Beyond the Sun both contained scenes from what 1959 Soviet feature?,Nebo Zovyot
"Who was born first, Erika Jayne or Marco Da Silva",Erika Jayne
"When did the English local newspaper, featuring the sculpture and war memorial in the Forbury gardens, change names?",2009
What is the name of the Isles who were led by Aonghus Mór and covered a total land area of over 8300 km2?,Kingdom of the Isles
"Who is Bruce Spizer an expert on, known as the most influential act of the rock era?",The Beatles
"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?","""We'll Burn That Bridge"""
What occupation was shared by David Yates and Pietro Germi?,director
"Marcus Wayne Garland spent nine seasons with an American professional baseball team that is based in Baltimore, Maryland, and was one of the AMerican League's original eight charter franchises when the league was established in what year?",1901
The lamp used in many lighthouses is similiar to this type of lamp patented in 1780 by Aimé Argand?,Argand lamp
"The songs from the sountrack to ""When Harry Met Sally"" are performed by a singer that has had how many top 20 US albums?",seven
Are Broughtonia and Laeliocattleya both orchids?,yes
Where was the world cup hosted that Algeria qualified for the first time into the round of 16?,Brazil
"Which was fought earlier in our nation's history, the Seven Days Battles or the Battle of Manila?",The Seven Days Battles
"What retailer in ABQ Uptown is headquarted in Poole, Dorset, United Kingdom?",Lush Ltd.
What football club plays in the area between the old tool gates: Brook Bar and Trafford bar?,Manchester United
"The song ""Chim Chim Cher-ee"" can be heard  in the ""Mary Poppins"" scene of a Disney ride that debuted in what year?",1989
"Who held the record for the longest service in the Australian Parliament for a woman, and was surpassed by  a former Australian politician who was the 29th Speaker of the House of Representatives?",Kathryn Jean Martin
"Which man who presented the Australia 2022 FIFA World Cup bid was born on October 22, 1930?",Frank Lowy
What major city is the Faith Lutheran Middle School and High School located by?,Las Vegas
What British singer-songwriter hosted the 16th Annual Young Hollywood Awards?,Kelly Lee Osbourne
Who did the Star and Dagger bass player marry?,Sean Yseult.
"In 2017, what was 3/4th of the organization that also has a Center for Veterinary Medicine as well as part of the U.S. Department of Health and Human Services, spent on?",Prescription Drug User Fee Act
"Which came out first, Dinosaur or McFarland, USA",Dinosaur
Both Bishop Carroll Catholic High School and Kapaun Mt. Carmel Catholic High School are located in which city in Kansas?,Wichita
What was the 58th quadrennial American presidential election held after the 2016 Michigan Democratic primary?,United States presidential election of 2016
This Celtic ruler who was born in AD 43 ruled southeastern Britain prior to conquest by which empire?,Roman
"What is the name of the detective novelist parent of the author of '""Q"" Is for Quarry'?",C. W. Grafton
What is the birthplace of the Senator who represents the first of 62 districts in the State Senate?,"Brooklyn, New York"
The Memphis Hustle are based in a suburb of a city with a population of what in 2010?,"48,982"
"Which songwriting duo composed music for ""La La Land"", and created lyrics for ""A Christmas Story: The Musical""? ",Pasek & Paul
"Which of the city at the south of Shelly Beach, New South Wales is a local government area in the Hunter region of New South Wales, Australia?",City of Newcastle
Are Bamboo Mañalac and Danny Jones both musicians?,yes
"Works by Hanna Leena Kristiina Varis are part of a collection in a museum that houses approximately 65,000 what?",drawings
When was the Western Germanic language spoken from which the small settlement situated on the river Leda opposite Leer derives its name?,between the 8th and 16th centuries
"Born on 6 March 1937, this man was also a citizen of the United Kingdom.",Alistair Grant
"What country does Hatton Hill and Hatton Castle, Angus have in common?",Scotland
What podcast was the cheif executive officer of Nerdist Industries a guest on?,Comedy Film Nerds
Randall Cunningham II was a multi-sport athlete at the high school located in what Nevada city?,Summerlin
"Which English musician is known for both the songs ""See Yourself"" and ""Withing You Without You""?",George Harrison
"Which professional ice hockey position does the Captain of the National Hockey League All-Star Game ""Away Team"" play?",Canadian professional ice hockey centre
"What year did the series on CBS, starring the actor who known for his role in ""Rebel Without a Cause,"" air?",1952
"What season was the character introduced that becomes the main antagonist in the  following season, from the animated television series created by Bryan Konietzko and Michael Dante DiMartino as a sequel to """", which aired from 2005 to 2008? ",third
"Who were the directors of the 2009 American science fiction film starring the actor who played Dexter Morgan in the Showtime TV Network series ""Dexter""?",Mark Neveldine and Brian Taylor
"Which travel parody series featured American actor, comedian, and radio host best known as the host of ""The Joe Schmo Show""?",Hidden America with Jonah Ray
Do The Importance of Being Icelandic and The Five Obstructions belong to different film genres ?,no
Tefik Selim Mborja was a part of a party that held power in Albania until what year? ,1943
Joe Walker played for which team that ends their regular season with the Civil War rivalry game?,Oregon Ducks football
"What station broadcast the episode ""Marry Me a Little, Marry Me a Little More"" , of the series created by Max Mutchnick and David Kohan?",National Broadcasting Company
Georges-Henri Bousquet translated the work of a historian who is of what heritage?,North African Arab
In which city are the headquarters of the American research and scientific development company where Ravi Sethi worked as computer scientist located?,Murray Hill
What is the full name of the viral respiratory disease in which Yi Guan's research helped to prevent the outbreak of?,severe acute respiratory syndrome
Which Kentucky Writers Hall of Fame author has had works published by Dim Gray Bar Press?,Wendell Berry
What director worked with Vikram Bhatt on a film starring actors Rajneesh Duggal and Adah Sharma?,Tinu Suresh Desai
 Robert Smith founded the multinational company headquartered in what city?,"Golden Valley, Minnesota,"
What amount was the settlement that the character from the Son of al Quada got in 2017?,$10.5 million
"Considered the strongest recorded tropical cyclone, which cyclone had a film made about it in 2007?",1999 Odisha cyclone
The 2000 British film Snatch was later adapted into a television series for what streaming service?,Crackle
Chris Williams last played for which football club from the National League North?,Salford City Football Club
Who designed the hotel that held the IFBB professional bodybuilding competition in September 1991?,architect Michael Graves
"At the 71st Golden Globe Awards for television in 2013, what achievement did Breaking Bad, police sitcom Brooklyn Nine-Nine and American Hustle attain?",multiple awards
Which actor does American Beauty and American Beauty have in common?,Kevin Spacey
Onika Tanya Maraj is a judge on a television show hosted by whom? ,Ryan Seacrest
Are Hot Rod and The Memory of Our People both magazines?,yes
Who was Chamberlain and Colonel of the military staff of The Merrie Monarch?,Colonel Charles Hastings Judd
"Who has written more than 300 papers, Semyon Aranovich Gershgorin or Pavel Alexandrov?",Pavel Sergeyevich Alexandrov
Which post DC Extended Universe actress will also play a role in what is intended to be the fifth installment of the DC Extended Universe?,Gal Gadot
Who was the captain of the only battleship to provide gunfire support during the Vietnam War?,Rear Adm. J. Edward Snyder
"The Polar Bears featuring the voice of Armie Hammer, is also the same voice actor for which character in Cars 3?",Jackson Storm
"Which tower is taller, 712 Fifth Avenue or Manhattan Life Insurance Building?",712 5th Avenue
"Is the Pakistan fast bowler who joined the Kent County Cricket Club in June, 2011 a left-hand or right-hand batsmans?",right-hand
"Who was born first, Arthur Conan Doyle or Penelope Lively?",Arthur Ignatius Conan Doyle
The Tennessee Volunteers football team plays as a member for a conference in what city?,"Birmingham, Alabama"
Ernest Foot was the best friend of the fighter pilot who had how many victories?,44
"From March 631 to April 631, Farrukhzad Khosrau V was the king of an empire that succeeded which empire?",the Parthian Empire
Which suburb is a soap opera featuring a character named Beverly Marshall set in?,Erinsborough
Which country did the Falkland Islands beat in the 2010 Commonwealth games that has eleven administrative divisions?,Samoa
"Which Netflix series ""Unbreakable"" character is Elizabeth Claire Kemper known for playing?","Kimberly Couger ""Kimmy"" Schmidt"
"Which television series featured an actor who also performed in ""The Young Ones""?","""The Comic Strip Presents..."""
Are both Dafeng District and Dazhou located in the same province?,no
"In what century did this Native warrior and chief, whose brother Tenskwatawa led the Tippecanoe order of battle, become the primary leader of a large, multi tribal confederacy?",nineteenth
What film was written and directed by Joby Harold with music written by Samuel Sim?,Awake
What is the name of the ethnic group who settled in Canada in the 17th century that participated in a conflict with Irish Catholic immigrants in the Shiners' War?,French Canadians
The author of The Thing of It Is... is what Nationality?,American
"How long is the bridge in the Öresund Region that connect Copenhagen, Denmark and Malmo, Sweden?",8 km
"Martin Patterson ""Pat"" Hingle was a close friend of an actor who achieved success in what Western TV series? ",Rawhide
Is the Marsilea or the Brabejum the genus of more individual species of plants?,Marsilea
What building is opposite the ceremonial meeting place of the Accession Council in the United Kingdom?,Mark Masons' Hall
"What material did a hairdresser from Yorkshire, England invent that was named by his granddaughter?",Starlite
One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the wolrd outside North America until it was succeeded by a Building in city?,Hong Kong
"Which case came first, Craig v. Boren or United States v. Paramount Pictures, Inc.?",Craig v. Boren
What is the nickname of the city where Darling's Waterfront Pavilion is located?,"""Queen City"""
The Kansas City Wizards have had three home venues in Kansas City in their time.  Which was their first?,Arrowhead Stadium
"Henry Hall is known for fighting in the Revolutionary War, and for being the first to successfully cultivate this food found in what type of bogs?",acidic
A scam involving a male calling small town fast-food restaurants and pretending to be a police officer to have them strip search employees was turned into a movie of what name?,Compliance
"What airport serviced by American Airlines Shuttle, is also the largest airport in the New England region and 17th busiest in the U.S?",Logan International Airport
"Which genus has more species, Xanthoceras or Ehretia?",Ehretia
What arcade game is named after the only player in major league history to have a 0.300 batting average for 7 consecutive seasons?,a pinball machine
What american actress/singer born in 1956 recorded the song Something there for beauty and the beast?,Donna Paige Helmintoller
Which professional baseball player and National 1993 Baseball Hall of Fame inductee is featured in the Greatest Sports Legends anthology? ,"Reginald Martinez ""Reggie"" Jackson"
Salisbury Woodland Gardens links a zoo with a park designed and built under the watchful eye of who?,Thomas Mawson
What class of instrument does Apatim Majumdar play?,strings
Jamie Harris is best known for his role as The Hook-Handed Man in a movie directed by who ?,Brad Silberling
"How many laps did Harry Prowell run during the 10,000 metres race at the 1967 Pan American Games?",25 laps
Are  Chrysalis and Look both women's magazines?,yes
"Which author has won more Pulitzer Prizes, Thomas Friedman or Henri Bergson?",Thomas Loren Friedman
"Yoann Lemoine, a French video director, has created music videos for Lana Del Rey, Katy Perry, and an orchestral country pop ballad by which top pop artist?",Taylor Swift
In what city can a person find both the Nusretiye Clock Tower and the Eski Imaret Mosque be found?,"Istanbul, Turkey"
"What is Opry Mills in Nashville, Tennessee?",super-regional shopping mall
"Spaceware Sky Division II is manufactured by this subsidiary, which is one of twelve subdivisions of Inner Mongolia, China?",Ordos City
"Which director had the longest career, Alain Resnais or Scott Sidney?",Scott Sidney
"in 1999, Spirit Halloween LLC was purchased by a mall retailer that has how many stores in the United States and Canada ?",over 600 stores
James Fieser received his B.A. from what liberal arts work college that was founded in 1855?,Berea College
What year did Roy Rogers and his third wife star in a film directed by Frank McDonald?,1945
" The name ""Mountbatten-Windsor"" applies to male-line descendants of the Queen without royal styles and titles which is a Eurpean dynasty resulting in what family?",Mountbatten family
Who is known for producing the documentary television series based on the book by science historian James Burke?,James Burke
which is larger Asante Traditional Buildings or Gulangyu?,Gulangyu
Armageddon in Retrospect was written by the author who was best known for what 1969 satire novel?,Slaughterhouse-Five
Patrick Kennedy is known for his collections of Irish  folktales from a province situated in which part of Ireland ?,the east of Ireland
What NIFL Premier Intermediate League team did Sean Connor play for?,Distillery
"Which character does this protagonist, who secretly loves and marries a member of the rival house, of William Shakespeare's tragedy that has a fictional character Benvolio slay?",Tybalt
"What was the name of the fanzine that interviewed the Sex Pistols bassist when he was in the band ""The Flowers of Romance?""",SKUM
"What, known as AAS, is commonly used in bodybuilding?",Anabolic steroids
"Which American character actor who starred on the television series ""Stargate SG-1"" (1997-2007) and appeared in ""Episode 8"" of ""Twin Peaks"" as a guest star?",Don S. Davis
Candy Coburn has shared the stage with an American country music group with who playing guitar?,Charles Kelley
What is the population according to the 2007 population census of the city in which the National Archives and Library of Ethiopia is located?,"3,384,569"
Which composer created Night Ferry first performed in 2012 at Symphony Center in Chicago?,Anna Clyne
To which aircraft carrier was the VMF-213 Marine Fighting Squadron assigned to durning World War II?,USS Essex
Can Stenocereus and Pachypodium both include tree like plants?,yes
What movie did Pitof direct which had an action-adventure tie-in video game based off of it in 2004?,Catwoman
"on 16 January 1995 ""First Knight"" was being filmed at a studio located how far from Windsor ?",7 miles
"What is the name of the actress who has received a Drama Desk award and was part of the cast album for the 2007 Broadway production of the hit musical, ""Grease""?",Laura Ann Osnes
"Marion Greene was a health policy analyst for St. Judt Medical company, which had how many principal operations worldwide?",20
Which Genus has more species Eucryphia or Lepidozamia ?,Eucryphia
"In what city was the Italian Baroque composer who composed a set of sonatas, titled Op. 5, born?",Venice
"Meaning ""reddish water"" in Hawaiian, which location was Butch Van Artsdalen known for surfing 25-foot waves at?",Waimea Bay
What type of magazine is Eugene Habecker the chairman of?,evangelical Christian periodical
"Flyboys stars which actor who was nominated for an Academy Award for ""127 Hours""?",James Franco
"The English actor Kris Marshall played which character in the highly rated comedy-drama television series ""Death in Paradise""?",DI Humphrey Goodman
In what month was the relief first officer of the flight that crashed on its way to Cairo with a stop in New York Born?,February
Which film was released first: Sacred Planet or Oz the Great and Powerful?,Sacred Planet
I'd Come for You is a single by the band formed in what Alberta city?,Hanna
"Who is older, Ferdi Taygan or Mahesh Bhupathi?",Ferdi Taygan
"Other than racing, what sport does the 1998 champion of the Toyota GRand Prix practice?",paracyclist
Where did Ian Harland study prior to studying at the oldest college at the University of Cambridge?,The Dragon School in Oxford
In what 1997 American mystery crime film did Johnny Galecki start in?,Suicide Kings
"Which came to market first, ""Hey Pa! There's a Goat on the Roof"" or ""Poleconomy""",Hey Pa! There's a Goat on the Roof
What record did the Super Bowl XXXIV champions finish the regular-season with in 1999?,a record of 13-3
What is the population of the town at the intersection of Interstate Highways 77 and  the longest Interstate highway within the borders of Virginia?,"8,211 at the 2010 census"
What was the nickname of the hitman hired by an Italian American Criminal Organization?,The Crowned Prince of the Philadelphia Mob
What was the position of Jean Baptiste Androuet du Cerceau under the man who was King of the Polish-Lithuanian Commonwealth from 1573 to 1575?,supervisor of the royal works
"Which American music star appeared as a guest in a Will & Grace episode called ""Back Up, Dancer""?",Janet Damita Jo Jackson
What army did the namesake of the ship launched as the München in 1930 fight in during the American Revolutionary War?,Continental Army
The Church of the Guanche People was founded in the city that is on the most populated island of what larger area?,Macaronesia
What officially ended the first phase of the military conflict between the British Raj and the Emirate of Afghanistan from 1878 to 1880?,Treaty of Gandamak
"The mass killing that took place at Oakland, California on April 2, 2012 was less deadly than the one that took place on October 1, 2015 in which state?",Oregon
"When did the rock band that sang ""All Join Hands"" rise to prominence? ",early 1970s
Where is the company that owns thanKing Horse pub restaurant chain based ?,"Bury St Edmunds,"
What is the uppermost age range for the sort of fiction written by Alexander Gordon Smith?,early 20s
"What is the birthday of the actress who was the Duchess in ""The Revengers Tragedy""?",23-Nov-46
Which film starring Patrick Tatten is based on a book written by Steve Lopez?,The Soloist
Are Skeptical Inquirer and The Progressive Populist both tabloid-style magazines?,no
"The 1984 film ""Marlene"" is a documentary about an actress born in what year?",1901
Which former mill town is near Rivington Hall Barn?,Bolton
"What prolific English engineer, who died on 15 December 1857, contributed to the advent of the hot air engine by way of their open cycle devices?",George Cayley
"Which dog is considered a giant dog breed, the  Leonberger or the Basset Hound?",The Leonberger is a giant dog breed.
Are Staten Island Catapult and This Is Elvis both documentaries?,yes
"What is the year of the event that occured first, Making Today a Perfect Day was produced, or Frozen was produced?",2013
"Which magazine is published more often, Shonen Jump or Rolling Stone?",Rolling Stone
Where is the Cocoa Krispies and former Superman sponsor located?,"Battle Creek, Michigan"
Who was born first Am Rong or Ava DuVernay ?,Am Rong
How many days did it take the Best New Artist of 2009 to sell 2 million copies of an album in the UK and break a twenty year old record?,29
"""Ew!"" is a song by a television host born where?","Bay Ridge, Brooklyn"
The northern English anglian Kingdom in the Humber estuary spoke what dialect of english?,Northumbrian
"What Kentucky county has a population of 60,316 and features the Lake Louisvilla neighborhood?",Oldham County
Are both Duke Energy and Affiliated Managers Group based in Massachusetts?,no
"Two positions were filled in The Voice of Ireland b which British-Irish girl group based in London, England?",The Saturdays
"Who was also an actor, Serri or John Fogerty?",Serri
"What is the international football competition for women that Liu Ailing played in the 1991,1995, 1999 editions?",international football competition
Rock Springs is a collection of short stories by an author born in what year?,1944
Folie à Deux is a studio album by the American rock band formed in which city?,Wilmette
"This work of literature _______ , known by its Greek title Oedipus Tyrannus was argued by Sigmund Freud to be one of the greatest works of world literature in his 1928 article. ",Oedipus Rex
