id,split,question,effective_year,next_review,false_premise,num_hops,fact_type,source,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,note
87,TEST,How much did Da Vinci's Salvator Mundi sell for at the 2017 Sotheby's auction?,before 2022,,TRUE,one-hop,never-changing,https://en.wikipedia.org/wiki/Salvator_Mundi_(Leonardo)#Christie's_auction:~:text=The%20painting%20was%20sold%20at%20auction%20for%20US%24450.3%20million%20on%2015%20November%202017%20by%20Christie%27s,"It was sold at Christie's instead of Sotheby's. Sotheby's was the broker for an older, private deal.",,,,,,,,,,
88,TEST,How many rebounds per game did Lebron James average in college?,before 2022,,TRUE,one-hop,never-changing,"https://en.wikipedia.org/wiki/LeBron_James#High_school_career:~:text=lb%20(113%C2%A0kg)-,Career%20information,-High%20school",LeBron James never attended college.,,,,,,,,,,
89,TEST,A chemical reaction between lead and what other element produces gold as a byproduct?,before 2022,,TRUE,one-hop,never-changing,https://www.thoughtco.com/turning-lead-into-gold-602104#:~:text=Changing%20the%20element%20requires%20changing%20the%20atomic%20(proton)%20number.%20The%20number%20of%20protons%20in%20an%20element%20cannot%20be%20altered%20by%20any%20chemical%20means.,No chemical element can convert lead into gold.,,,,,,,,,,
90,TEST,Which party won the 2022 elections held in Afghanistan?,before 2022,,TRUE,one-hop,never-changing,https://en.wikipedia.org/wiki/Elections_in_Afghanistan#:~:text=The%20Taliban%20dissolved%20the%20Elections%20Commission%20in%20December%202021.%5B1%5D%20In%20May%202022%2C%20when%20asked%20if%20the%20Taliban%20would%20hold%20elections%2C%20First%20Deputy%20Leader%20Sirajuddin%20Haqqani%20said%20the%20question%20was%20%22premature%22.,There have been no elections held since the Taliban took power.,,,,,,,,,,
91,TEST,By how much is 3 bigger than 4?,before 2022,,TRUE,one-hop,never-changing,,3 is smaller than 4 by 1.,,,,,,,,,,
115,TEST,How long has Harry Styles been a member of One Direction?,before 2022,,TRUE,multi-hop,never-changing,https://en.wikipedia.org/wiki/One_Direction#:~:text=The%20band%20went%20on%20indefinite%20hiatus%20in%20January%202016%2C%20allowing%20all%20members%20to%20pursue%20other%20projects.,One Direction is no longer active.,,,,,,,,,,
116,TEST,What is the smallest cube number which can be expressed as the sum of two different positive cube numbers in two different ways?,before 2022,,TRUE,multi-hop,never-changing,https://en.wikipedia.org/wiki/Fermat%27s_Last_Theorem#:~:text=In%20number%20theory%2C%20Fermat%27s%20Last%20Theorem%20(sometimes%20called%20Fermat%27s%20conjecture%2C%20especially%20in%20older%20texts)%20states%20that%20no%20three%20positive%20integers%20a%2C%20b%2C%20and%20c%20satisfy%20the%20equation%20an%20%2B%20bn%20%3D%20cn%20for%20any%20integer%20value%20of%20n%20greater%20than%202.,"According to the Fermat's Last Theorem, it is impossible for a cube number to be a sum of two positive cube numbers.",,,,,,,,,,
248,TEST,What was the first animal to orbit the Earth?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Laika#:~:text=the%20first%20to%20orbit%20the%20Earth,Laika,,,,,,,,,,
249,TEST,What is the largest model size of GPT-3?,before 2022,,FALSE,one-hop,never-changing,https://arxiv.org/pdf/2005.14165.pdf#page=8,175 billion parameters,175B parameters,175 billion,175B,,,,,,,
250,TEST,Which country has a red flag with one yellow star?,before 2022,,FALSE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Flag_of_Vietnam#:~:text=sao%20v%C3%A0ng%20(%22-,red%20flag%20with%20a%20golden%20star,-%22)%0AC%E1%BB%9D%20T%E1%BB%95",Vietnam,,,,,,,,,,
251,TEST,What city was connected with the earliest cases of COVID-19?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/COVID-19#:~:text=The%20first%20known%20case%20was%20identified%20in%20Wuhan%2C%20China,Wuhan,"Wuhan, China",Huanan Seafood Wholesale Market,Huanan Market,China,,,,,,
252,TEST,What country has the most similar flag to that of Romania?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Flag_of_Romania#:~:text=The%20similarity%20with%20Chad%27s%20flag%2C%20which%20is%20identical%20apart%20from%20allowing%20a%20broader%20range%20of%20shades%20of%20blue%2C%20yellow%20and%20red%2C%20has%20caused%20international%20discussion.,Chad,Republic of Chad,,,,,,,,,
253,TEST,What state is known as the Aloha State?,before 2022,,FALSE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Hawaii#:~:text=Nickname(s)%3A-,The%20Aloha%20State,-(official)%2C%20Paradise%20of",Hawaii,Hawai'i,,,,,,,,,
254,TEST,In what year will Google celebrate its 30th birthday?,before 2022,,FALSE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Google#:~:text=Founded-,September%C2%A04%2C%201998,-%3B%2025%20years%20ago",2028,4-Sep-28,4-Sep-28,4-Sep-28,4-Sep-28,09/4/2028,09-4-2028,4/09/2028,4-09-2028,2028/9/4,
255,TEST,Where did Jeff Dean get his Ph.D. from?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Jeff_Dean#:~:text=He%20received%20a%20Ph.D.%20in%20computer%20science%20from%20the%20University%20of%20Washington%20in%201996,University of Washington,The University of Washington,UW,U. of Washington,,,,,,,
256,TEST,What is the largest mammal in the world?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Blue_whale#:~:text=it%20is%20the%20largest%20animal%20known%20ever%20to%20have%20existed,blue whale,,,,,,,,,,
257,TEST,What is the tallest mountain in Alaska?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Denali#:~:text=highest%20mountain%20peak%20in%20North%20America,Mount Denali,Mount McKinley,,,,,,,,,
258,TEST,What breed of dog was Queen Elizabeth II of England famous for keeping?,before 2022,,FALSE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Royal_corgis#:~:text=Fond%20of%20corgis%20since%20she,the%20years%201933%20to%202018.",Corgi,Pembroke Welsh Corgi,,,,,,,,,
259,TEST,What class of beer is top-fermenting?,before 2022,,FALSE,one-hop,never-changing,"https://vinepair.com/beer-101/ale-vs-lager-the-role-of-yeast-in-beer/#:~:text=Ale%20is%20top%2Dfermented%2C%20meaning,and%20at%20a%20higher%20temperature.",ales,ale,,,,,,,,,
260,TEST,Which country won the 2017 Eurovision Song Contest?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Eurovision_Song_Contest_2017#:~:text=The%20winner%20was%20Portugal,Portugal,,,,,,,,,,
261,TEST,What year did Intel go public?,before 2022,,FALSE,one-hop,never-changing,https://www.intc.com/stock-info/faq#:~:text=Intel%20went%20public%20October%2013%2C%201971,1971,13-Oct-71,13-Oct-71,13-Oct-71,13-Oct-71,10/13/1971,10-13-1971,13/10/1971,13-10-1971,1971/10/13,
262,TEST,Who wrote the book titled Orientalism?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Orientalism_(book)#:~:text=Orientalism%20is%20a%201978%20book%20by%20Edward%20W.%20Said,Edward W. Saïd,Edward W. Said,Edward Said,,,,,,,,
263,TEST,Sandstones are categorized into what type of sedimentary rocks?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Sandstone#:~:text=Sandstone%20is%20a%20clastic%20sedimentary%20rock,clastic,clastic rocks,clastic sedimentary rocks,siliciclastic sedimentary rocks,,,,,,,
264,TEST,"Did Queen Elizabeth II visit Rhode Island, USA?",before 2022,,FALSE,one-hop,never-changing,https://www.newportri.com/picture-gallery/news/history/2021/04/09/prince-philip-and-queen-elizabeth-visit-newport-ri-1976-bicentennial/7155433002/#:~:text=Prince%20Philip%20and%20Queen%20Elizabeth%27s%20visit%20to%20Newport%20RI%20in%201976,Yes,,,,,,,,,,
265,TEST,"In Greek mythology, what is the name of Menelaus' wife?",before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Helen_of_Troy#:~:text=She%20was%20married%20to%20King%20Menelaus%20of%20Sparta,Helen of Troy,Helen,Helena,Helen of Sparta,,,,,,,
266,TEST,Who won the 2020 Formula 1 world driver's championship?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/2020_Formula_One_World_Championship#:~:text=Drivers%27%20Champion%3A%20Lewis%20Hamilton,Lewis Hamilton,Hamilton,,,,,,,,,
267,TEST,What was the real name of the Unabomber?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Ted_Kaczynski#:~:text=Theodore%20John%20Kaczynski%20(/k%C9%99%CB%88z%C9%AAnski/%20%E2%93%98%20k%C9%99%2DZIN%2Dskee%3B%20May%2022%2C%201942%20%E2%80%93%20June%2010%2C%202023)%2C%20also%20known%20as%20the%20Unabomber,Ted Kacsynzki,Theodore John Kaczynski,,,,,,,,,
268,TEST,What are the starter pokemon available in Pokemon Diamond?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Pok%C3%A9mon_Diamond_and_Pearl#Gameplay:~:text=They%20are%20then%20given%20a%20choice%20of%20one%20of%20three%20Pok%C3%A9mon%20found%20within%E2%80%94the%20Grass%2Dtype%20Turtwig%2C%20the%20Fire%2Dtype%20Chimchar%2C%20or%20the%20Water%2Dtype%20Piplup,"Turtwig, Chimchar, and Piplup","Turtwig, Piplup, and Chimchar","Chimchar, Turtwig, and Piplup","Chimchar, Piplup, and Turtwig","Piplup, Turtwig, and Chimchar","Piplup, Chimchar, and Turtwig",,,,,
269,TEST,Where did the first atomic bomb test take place in the United States?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Trinity_(nuclear_test)#:~:text=was%20conducted%20in%20the%20Jornada%20del%20Muerto%20desert%20about%2035%20miles%20(56%C2%A0km)%20southeast%20of%20Socorro%2C%20New%20Mexico%2C%20on%20what%20was%20the%20Alamogordo%20Bombing%20and%20Gunnery%20Range%20(renamed%20the%20White%20Sands%20Proving%20Ground%20just%20before%20the%20test),"Jornada del Muerto Desert, New Mexico",Alamogordo Bombing Range,New Mexico,,,,,,,,
270,TEST,How many lungs do slugs have?,before 2022,,FALSE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Pneumostome#:~:text=into%20the%20animal%27s-,single%20lung,-%2C%20the%20air%2Dfilled",1,one,single,,,,,,,,
271,TEST,On what date did the Berlin Wall fall?,before 2022,,FALSE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Fall_of_the_Berlin_Wall#:~:text=East%20German%20counterpart-,Date,9%C2%A0November%201989,-%3B%2034%20years%20ago",9-Nov-89,9-Nov-89,9-Nov-89,9-Nov-89,11/9/1989,11-9-1989,9/11/1989,9-11-1989,1989/11/9,1989/11/9,
272,TEST,On what date did Elvis Presley die?,before 2022,,FALSE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Elvis_Presley#:~:text=Mississippi%2C%20U.S.-,Died,August%2016%2C%201977,-(aged%C2%A042)",16-Aug-77,16-Aug-77,16-Aug-77,16-Aug-77,08/16/1977,08-16-1977,16/08/1977,16-08-1977,1977/8/16,1977/8/16,
273,TEST,Which Polish president died in a plane crash near Smolensk?,before 2022,,FALSE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Death_and_state_funeral_of_Lech_and_Maria_Kaczy%C5%84ski#:~:text=Lech%20Kaczy%C5%84ski%2C%20the%20fourth%20President,was%20also%20among%20those%20killed.",Lech Kaczyński,Lech Kaczynski,President Lech Kaczyński,President Kaczyński,Kaczyński,Kaczynski,,,,,
274,TEST,What year did Japan bomb Pearl Harbor?,before 2022,,FALSE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Attack_on_Pearl_Harbor#:~:text=Naval%20Yard.-,Date,December%C2%A07%2C%201941%3B%2082%20years%20ago,-Location",1941,,,,,,,,,,
275,TEST,When did David Bowie die?,before 2022,,FALSE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Death_of_David_Bowie#:~:text=Date,10%C2%A0January%202016",2016,10-Jan-16,10-Jan-16,10-Jan-16,10-Jan-16,01/10/2016,01-10-2016,10/01/2016,10-01-2016,2016/1/10,
276,TEST,Who is the creator of Super Smash Bros.?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Masahiro_Sakurai#:~:text=Masahiro%20Sakurai%20(%E6%A1%9C%E4%BA%95%20%E6%94%BF%E5%8D%9A%2C%20Sakurai%20Masahiro%2C%20born%20August%203%2C%201970)%20is%20a%20Japanese%20video%20game%20director%20and%20game%20designer%20best%20known%20as%20the%20creator%20of%20the%20Kirby%20and%20Super%20Smash%20Bros.%20series.,Masahiro Sakurai,Sakurai,Sakurai-san,,,,,,,,
277,TEST,On what date was Lunar New Year 2023?,before 2022,,FALSE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Chinese_New_Year#:~:text=2023%C2%A0date,22%20January",22-Jan-23,22-Jan-23,22-Jan-23,22-Jan-23,01/22/2023,01-22-2023,22/01/2023,22-01-2023,2023/1/22,2023/1/22,
278,TEST,"Is Sunderland, MA to the north or south of Amherst, MA?",before 2022,,FALSE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Sunderland,_Massachusetts#:~:text=Sunderland%20is%20bordered%20by%20Montague%20to%20the%20north%2C%20Leverett%20to%20the%20east%2C%20Amherst%20and%20Hadley%20to%20the%20south",north,,,,,,,,,,
279,TEST,What city was Emily Dickinson born in?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Emily_Dickinson#:~:text=Dickinson%20was%20born%20in%20Amherst%2C%20Massachusetts,"Amherst, Massachusetts","Amherst, MA",United States,Amherst,,,,,,,
280,TEST,Who wrote Between the World and Me?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Between_the_World_and_Me#:~:text=Between%20the%20World%20and%20Me%20is%20a%202015%20nonfiction%20book%20written%20by%20American%20author%20Ta%2DNehisi%20Coates,Ta-Nehisi Coates,Coates,Ta-Nehisi Paul Coates,,,,,,,,
281,TEST,Who founded Amazon?,before 2022,,FALSE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Amazon_(company)#:~:text=%2C%20U.S.-,Founder,Jeff%20Bezos,-Headquarters",Jeff Bezos,Bezos,Jeffrey Preston Bezos,,,,,,,,
282,TEST,What is the capital of the commonwealth of Massachusetts?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Boston#:~:text=officially%20the%20City%20of%20Boston%2C%20is%20the%20capital%20and%20most%20populous%20city%20in%20the%20Commonwealth%20of%20Massachusetts%20in%20the%20United%20States,Boston,City of Boston,,,,,,,,,
283,TEST,Which team won the 2021 FIFA Club World Cup?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/2021_FIFA_Club_World_Cup#:~:text=The%20eventual%20winners%20of%20that%20competition%2C%20Chelsea,Chelsea,Chelsea Football Club,Chelsea F.C.,,,,,,,,
284,TEST,During the recording of which Beatles album did Ringo Starr temporarily quit the band?,before 2022,,FALSE,one-hop,never-changing,"https://en.wikipedia.org/wiki/Ringo_Starr#Studio_years:~:text=Relations%20within%20the,quit%20the%20Beatles",White Album,the White Album sessions,The Beatles,,,,,,,,
285,TEST,In what city is the Louvre Museum?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Louvre#:~:text=is%20a%20national%20art%20museum%20in%20Paris,"Paris, France",Paris,France,"Rue de Rivoli, 75001 Paris, France",,,,,,,
286,TEST,In what month and year did the Tulip mania bubble collapse?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Tulip_mania#:~:text=dramatically%20collapsed%20in%20February%201637,February 1637,"February, 1637",02/1637,02-1637,,,,,,,
287,TEST,Which character arrives late to the titular banquet in Plato's Symposium?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Symposium_(Plato)#Synopsis:~:text=Socrates%20is%20late%20to%20arrive%20because%20he%20became%20lost%20in%20thought%20on%20the%20way.,Socrates,,,,,,,,,,
289,TEST,The 1939 German invasion of Poland began soon after Germany signed a non-aggression pact with what other nation?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Molotov%E2%80%93Ribbentrop_Pact#:~:text=Soon%20after%20the%20pact%2C%20Germany%20invaded%20Poland%20on%201%20September%201939.,Soviet Union,,,,,,,,,,
290,TEST,"What award did Yann LeCun, Geoffrey Hinton, and Yoshua Bengio win together?",before 2022,,FALSE,one-hop,never-changing,"https://awards.acm.org/about/2018-turing#:~:text=ACM%20named%20Yoshua%20Bengio%2C%20Geoffrey%20Hinton%2C%20and%20Yann%20LeCun%20recipients%20of%20the%202018%20ACM%20A.M.%20Turing%20Award
https://www.fpa.es/en/princess-of-asturias-awards/laureates/2022-geoffrey-hinton-yann-lecun-yoshua-bengio-and-demis-hassabis.html?especifica=0#:~:text=GEOFFREY%20HINTON%2C%20YANN,TECHNICAL%20%26%20SCIENTIFIC%20RESEARCH",Turing Award,ACM Turing Award,A.M. Turing Award,ACM A.M. Turing Award,Princess of Asturias Award,,,,,,
291,TEST,What was the real name of the author George Eliot?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/George_Eliot#:~:text=Mary%20Ann%20Evans%20(22%20November%201819%20%E2%80%93%2022%20December%201880%3B%20alternatively%20Mary%20Anne%20or%20Marian%5B1%5D%5B2%5D)%2C%20known%20by%20her%20pen%20name%20George%20Eliot,Mary Ann Evans,Mary,Mary Ann,,,,,,,,
292,TEST,Where is Gil Evans from?,before 2022,,FALSE,one-hop,never-changing,https://en.wikipedia.org/wiki/Gil_Evans#:~:text=Toronto%2C%20Ontario%2C%20Canada,"Toronto, Canada",Toronto,"Toronto, Ontario, Canada","Ontario, Canada",Canada,,,,,,
293,TEST,Who is the director of the movie The Room?,before 2022,,FALSE,one-hop,never-changing,"https://en.wikipedia.org/wiki/The_Room#:~:text=Theatrical%20release%20poster-,Directed%20by,Tommy%20Wiseau,-Written%20by",Tommy Wiseau,Thomas P. Wiseau,Thomas Wiseau,,,,,,,,
